sys2_row	doc_id	src_id	src_bucket	category	verifiability	axis_verdict	variant	scope	tc_coverage	cover_basis	covering_tcs	verif_criteria	er_match
189	SR26_20260310-1633	4819564	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	錨命中	Power hardkey pressed at Telematic Power idle	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
190	SR26_20260310-1634	4819571	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	部分	行為等值：b03 三條驗 SCREEN OFF 之回應分支，**未驗依 screen priority 忽略之分支**		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
191	SR26_20260310-1635	4819572	物件頭	Out of Scope		適用	Disassociated	隨變體層	有	錨命中	Screen off hardkey starts the three second timer	EMPTY	不可比
192	SR26_20260310-1636	4819573	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	錨命中	Screen off hardkey pressed again within three seconds	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
193	SR26_20260310-1637	4819574	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	錨命中	Three second period completed after screen off hardkey	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
194	SR26_20260310-1638	4819575	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
195	SR26_20260310-1639	4819576	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	錨命中	Screen off hardkey pressed while HU screen off	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
196	SR26_20260310-1640	4819580	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
197	SR26_20260310-1641	4819581	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
198	SR26_20260310-1642	4819582	物件頭	Out of Scope		適用	Disassociated	隨變體層	有	錨命中	Knob 2 held stationary	EMPTY	不可比
199	SR26_20260310-1643	4819583	物件頭	Out of Scope		適用	Disassociated	隨變體層	有	錨命中	Knob 2 rotated clock-wise|Knob 2 rotated counter clock-wise|Three detents counted in one rotation	EMPTY	不可比
200	SR26_20260310-1644	4819584	物件頭	Out of Scope		適用	Disassociated	隨變體層	有	錨命中	Knob 2 no change sent periodically	EMPTY	不可比
201	SR26_20260310-1645	4819585	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
202	SR26_20260310-1646	4819586	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	錨命中	Knob 2 rotated on a scrollable screen|Knob 2 rotated on a tuner source|Knob 2 signals acted on by the HU	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
203	SR26_20260310-1647	4819617	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	錨命中	Button responsive after release|Press ignored during stuck condition	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
204	SR26_20260310-1648	4819628	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
205	SR26_20260310-1649	4819630	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
206	SR26_20260310-1650	4819631	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
207	SR26_20260310-1651	4819632	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
208	SR26_20260310-1652	4819635	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
209	SR26_20260310-1653	4819637	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	有	行為等值：與 4821022 逐字相同之需求（§1.8 對應節），同一觀察即涵蓋		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
210	SR26_20260310-1654	4819638	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
211	SR26_20260310-1655	4819641	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
212	SR26_20260310-1656	4819642	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
213	SR26_20260310-1657	4819644	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
214	SR26_20260310-1658	4819645	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
215	SR26_20260310-1659	4819646	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
216	SR26_20260310-1660	4819648	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
217	SR26_20260310-1661	4819651	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
218	SR26_20260310-1662	4819652	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
219	SR26_20260310-1663	4819654	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
220	SR26_20260310-1664	4819657	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
221	SR26_20260310-1665	4819659	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
222	SR26_20260310-1666	4819662	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	部分	行為等值：b03「Three second period completed」驗逾時後 DISP_OFF，**未驗 $CCDMF_RQ_DISP_INTS$ 之 CFTS022-2145 條件分支**		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
223	SR26_20260310-1667	4819664	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
224	SR26_20260310-1668	4819667	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
225	SR26_20260310-1669	4819668	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
226	SR26_20260310-1670	4819670	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
227	SR26_20260310-1671	4819671	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
228	SR26_20260310-1672	4819679	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
229	SR26_20260310-1673	4819859	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
230	SR26_20260310-1674	4819861	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
231	SR26_20260310-1675	4819863	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
232	SR26_20260310-1676	4819865	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
233	SR26_20260310-1677	4819868	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
234	SR26_20260310-1678	4819872	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
235	SR26_20260310-1679	4819875	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
236	SR26_20260310-1680	4819877	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
237	SR26_20260310-1681	4819878	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
238	SR26_20260310-1682	4819879	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
239	SR26_20260310-1683	4819880	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
240	SR26_20260310-1684	4819884	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
241	SR26_20260310-1685	4819885	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
242	SR26_20260310-1686	4819889	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
243	SR26_20260310-1687	4819890	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
244	SR26_20260310-1688	4819897	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
245	SR26_20260310-1689	4819915	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
246	SR26_20260310-1690	4819916	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
247	SR26_20260310-1691	4819917	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
248	SR26_20260310-1692	4819919	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
249	SR26_20260310-1693	4819921	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
250	SR26_20260310-1694	4820117	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
251	SR26_20260310-1695	4820120	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
252	SR26_20260310-1696	4820130	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
253	SR26_20260310-1697	4820134	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
254	SR26_20260310-1698	4820135	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
255	SR26_20260310-1699	4820137	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
256	SR26_20260310-1700	4820140	物件頭	Information		不適用	Disassociated	隨變體層	無	無		EMPTY	不可比
257	SR26_20260310-1701	4820143	物件頭	Information		不適用	Disassociated	隨變體層	無	無		EMPTY	不可比
258	SR26_20260310-1702	4820147	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
259	SR26_20260310-1703	4820152	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
260	SR26_20260310-1704	4820153	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
261	SR26_20260310-1705	4820157	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
262	SR26_20260310-1706	4820159	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
263	SR26_20260310-1707	4821013	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
264	SR26_20260310-1708	4821015	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
265	SR26_20260310-1709	4821016	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
266	SR26_20260310-1710	4821017	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
267	SR26_20260310-1711	4821023	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
268	SR26_20260310-1712	4821027	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
269	SR26_20260310-1713	4821030	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
270	SR26_20260310-1714	4821031	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
271	SR26_20260310-1715	4821033	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
272	SR26_20260310-1716	4821037	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
273	SR26_20260310-1717	4821042	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
274	SR26_20260310-1718	4821049	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
275	SR26_20260310-1719	4821053	物件頭	Out of Scope		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
276	SR26_20260310-1720	4821676	物件頭	Information		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
277	SR26_20260310-1721	4821679	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
278	SR26_20260310-1722	4821681	物件頭	Information		適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Back button pressed	EMPTY	不可比
279	SR26_20260310-1723	4821683	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
280	SR26_20260310-1724	4821684	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
281	SR26_20260310-1725	4821685	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
282	SR26_20260310-1726	4821686	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
283	SR26_20260310-1727	4821687	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
284	SR26_20260310-1728	4821688	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Two ICS buttons pressed at the same time	EMPTY	不可比
285	SR26_20260310-1729	4821689	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Button event change reported within Tbutton	EMPTY	不可比
286	SR26_20260310-1730	4821691	物件頭	Information		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
287	SR26_20260310-1731	4821693	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Knob 1 status sent on BH-CAN|Knob 2 held stationary|Knob 2 no change sent periodically|Knob 2 rotated clock-wise|Knob 2 rotated counter clock-wise|Three detents counted in one rotation	EMPTY	不可比
288	SR26_20260310-1732	4821694	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Knob 2 held stationary|Knob 2 no change sent periodically	EMPTY	不可比
289	SR26_20260310-1733	4821695	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Three detents counted in one rotation	EMPTY	不可比
290	SR26_20260310-1734	4821696	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Knob 2 rotated clock-wise|Knob 2 rotated counter clock-wise|Three detents counted in one rotation	EMPTY	不可比
291	SR26_20260310-1735	4821697	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Knob 2 no change sent periodically	EMPTY	不可比
292	SR26_20260310-1736	4821698	物件頭	Out of Scope		適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Knob 2 no change sent periodically	EMPTY	不可比
293	SR26_20260310-1737	4821700	物件頭	Information		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
294	SR26_20260310-1738	4821701	物件頭	Functional Requirement	Y	適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Three detents rotated clock-wise	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
295	SR26_20260310-1739	4821702	物件頭	Functional Requirement	Y	適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Knob 2 rotated on a scrollable screen|Knob 2 rotated on a tuner source|Knob 2 signals acted on by the HU	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
296	SR26_20260310-1740	4821703	物件頭	Functional Requirement	Y	適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Knob 2 held stationary	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
297	SR26_20260310-1741	4821704	物件頭	Functional Requirement	Y	適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Back button pressed|Enter button pressed	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
298	SR26_20260310-1742	4821705	物件頭	Functional Requirement	Y	適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Screen off hardkey pressed while HU screen off	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
299	SR26_20260310-1743	4821706	物件頭	Functional Requirement	Y	適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Screen off hardkey starts the three second timer|Three second period completed after screen off hardkey	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
300	SR26_20260310-1744	4821707	物件頭	Information		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
301	SR26_20260310-1745	4821708	物件頭	Information		適用	Associated	算數（R-ICS39，裁決）	無	無		EMPTY	不可比
302	SR26_20260310-1746	4821709	物件頭	Functional Requirement	Y	適用	Associated	算數（R-ICS39，裁決）	有	錨命中	Mute hardkey pressed while audio muted|Mute hardkey pressed while audio unmuted	Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
303	SR26_20260310-1747	4821710	物件頭	Functional Requirement	Y	適用	Associated	算數（R-ICS39，裁決）	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
304	SR26_20260310-1748	4819538	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
305	SR26_20260310-1749	4819542	節標題錨	Information		NA	NA	NA	無	無		EMPTY	不可比
306	SR26_20260310-1750	4819556	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
307	SR26_20260310-1751	4819570	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
308	SR26_20260310-1752	4819577	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
309	SR26_20260310-1753	4819579	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
310	SR26_20260310-1754	4819588	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
311	SR26_20260310-1755	4819592	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
312	SR26_20260310-1756	4819609	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
313	SR26_20260310-1757	4819615	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
314	SR26_20260310-1758	4819616	物件頭	Functional requirement	Y	適用	Disassociated	隨變體層	有	行為等值：b01／b02 之 Stuck button 四條驗 HU 判定實體按鍵卡住與其後續行為，即本條		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	我方較寬
315	SR26_20260310-1759	4819618	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
316	SR26_20260310-1760	4819619	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
317	SR26_20260310-1761	4819627	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
318	SR26_20260310-1762	4819634	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
319	SR26_20260310-1763	4819636	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
320	SR26_20260310-1764	4819640	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
321	SR26_20260310-1765	4819647	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
322	SR26_20260310-1766	4819650	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
323	SR26_20260310-1767	4819656	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
324	SR26_20260310-1768	4819665	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
325	SR26_20260310-1769	4819666	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
326	SR26_20260310-1770	4819675	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
327	SR26_20260310-1771	4819848	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
328	SR26_20260310-1772	4819849	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
329	SR26_20260310-1773	4819858	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
330	SR26_20260310-1774	4819870	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
331	SR26_20260310-1775	4819871	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
332	SR26_20260310-1776	4819913	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
333	SR26_20260310-1777	4819914	物件頭	Heading		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
334	SR26_20260310-1778	4819920	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
