sys2_row	sys_ra_id	category	swhw	heading_ancestor	signals	values	documents	values_narrow_REPEALED	melco	anchor_kind	candidate_leaf	candidate_from	empty_semantics	note	func_l1	func_l2	func_l3
217	SYS2-RA-216	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_REAR_CAMERA		0% Intensity ¦ DISP_REAR_CAMERA		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
219	SYS2-RA-218	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_OFF		0% Intensity ¦ DISP_OFF		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
222	SYS2-RA-221	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	CCDMF_RQ_DISP_INTS ¦ RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_OFF		0% Intensity ¦ DISP_OFF		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
226	SYS2-RA-225	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	RQ_DISP_INTS ¦ TGW_DISP_STAT	0% Intensity ¦ DISP_OFF		0% Intensity ¦ DISP_OFF		signal	SWE-DM-007 ¦ SWE-DM-008	glossary_phrase		heading 錨無逐字 leaf 片語；glossary 錨（R-DM22，區分大小寫）：SWE-DM-007←RVC->'Rear View Camera' @description；SWE-DM-008←RVC->'Rear View Camera' @description	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
238	SYS2-RA-237	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	CM_TCH_STAT ¦ TGW_DISP_STAT	DISP_NORMAL ¦ DISP_OFF ¦ ON_BLANK ¦ SNA		DISP_NORMAL ¦ DISP_OFF ¦ ON_BLANK ¦ SNA		signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
241	SYS2-RA-240	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
245	SYS2-RA-244	Functional Requirement	SW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
246	SYS2-RA-245	Functional Requirement	SW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
247	SYS2-RA-246	Functional Requirement	SW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
248	SYS2-RA-247	Functional Requirement	SW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
249	SYS2-RA-248	Functional Requirement	SW	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
294	SYS2-RA-293	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	ICS_KNOB1_DIR ¦ ICS_KNOB1_VAL					signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
295	SYS2-RA-294	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	ICS_KNOB2_DIR ¦ ICS_KNOB2_VAL					signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
296	SYS2-RA-295	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
297	SYS2-RA-296	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	Back_Button ¦ Enter_Button					signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
298	SYS2-RA-297	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	ICSScreenOffButton					signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
299	SYS2-RA-298	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	ICSScreenOffButton					signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
302	SYS2-RA-301	Functional Requirement	System	r72 2.2 Serializer Touch Interrupt PIN Definition	ICSMuteButton					signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
303	SYS2-RA-302	Functional Requirement	HW	r72 2.2 Serializer Touch Interrupt PIN Definition	ICSPowerButton					signal			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
314	SYS2-RA-313	Functional requirement	System	r313 Stuck Button Behavior						heading			(3) 方法之界線：heading／glossary 兩錨皆已施用而未接上；非「已查證不存在」，亦非「未追查」	heading 錨無逐字 leaf 片語；glossary 錨無命中	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
