lid_row	logical_identifier	function	atlantis_signal_name	lookup_key	proxi_row	proxi_values	related_leaf	anchor_kind	note	keyword_note
81	ETCM_Present		CAN node 95 (ITBM/ITCM)	Atlantis Signal Name=CAN node 95 (ITBM/ITCM)	101	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r101（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 95 (ITBM/ITCM)）	
82	External_LTE_Diversity_Antenna		External_LTE_Diversity_Antenna	Atlantis Signal Name=External_LTE_Diversity_Antenna ¦ Logical Identifier=External_LTE_Diversity_Antenna	731	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r731（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=External_LTE_Diversity_Antenna ¦ Logical Identifier=External_LTE_Diversity_Antenna）	
83	External_Port_Type	External Port Type	External_Port_Type	Atlantis Signal Name=External_Port_Type ¦ Logical Identifier=External_Port_Type	505	0 = Absent 1 = AUX only 2 = AUX + USB 3 = AUX + USB + SD 4 = AUX + USB + extra USB 5 = AUX + USB + SD + extra USB 6 = AUX + USB + extra USB + extra USB 7 = USB Only		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r505（Parameter Group: Infotainment_Configuration_5；查詢鍵 Atlantis Signal Name=External_Port_Type ¦ Logical Identifier=External_Port_Type）	
84	External_Speaker_Presence		External_Speaker_Presence	Atlantis Signal Name=External_Speaker_Presence ¦ Logical Identifier=External_Speaker_Presence	732	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r732（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=External_Speaker_Presence ¦ Logical Identifier=External_Speaker_Presence）	
85	FM2_Presence	Antenna type (secondary only)	FM2_Presence	Atlantis Signal Name=FM2_Presence ¦ Logical Identifier=FM2_Presence	540	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r540（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=FM2_Presence ¦ Logical Identifier=FM2_Presence）	
86	FPDM_Present	FPDM Present	CAN node 91 (FPDM)	Atlantis Signal Name=CAN node 91 (FPDM)	97	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r97（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 91 (FPDM)）	
87	Fuel_Cell_Presence	Feature present	Fuel_Cell_Presence	Atlantis Signal Name=Fuel_Cell_Presence ¦ Logical Identifier=Fuel_Cell_Presence	879	0 = Fuel_Cell_Absent 1 = Fuel_Cell_Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r879（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Fuel_Cell_Presence ¦ Logical Identifier=Fuel_Cell_Presence）	
88	FuelCapacity	Fuel capacity	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'VC_FUEL_CAP', 'FuelCapacity']	
89	FuelType	Fuel type	Fuel_Type	Atlantis Signal Name=Fuel_Type	284	0 = Invalid 1 = Gasoline 2 = Diesel 3 = CNG 4 = GPL 5 = Electric 6 = Hybrid 7 = Flex		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r284（Parameter Group: Car_Configuration_4；查詢鍵 Atlantis Signal Name=Fuel_Type）	
90	Full_Automatic_Parking_System	ParkAssist - Full Automatic Parking System	Semi_Automatic_Parking_System	Atlantis Signal Name=Semi_Automatic_Parking_System ¦ Logical Identifier=Full_Automatic_Parking_System	462,764	0 = Absent 1 = Present ¦ 0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r462,764（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Semi_Automatic_Parking_System ¦ Logical Identifier=Full_Automatic_Parking_System）	
91	Geolocalization_Menu_Presence		Geolocation_Menu	Atlantis Signal Name=Geolocation_Menu	734	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r734（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Geolocation_Menu）	
92	GLOVEBOX_SK_PRSNT		Glove_Box_Lock	Atlantis Signal Name=Glove_Box_Lock	716	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r716（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Glove_Box_Lock）	
93	GPS_Presence	GPS Antenna Present	GPS_Presence	Atlantis Signal Name=GPS_Presence ¦ Logical Identifier=GPS_Presence	543	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r543（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=GPS_Presence ¦ Logical Identifier=GPS_Presence）	
94	HALFPresent	HALF Module Present	EOL node 30 (HALF)	Atlantis Signal Name=EOL node 30 (HALF)	164	0 = Hasn't EOL 1 = Has EOL		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r164（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=EOL node 30 (HALF)）	
95	Head_Unit_Screen_Size		Radio_Display_Type	Atlantis Signal Name=Radio_Display_Type	800	0 = Absent 1 = 7" 1280x768 2 = 8.4" 1024x768 3 = 10.1" 1920x1200 4 = 10.1" 1200x1920 5 = 10.25" 1920x720 6 = 12" 1920x1200 7 = 12" 1200x1920 8 = 12.3" 1920x720 9 = 14.5" 1024x1920		cfts_usage	無 leaf 片語逐字命中；Primary CFTS Usage 逐字含 CFTS020（CFTS020）；PROXI Format 定義於 r800（Parameter Group: Infotainment_Configuration_28；查詢鍵 Atlantis Signal Name=Radio_Display_Type）	僅揭露，非錨：Screen
96	Heated_Mirror_cfg	Heated_Mirror present	Car_Configuration_2.Heated_Mirror					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Car_Configuration_2.Heated_Mirror', 'Proxi_Heated_Mirror', 'Heated_Mirror_cfg']	
97	Heated_Seat_Levels	Heated Seat Levels	Heated_Seat_Levels	Atlantis Signal Name=Heated_Seat_Levels ¦ Logical Identifier=Heated_Seat_Levels	760	0 = 1 Level 1 = 2 Levels 2 = 3 Levels		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r760（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Heated_Seat_Levels ¦ Logical Identifier=Heated_Seat_Levels）	
98	Heated_Seats	Heated Seat Presence	Heated_Seats	Atlantis Signal Name=Heated_Seats ¦ Logical Identifier=Heated_Seats	290	0 = Absent 1 = Front Seats 2 = Front And Rear Seats 3 = Not Used		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r290（Parameter Group: Car_Configuration_5；查詢鍵 Atlantis Signal Name=Heated_Seats ¦ Logical Identifier=Heated_Seats）	
99	Heated_Steering_Levels		Heated_Steering_Wheel_Levels	Atlantis Signal Name=Heated_Steering_Wheel_Levels	775	0 = 1 Level 1 = 2 Levels 2 = 3 Levels		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r775（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Heated_Steering_Wheel_Levels）	
100	Heated_Steering_Levels		Heated_Steering_Wheel_Levels	Atlantis Signal Name=Heated_Steering_Wheel_Levels	775	0 = 1 Level 1 = 2 Levels 2 = 3 Levels		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r775（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Heated_Steering_Wheel_Levels）	
101	Heated_Steering_Wheel	Heated Steering Wheel Presence	Heated_Steering_Wheel	Atlantis Signal Name=Heated_Steering_Wheel ¦ Logical Identifier=Heated_Steering_Wheel	550	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r550（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Heated_Steering_Wheel ¦ Logical Identifier=Heated_Steering_Wheel）	
102	HillDescent	Hills Descent Present	Hill_Descendent_Control	Atlantis Signal Name=Hill_Descendent_Control	408	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r408（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Hill_Descendent_Control）	
103	HV_Battery_Pack	See proxi file	HV_Battery_Pack	Atlantis Signal Name=HV_Battery_Pack ¦ Logical Identifier=HV_Battery_Pack	827	0 = None 1 = 400V 2 = 800V		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r827（Parameter Group: Electric_Configuration_1；查詢鍵 Atlantis Signal Name=HV_Battery_Pack ¦ Logical Identifier=HV_Battery_Pack）	
104	HVAC_AUTO_ECO_Mode	Feature present	HVAC_AUTO_ECO_Mode	Atlantis Signal Name=HVAC_AUTO_ECO_Mode ¦ Logical Identifier=HVAC_AUTO_ECO_Mode	973	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r973（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=HVAC_AUTO_ECO_Mode ¦ Logical Identifier=HVAC_AUTO_ECO_Mode）	
105	Hybrid_Type	Type of hybrid vehicle	Hybrid_Type	Atlantis Signal Name=Hybrid_Type ¦ Logical Identifier=Hybrid_Type	613	0 = Not Applicable 1 = Battery Electric Vehicle (BEV) 2 = Hybrid Electric Vehicle 3 = Plugin Hybrid Electric Vehicle 4 = 48V Belt Start Generator (BSG) 5 = 12V Belt Start Generator (BSG) 6 = Range Electric Paradigm Breaker (REPB) 7 = Fuel Cell Electric Vehicle (FCEV)		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r613（Parameter Group: Car_Configuration_26；查詢鍵 Atlantis Signal Name=Hybrid_Type ¦ Logical Identifier=Hybrid_Type）	
106	ICSPresent	Integrated Center Stack Module (1=present)	Can Configuration.CAN node 50 (ICS)					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Can Configuration.CAN node 50 (ICS)', 'Proxi_CAN_Conf_ent)', 'ICSPresent']	
107	Independent_Rear_Fan	Independent Rear Blower presence	Rear_Blower Indipendent_Rear_Fan	Atlantis Signal Name=Indipendent_Rear_Fan	704	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r704（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Indipendent_Rear_Fan）	
108	Int_CAM_PRSNT		Interior_Monitoring_Camera	Atlantis Signal Name=Interior_Monitoring_Camera	777	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r777（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Interior_Monitoring_Camera）	僅揭露，非錨：Camera
109	INTERCOM_PRESENT							none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['INTERCOM_PRESENT']	
110	Intersection_Collision_Assist	Intersection Collision Assist	Intersection_Collision_Assist	Atlantis Signal Name=Intersection_Collision_Assist ¦ Logical Identifier=Intersection_Collision_Assist	743	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r743（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Intersection_Collision_Assist ¦ Logical Identifier=Intersection_Collision_Assist）	
111	ITBMPresence	ITBM present	CAN node 95					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['CAN node 95', 'ITBMPresence']	
112	IVW_presence		Wizard_Feature	Atlantis Signal Name=Wizard_Feature	778	0 = Off 1 = Present on TLM 2 = Present on IPC 3 = Present on IPC and TLM		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r778（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Wizard_Feature）	
113	Lane_Assist	Active Lane Management	Lane_Assist	Atlantis Signal Name=Lane_Assist ¦ Logical Identifier=Lane_Assist	710	0 = Not Present 1 = Lane Departure Warning 2 = Lane Departure Warning + Lane Keep Assist 3 = Active Lane Management		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r710（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Lane_Assist ¦ Logical Identifier=Lane_Assist）	
114	Market_Area		Market_Area	Atlantis Signal Name=Market_Area ¦ Logical Identifier=Market_Area	678	0 = NAFTA 1 = EMEA 2 = LATAM 3 = APAC		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r678（Parameter Group: Car_Configuration_33；查詢鍵 Atlantis Signal Name=Market_Area ¦ Logical Identifier=Market_Area）	
115	Memory_Seat_Feature_Presence	Feature present						none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Memory_Seat_Feature_Presence']	
116	Memory_Seat_Positions	Proxi parameter to define the number of Memory Seat Positions	Memory_Seat_Positions	Atlantis Signal Name=Memory_Seat_Positions ¦ Logical Identifier=Memory_Seat_Positions	935	0 = Two memory seat positions 1 = Three memory seat positions 2 = Four memory seat positions 3 = Five memory seat positions		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r935（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Memory_Seat_Positions ¦ Logical Identifier=Memory_Seat_Positions）	
117	Memory_Seat_Presence		Memory_System	Atlantis Signal Name=Memory_System	534	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r534（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Memory_System）	
118	MicrophoneAcousticCharacteristics	Defines acoustic characterstics of the Microphone.	PROXI: Infotainment_Configuration_8.Microphone_Type					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'Tyfxracterstic_Dusties Defi', 'MicrophoneAcousticCharacteristics']	
119	MicrophoneQuantity	Defines how many Microphones are present.	PROXI: Infotainment_Configuration_7.Microphone_Configuration					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'tifxr_D manes Defi', 'MicrophoneQuantity']	
120	MicrophoneTuningSet	Defines which set of Microphone Tuning data is to be used.	PROXI: Infotainment_Configuration_5.Microphone_Tuning_Parameter					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'etfx Microphone Tuning_Dch ses Defi', 'MicrophoneTuningSet']	
121	MIM_PRESENCE	Feature present	EOL node MIM					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['EOL node MIM', 'MIM_PRESENCE']	
122	Model_Equipement		Model_Equipement	Atlantis Signal Name=Model_Equipement ¦ Logical Identifier=Model_Equipement	622	0 = non - Rebel 1 = Rebel		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r622（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Model_Equipement ¦ Logical Identifier=Model_Equipement）	
123	NAV_Presence		NAV_Presence	Atlantis Signal Name=NAV_Presence ¦ Logical Identifier=NAV_Presence	528	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r528（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=NAV_Presence ¦ Logical Identifier=NAV_Presence）	
124	NET_CFG_INT	NET_CFG_INT	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'NET_CFG_INT', 'NET_CFG_INT']	
125	NET_CFG_PT	NET_CFG_PT	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'NET_CFG_PT', 'NET_CFG_PT']	
126	NET_CFG_STAT_INT	Network configuration status	Not Applicable					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Not Applicable', 'NET_CFG_STAT_INT', 'NET_CFG_STAT_INT']	
127	NET_CFG_STAT_PT	Network configuration status for powertrain bus	Not Applicable					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Not Applicable', 'NET_CFG_STAT_PT', 'NET_CFG_STAT_PT']	
128	NetCfg_ADCM	Active Dampening Control Present	CANnode37(DCM/ADCM)					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['CANnode37(DCM/ADCM)', 'NetCfg_ADCM', 'NetCfg_ADCM']	
129	NetCfg_ASBS	Network Config for ASBS	CAN node 54 (ASBS)	Atlantis Signal Name=CAN node 54 (ASBS)	60	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r60（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 54 (ASBS)）	
130	NetCfg_ASCM	Network Config for ASCM	CAN node 27 (ASM/ASCM)	Atlantis Signal Name=CAN node 27 (ASM/ASCM)	33	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r33（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 27 (ASM/ASCM)）	
131	NetCfg_DCSD							none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['NetCfg_DCSD', 'NetCfg_DCSD']	僅揭露，非錨：DCSD
132	NetCfg_DTCM	Network Config for DTCM	CAN node 67 (DTCM)	Atlantis Signal Name=CAN node 67 (DTCM)	73	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r73（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 67 (DTCM)）	
133	NetCfg_DVD_CDM	In-dash DVD player Module (1=present)	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'NetCfg_DVD_CDM', 'NetCfg_DVD_CDM']	
134	NetCfg_ELSD	Network Config for ELSD	CAN node 105 (ELSDM)	Atlantis Signal Name=CAN node 105 (ELSDM)	111	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r111（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 105 (ELSDM)）	
135	NetCfg_EPS	EPS Present	CAN node 2 (EPS)	Atlantis Signal Name=CAN node 2 (EPS)	8	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r8（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 2 (EPS)）	
136	NetCfg_HCP	vehicle is PHEV						none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['NetCfg_HCP', 'NetCfg_HCP']	
137	NetCfg_PPIM	Feature present	CAN Node 71 (PPIM)					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['CAN Node 71 (PPIM)', 'NetCfg_PPIM']	
138	NetCfg_PTCM							none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['NetCfg_PTCM', 'NetCfg_PTCM']	
139	NetCfg_TCM	Automatic Transmission Controller (1=present)	CAN node 11 (MTA/TCM/DCTM)	Atlantis Signal Name=CAN node 11 (MTA/TCM/DCTM)	17	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r17（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 11 (MTA/TCM/DCTM)）	
140	NetCfg_VES2_I	Video Entertainment System Screen 2 Module (1=present)	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'NetCfg_VES2_I', 'NetCfg_VES2_I']	僅揭露，非錨：Screen
141	NetCfg_VES3_I	Video Entertainment System Screen 1 Module (1=present)	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'NetCfg_VES3_I', 'NetCfg_VES3_I']	僅揭露，非錨：Screen
142	NetCfg_VRM	Video Routimg Module Present	CAN node 127 (VRM)	Atlantis Signal Name=CAN node 127 (VRM)	133	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r133（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 127 (VRM)）	
143	NetCfg_VSIM	Vehicle System Interface Module (1=present)	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'NetCfg_VSIM', 'NetCfg_VSIM']	
144	Number_Of_Doors	PROXI parameter that defines Number of Doors on the vehicle	Car_Configuration_11.Number_Of_Doors	Logical Identifier=Number_Of_Doors	309	0 = No doors (Special Version) 1 = 2 Doors (Regular Cab) 2 = 3 Doors 3 = 4 Doors (Mega Cab or Crew Cab)		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r309（Parameter Group: Car_Configuration_11；查詢鍵 Logical Identifier=Number_Of_Doors）	
145	NumberOfVoiceRecognitionButtons	Defines how many Steering Wheel buttons can be used to activate / deactivate Voice Recognition.	PROXI: Infotainment_Configuration_8.Voice_Recognition_Activation					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'NumberOfVoiceRecognitionButtons']	
146	OC_Dsbl	Open Circuit Disable for ANC	<Speaker>_Open_Circuit_Disable - RF/RR/LF/LR					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['<Speaker>_Open_Circuit_Disable - RF/RR/LF/LR', 'Proxi_CAN_n Ci_ ANC', 'OC_Dsbl']	
147	OCM_Present	Occupant Classification Module present	CAN node 78 (OCM)	Atlantis Signal Name=CAN node 78 (OCM)	84	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r84（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 78 (OCM)）	
148	OFFroad_Camera	Off Road camera present	Forward_Facing_Camera	Atlantis Signal Name=Forward_Facing_Camera	762	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r762（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Forward_Facing_Camera）	僅揭露，非錨：Camera,camera
149	OFFRoadModePrsnt	Off Road Plus mode present	Not Applicable					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Not Applicable', 'VC_OFFRoadModePrsnt', 'OFFRoadModePrsnt']	
150	PAMConfiguration	PAM Configuration on vehicle	PAM_Configuration	Atlantis Signal Name=PAM_Configuration	516	0 = Rear 1 = Front And Rear		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r516（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=PAM_Configuration）	
151	PANIC		PANIC					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PANIC', 'PANIC']	
152	Park_Assist_Volume_Strategy		Park_Assist_Volume_Strategy	Atlantis Signal Name=Park_Assist_Volume_Strategy ¦ Logical Identifier=Park_Assist_Volume_Strategy	745	0 = Customer Selectable Setting 1 = Gear Position Based		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r745（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Park_Assist_Volume_Strategy ¦ Logical Identifier=Park_Assist_Volume_Strategy）	
153	Park_With_Stop	ParkSense	Park_With_Stop	Atlantis Signal Name=Park_With_Stop ¦ Logical Identifier=Park_With_Stop	405	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r405（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Park_With_Stop ¦ Logical Identifier=Park_With_Stop）	
154	Phone_As_A_Key	Feature present	Phone_As_A_Key	Atlantis Signal Name=Phone_As_A_Key ¦ Logical Identifier=Phone_As_A_Key	896	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r896（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Phone_As_A_Key ¦ Logical Identifier=Phone_As_A_Key）	
155	Police_cfg	LD Pursuit present						none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['VC_POLICE', 'Police_cfg']	
156	Proxi_External_Temperature_Sensor	Display outside temperature present	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'VC_TEMP_DISP', 'Proxi_External_Temperature_Sensor']	僅揭露，非錨：DISP,Disp
157	Proxi_Rain_Sensor	Rain sensor present	PROXI					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['PROXI', 'VC_RainSnsPrsnt', 'Proxi_Rain_Sensor']	
158	PTCM_Present		CAN node 101 (PTCM)	Atlantis Signal Name=CAN node 101 (PTCM)	107	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r107（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 101 (PTCM)）	
159	PWR_INV_PRSNT		Power_Inverter_Presence	Atlantis Signal Name=Power_Inverter_Presence ¦ Object Text=Power_Inverter_Presence	853	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r853（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Power_Inverter_Presence ¦ Object Text=Power_Inverter_Presence）	
160	QVPM_Configuration	Signal for determining Quiet Vehicle Pedestrian module setup	QVPM_Configuration	Atlantis Signal Name=QVPM_Configuration ¦ Logical Identifier=QVPM_Configuration	751	0 = Absent 1 = Present Front 2 = Present Rear 3 = Present Front And Rear		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r751（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=QVPM_Configuration ¦ Logical Identifier=QVPM_Configuration）	
161	Rear_Heated_Window_cfg	Rear Heated Window present	Car_Configuration_5.Rear_Heated_Window					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Car_Configuration_5.Rear_Heated_Window', 'Rear_Heated_Window_cfg']	
162	Rear_HVAC_cfg	Rear HVAC Present	CAN node 120 (ECC_Rear) Rear_Climate	Atlantis Signal Name=CAN node 120 (ECC_Rear) ¦ Atlantis Signal Name=Rear_Climate	126,351	0 = Absent 1 = Present ¦ 0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r126,351（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 120 (ECC_Rear) ¦ Atlantis Signal Name=Rear_Climate）	
163	Rear_ICS_cfg	Rear ICS Present						none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['NetCfg_ICS_R', 'Rear_ICS_cfg']	
164	Rear_Screens_Present	Rear Seat Entertainment Present/Absent	Rear_Screens_Present	Atlantis Signal Name=Rear_Screens_Present ¦ Logical Identifier=Rear_Screens_Present	804	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r804（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Rear_Screens_Present ¦ Logical Identifier=Rear_Screens_Present）	僅揭露，非錨：Screen
165	Regulation_Type	Identifies GSR markets/countries (and future types).	Regulation_Type	Atlantis Signal Name=Regulation_Type ¦ Logical Identifier=Regulation_Type	956	0 = Absent 1 = GSR Variant 2 = China Variant 3 = Korea Variant		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r956（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Regulation_Type ¦ Logical Identifier=Regulation_Type）	
166	Remote_Headlights Feature							none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['EC_AudTel4B: <Remote Headlights Feature>', 'Remote_Headlights Feature']	
167	Remote_Start_cfg	Remote Start Configuration (1=present)	Car_Configuration_17.Remote_start					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Car_Configuration_17.Remote_start', 'Remote_Start_cfg']	
