tc_id	req_id	nav_steps	destination	entry_fixed_today	enter_comfort_reaches	missing_hop	hop_label_in_comfort_spec	hop_label_evidence	er_shift_if_rewritten
NR1L-ComfortHMI-118	SWE1-HVAC-125-01	Open the home screen	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-119	SWE1-HVAC-125-02	Open the home screen	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-120	SWE1-HVAC-125-03	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-121	SWE1-HVAC-125-04	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-122	SWE1-HVAC-125-05	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-123	SWE1-HVAC-125-06	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-124	SWE1-HVAC-125-07	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-125	SWE1-HVAC-126-01	Open the home screen | Move to the second Comfort widget screen	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-126	SWE1-HVAC-126-03	Open the home screen | Move through the Comfort widget screens until the first screen is shown again	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-127	SWE1-HVAC-003-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-128	SWE1-HVAC-003-02	(入口只宣告於 PC)	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-129	SWE1-HVAC-003-03	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-130	SWE1-HVAC-003-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-131	SWE1-HVAC-003-05	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-132	SWE1-HVAC-003-06	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-133	SWE1-HVAC-003-07	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-134	SWE1-HVAC-003-08	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-135	SWE1-HVAC-003-09	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-136	SWE1-HVAC-005-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-137	SWE1-HVAC-005-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-138	SWE1-HVAC-005-03	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-139	SWE1-HVAC-005-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-140	SWE1-HVAC-006-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-141	SWE1-HVAC-006-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-142	SWE1-HVAC-006-03	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-143	SWE1-HVAC-014-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-144	SWE1-HVAC-014-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-145	SWE1-HVAC-014-03	(入口只宣告於 PC)	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-146	SWE1-HVAC-014-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-147	SWE1-HVAC-014-05	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-148	SWE1-HVAC-014-06	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-149	SWE1-HVAC-015-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-150	SWE1-HVAC-015-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-151	SWE1-HVAC-015-03	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-152	SWE1-HVAC-019-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-153	SWE1-HVAC-012-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-154	SWE1-HVAC-012-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-155	SWE1-HVAC-012-03	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-156	SWE1-HVAC-012-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-157	SWE1-HVAC-012-05	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-158	SWE1-HVAC-012-06	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-159	SWE1-HVAC-013-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-160	SWE1-HVAC-013-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-161	SWE1-HVAC-013-03	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-162	SWE1-HVAC-013-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-163	SWE1-HVAC-017-01	Move to the next airflow mode four times, reading the mode after each	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-164	SWE1-HVAC-017-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-165	SWE1-HVAC-021-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-166	SWE1-HVAC-021-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-167	SWE1-HVAC-084	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-168	SWE1-HVAC-085	Open the RVC screen	無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-169	SWE1-HVAC-086-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-170	SWE1-HVAC-086-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-171	SWE1-HVAC-087-01		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-172	SWE1-HVAC-087-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-173	SWE1-HVAC-088	Open a NAV screen | Open a Projection screen	無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-174	SWE1-HVAC-089	Open a pop-up	無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-175	SWE1-HVAC-090-01	Open a pop-up that has a selectable item	無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-176	SWE1-HVAC-090-02	Open a pop-up that has a selectable item	無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-177	SWE1-HVAC-091	Open a pop-up	無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-178	SWE1-HVAC-092		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-179	SWE1-HVAC-093		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-180	SWE1-HVAC-094		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-181	SWE1-HVAC-095-01		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-182	SWE1-HVAC-095-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-183	SWE1-HVAC-097		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-184	SWE1-HVAC-100-01		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-185	SWE1-HVAC-100-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-186	SWE1-HVAC-100-03		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-187	SWE1-HVAC-101-01		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-188	SWE1-HVAC-101-02	Open the comfort popup	無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-189	SWE1-HVAC-101-03		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-190	SWE1-HVAC-102		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-191	SWE1-HVAC-103-01		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-192	SWE1-HVAC-103-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-193	SWE1-HVAC-104-01	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-194	SWE1-HVAC-104-02	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-195	SWE1-HVAC-104-03	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-196	SWE1-HVAC-104-04	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-197	SWE1-HVAC-104-05	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-198	SWE1-HVAC-104-06	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-199	SWE1-HVAC-104-07	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-200	SWE1-HVAC-104-08	(入口只宣告於 PC)	Home widget	no	no（不經 Comfort app）	Home Screen -> Comfort widget（不經 ENTER_COMFORT）	verbatim	17.1／18.1「The Comfort widget will have two screens: Comfort and Seats」—— 兩個 widget 畫面名為逐字；widget 之放置與開啟不在本 spec	yes
NR1L-ComfortHMI-201	SWE1-HVAC-105-01		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-202	SWE1-HVAC-105-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-203	SWE1-HVAC-107-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-204	SWE1-HVAC-107-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-205	SWE1-HVAC-107-03	(入口只宣告於 PC)	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-206	SWE1-HVAC-107-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-207	SWE1-HVAC-107-05	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-208	SWE1-HVAC-107-06	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-209	SWE1-HVAC-107-07	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-210	SWE1-HVAC-107-08	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-211	SWE1-HVAC-107-09	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-212	SWE1-HVAC-108	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-213	SWE1-HVAC-109-01	Open the climate screen on a vehicle whose model the system detects	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-214	SWE1-HVAC-109-02	Open the climate screen on a vehicle whose model the system cannot detect	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-215	SWE1-HVAC-115-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-216	SWE1-HVAC-115-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-217	SWE1-HVAC-115-03	(入口只宣告於 PC)	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-218	SWE1-HVAC-115-04	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-219	SWE1-HVAC-115-05	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-220	SWE1-HVAC-115-06	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-221	SWE1-HVAC-115-07	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
