# coverage.tsv —— CMF-06 §3-6：403 個 leaf（Requirement ID）→ TC 之對映。
# `workbook_tc_ids` 為交付本 F 欄之值；`json_tc_ids` 為語料層之 tc_id ——
#   依 R-C46 既有 466 列之 F 不重編，兩者自 CMF-02 起為兩套號碼（A-CMF19）。
# `vehicle_V_Y_Z` 逐列之三台旗標（V Promaster／Y Toro／Z Fastback）。
# `blocked` 非空者為佔列不產步驟之 marker 列（R-C24／R-C38）。
req_id	outline	tc_count	workbook_rows	workbook_tc_ids	json_tc_ids	vehicle_V_Y_Z	blocked
SWE1-HVAC-068-04	12.2	1	263	NR1L-ComfortHMI-253	NR1L-ComfortHMI-347	101	
SWE1-HVAC-069-01	12.3	1	264	NR1L-ComfortHMI-254	NR1L-ComfortHMI-348	101	
SWE1-HVAC-069-02	12.3	1	265	NR1L-ComfortHMI-255	NR1L-ComfortHMI-349	101	
SWE1-HVAC-070	12.4	1	266	NR1L-ComfortHMI-256	NR1L-ComfortHMI-350	101	
SWE1-HVAC-071-01	12.5	1	267	NR1L-ComfortHMI-257	NR1L-ComfortHMI-351	101	
SWE1-HVAC-071-02	12.5	1	268	NR1L-ComfortHMI-258	NR1L-ComfortHMI-352	101	
SWE1-HVAC-072	12.6	1	269	NR1L-ComfortHMI-259	NR1L-ComfortHMI-383	101	[BLOCKED-SPEC]
SWE1-HVAC-073-01	12.7	1	270	NR1L-ComfortHMI-260	NR1L-ComfortHMI-353	101	
SWE1-HVAC-073-02	12.7	1	271	NR1L-ComfortHMI-261	NR1L-ComfortHMI-354	101	
SWE1-HVAC-074-01	12.8	1	272	NR1L-ComfortHMI-262	NR1L-ComfortHMI-355	101	
SWE1-HVAC-074-02	12.8	1	273	NR1L-ComfortHMI-263	NR1L-ComfortHMI-356	101	
SWE1-HVAC-074-03	12.8	1	274	NR1L-ComfortHMI-264	NR1L-ComfortHMI-357	101	
SWE1-HVAC-075-01	12.9	1	275	NR1L-ComfortHMI-265	NR1L-ComfortHMI-358	101	
SWE1-HVAC-075-02	12.9	1	276	NR1L-ComfortHMI-266	NR1L-ComfortHMI-359	101	
SWE1-HVAC-075-03	12.9	1	277	NR1L-ComfortHMI-267	NR1L-ComfortHMI-360	101	
SWE1-HVAC-076-01	13.2	1	278	NR1L-ComfortHMI-268	NR1L-ComfortHMI-001	111	
SWE1-HVAC-076-02	13.2	1	279	NR1L-ComfortHMI-269	NR1L-ComfortHMI-002	111	
SWE1-HVAC-076-03	13.2	1	280	NR1L-ComfortHMI-270	NR1L-ComfortHMI-003	101	
SWE1-HVAC-077	13.2.1	1	281	NR1L-ComfortHMI-271	NR1L-ComfortHMI-004	111	
SWE1-HVAC-078-01	13.3	1	282	NR1L-ComfortHMI-272	NR1L-ComfortHMI-005	111	
SWE1-HVAC-078-02	13.3	1	283	NR1L-ComfortHMI-273	NR1L-ComfortHMI-006	111	
SWE1-HVAC-079-01	13.3.1	1	284	NR1L-ComfortHMI-274	NR1L-ComfortHMI-007	111	
SWE1-HVAC-079-02	13.3.1	1	285	NR1L-ComfortHMI-275	NR1L-ComfortHMI-008	111	
SWE1-HVAC-080-01	13.4	2	286,482	NR1L-ComfortHMI-276,NR1L-ComfortHMI-473	NR1L-ComfortHMI-009,NR1L-ComfortHMI-473	111;111	
SWE1-HVAC-080-02	13.4	1	287	NR1L-ComfortHMI-277	NR1L-ComfortHMI-010	111	[BLOCKED-SPEC]
SWE1-HVAC-081-01	13.5	1	288	NR1L-ComfortHMI-278	NR1L-ComfortHMI-011	111	
SWE1-HVAC-081-02	13.5	1	289	NR1L-ComfortHMI-279	NR1L-ComfortHMI-012	111	[BLOCKED-SPEC]
SWE1-HVAC-082-01	13.6	1	290	NR1L-ComfortHMI-280	NR1L-ComfortHMI-013	111	
SWE1-HVAC-082-02	13.6	1	291	NR1L-ComfortHMI-281	NR1L-ComfortHMI-014	111	
SWE1-HVAC-083	14.1	1	292	NR1L-ComfortHMI-282	NR1L-ComfortHMI-434	101	
SWE1-HVAC-084	14.1.1	1	293	NR1L-ComfortHMI-283	NR1L-ComfortHMI-167	101	
SWE1-HVAC-085	14.2	1	294	NR1L-ComfortHMI-284	NR1L-ComfortHMI-168	101	
SWE1-HVAC-086-01	14.3	1	295	NR1L-ComfortHMI-285	NR1L-ComfortHMI-169	101	
SWE1-HVAC-086-02	14.3	1	296	NR1L-ComfortHMI-286	NR1L-ComfortHMI-170	101	
SWE1-HVAC-087-01	14.4	1	297	NR1L-ComfortHMI-287	NR1L-ComfortHMI-171	101	
SWE1-HVAC-087-02	14.4	1	298	NR1L-ComfortHMI-288	NR1L-ComfortHMI-172	101	
SWE1-HVAC-088	14.5	1	299	NR1L-ComfortHMI-289	NR1L-ComfortHMI-173	101	
SWE1-HVAC-089	14.6	1	300	NR1L-ComfortHMI-290	NR1L-ComfortHMI-174	101	
SWE1-HVAC-090-01	14.7	1	301	NR1L-ComfortHMI-291	NR1L-ComfortHMI-175	101	
SWE1-HVAC-090-02	14.7	1	302	NR1L-ComfortHMI-292	NR1L-ComfortHMI-176	101	
SWE1-HVAC-091	14.8	1	303	NR1L-ComfortHMI-293	NR1L-ComfortHMI-177	101	
SWE1-HVAC-092	14.9	1	304	NR1L-ComfortHMI-294	NR1L-ComfortHMI-178	101	
SWE1-HVAC-093	14.10	1	305	NR1L-ComfortHMI-295	NR1L-ComfortHMI-179	101	
SWE1-HVAC-094	14.10.1	1	306	NR1L-ComfortHMI-296	NR1L-ComfortHMI-180	101	
SWE1-HVAC-095-01	14.11	1	307	NR1L-ComfortHMI-297	NR1L-ComfortHMI-181	101	
SWE1-HVAC-095-02	14.11	1	308	NR1L-ComfortHMI-298	NR1L-ComfortHMI-182	101	
SWE1-HVAC-096-01	14.12	1	309	NR1L-ComfortHMI-299	NR1L-ComfortHMI-374	001	
SWE1-HVAC-096-02	14.12	1	310	NR1L-ComfortHMI-300	NR1L-ComfortHMI-375	101	
SWE1-HVAC-096-03	14.12	1	311	NR1L-ComfortHMI-301	NR1L-ComfortHMI-376	001	
SWE1-HVAC-097	14.13	1	312	NR1L-ComfortHMI-302	NR1L-ComfortHMI-183	101	
SWE1-HVAC-098	14.14	1	313	NR1L-ComfortHMI-303	NR1L-ComfortHMI-377	101	
SWE1-HVAC-099	14.15	1	314	NR1L-ComfortHMI-304	NR1L-ComfortHMI-461	101	
SWE1-HVAC-100-01	14.16	1	315	NR1L-ComfortHMI-305	NR1L-ComfortHMI-184	101	
SWE1-HVAC-100-02	14.16	1	316	NR1L-ComfortHMI-306	NR1L-ComfortHMI-185	101	
SWE1-HVAC-100-03	14.16	1	317	NR1L-ComfortHMI-307	NR1L-ComfortHMI-186	101	
SWE1-HVAC-101-01	14.16.1	1	318	NR1L-ComfortHMI-308	NR1L-ComfortHMI-187	101	
SWE1-HVAC-101-02	14.16.1	1	319	NR1L-ComfortHMI-309	NR1L-ComfortHMI-188	101	
SWE1-HVAC-101-03	14.16.1	1	320	NR1L-ComfortHMI-310	NR1L-ComfortHMI-189	101	
SWE1-HVAC-102	14.17	1	321	NR1L-ComfortHMI-311	NR1L-ComfortHMI-190	101	
SWE1-HVAC-103-01	14.18	1	322	NR1L-ComfortHMI-312	NR1L-ComfortHMI-191	101	
SWE1-HVAC-103-02	14.18	2	323,324	NR1L-ComfortHMI-313,NR1L-ComfortHMI-314	NR1L-ComfortHMI-192,NR1L-ComfortHMI-410	101;101	
SWE1-HVAC-104-01	14.19	1	325	NR1L-ComfortHMI-315	NR1L-ComfortHMI-193	101	
SWE1-HVAC-104-02	14.19	1	326	NR1L-ComfortHMI-316	NR1L-ComfortHMI-194	101	
SWE1-HVAC-104-03	14.19	1	327	NR1L-ComfortHMI-317	NR1L-ComfortHMI-195	101	
SWE1-HVAC-104-04	14.19	1	328	NR1L-ComfortHMI-318	NR1L-ComfortHMI-196	101	
SWE1-HVAC-104-05	14.19	1	329	NR1L-ComfortHMI-319	NR1L-ComfortHMI-197	101	
SWE1-HVAC-104-06	14.19	1	330	NR1L-ComfortHMI-320	NR1L-ComfortHMI-198	101	
SWE1-HVAC-104-07	14.19	1	331	NR1L-ComfortHMI-321	NR1L-ComfortHMI-199	101	
SWE1-HVAC-104-08	14.19	1	332	NR1L-ComfortHMI-322	NR1L-ComfortHMI-200	101	
SWE1-HVAC-105-01	15.1	2	333,334	NR1L-ComfortHMI-323,NR1L-ComfortHMI-324	NR1L-ComfortHMI-201,NR1L-ComfortHMI-384	101;101	
SWE1-HVAC-105-02	15.1	2	335,336	NR1L-ComfortHMI-325,NR1L-ComfortHMI-326	NR1L-ComfortHMI-202,NR1L-ComfortHMI-385	101;101	
SWE1-HVAC-106-01	16.2	1	337	NR1L-ComfortHMI-327	NR1L-ComfortHMI-082	101	
SWE1-HVAC-106-02	16.2	1	338	NR1L-ComfortHMI-328	NR1L-ComfortHMI-083	101	
SWE1-HVAC-106-03	16.2	1	339	NR1L-ComfortHMI-329	NR1L-ComfortHMI-084	101	
SWE1-HVAC-106-04	16.2	1	340	NR1L-ComfortHMI-330	NR1L-ComfortHMI-085	101	
SWE1-HVAC-106-05	16.2	1	341	NR1L-ComfortHMI-331	NR1L-ComfortHMI-086	101	
SWE1-HVAC-106-06	16.2	1	342	NR1L-ComfortHMI-332	NR1L-ComfortHMI-087	101	
SWE1-HVAC-106-07	16.2	1	343	NR1L-ComfortHMI-333	NR1L-ComfortHMI-088	000	
SWE1-HVAC-106-08	16.2	1	344	NR1L-ComfortHMI-334	NR1L-ComfortHMI-089	101	
SWE1-HVAC-106-09	16.2	1	345	NR1L-ComfortHMI-335	NR1L-ComfortHMI-090	101	
SWE1-HVAC-107-01	16.3	1	346	NR1L-ComfortHMI-336	NR1L-ComfortHMI-203	101	
SWE1-HVAC-107-02	16.3	1	347	NR1L-ComfortHMI-337	NR1L-ComfortHMI-204	101	
SWE1-HVAC-107-03	16.3	1	348	NR1L-ComfortHMI-338	NR1L-ComfortHMI-205	101	
SWE1-HVAC-107-04	16.3	1	349	NR1L-ComfortHMI-339	NR1L-ComfortHMI-206	101	
SWE1-HVAC-107-05	16.3	1	350	NR1L-ComfortHMI-340	NR1L-ComfortHMI-207	101	
SWE1-HVAC-107-06	16.3	2	351,352	NR1L-ComfortHMI-341,NR1L-ComfortHMI-342	NR1L-ComfortHMI-208,NR1L-ComfortHMI-411	101;101	
SWE1-HVAC-107-07	16.3	2	353,354	NR1L-ComfortHMI-343,NR1L-ComfortHMI-344	NR1L-ComfortHMI-209,NR1L-ComfortHMI-412	101;101	
SWE1-HVAC-107-08	16.3	1	355	NR1L-ComfortHMI-345	NR1L-ComfortHMI-210	101	
SWE1-HVAC-107-09	16.3	1	356	NR1L-ComfortHMI-346	NR1L-ComfortHMI-211	000	
SWE1-HVAC-108	16.4	1	357	NR1L-ComfortHMI-347	NR1L-ComfortHMI-212	101	
SWE1-HVAC-109-01	16.5	1	358	NR1L-ComfortHMI-348	NR1L-ComfortHMI-213	101	
SWE1-HVAC-109-02	16.5	1	359	NR1L-ComfortHMI-349	NR1L-ComfortHMI-214	101	
SWE1-HVAC-110-01	16.6	2	360,361	NR1L-ComfortHMI-350,NR1L-ComfortHMI-351	NR1L-ComfortHMI-098,NR1L-ComfortHMI-413	101;101	
SWE1-HVAC-110-02	16.6	1	362	NR1L-ComfortHMI-352	NR1L-ComfortHMI-099	101	
SWE1-HVAC-110-03	16.6	1	363	NR1L-ComfortHMI-353	NR1L-ComfortHMI-100	101	
SWE1-HVAC-110-04	16.6	1	364	NR1L-ComfortHMI-354	NR1L-ComfortHMI-101	101	
SWE1-HVAC-110-05	16.6	1	365	NR1L-ComfortHMI-355	NR1L-ComfortHMI-102	101	
SWE1-HVAC-110-06	16.6	1	366	NR1L-ComfortHMI-356	NR1L-ComfortHMI-103	101	
SWE1-HVAC-111-01	16.6.1	1	367	NR1L-ComfortHMI-357	NR1L-ComfortHMI-104	101	
SWE1-HVAC-111-02	16.6.1	1	368	NR1L-ComfortHMI-358	NR1L-ComfortHMI-105	101	
SWE1-HVAC-111-03	16.6.1	3	369,370,371	NR1L-ComfortHMI-359,NR1L-ComfortHMI-360,NR1L-ComfortHMI-361	NR1L-ComfortHMI-106,NR1L-ComfortHMI-414,NR1L-ComfortHMI-415	101;101;101	
SWE1-HVAC-111-04	16.6.1	2	372,483	NR1L-ComfortHMI-362,NR1L-ComfortHMI-474	NR1L-ComfortHMI-107,NR1L-ComfortHMI-474	101;101	
SWE1-HVAC-111-05	16.6.1	2	373,374	NR1L-ComfortHMI-363,NR1L-ComfortHMI-364	NR1L-ComfortHMI-108,NR1L-ComfortHMI-416	101;101	
SWE1-HVAC-112-01	16.7	1	375	NR1L-ComfortHMI-365	NR1L-ComfortHMI-109	101	
SWE1-HVAC-112-02	16.7	1	376	NR1L-ComfortHMI-366	NR1L-ComfortHMI-110	101	
SWE1-HVAC-112-03	16.7	1	377	NR1L-ComfortHMI-367	NR1L-ComfortHMI-111	101	
SWE1-HVAC-112-04	16.7	4	378,379,380,381	NR1L-ComfortHMI-368,NR1L-ComfortHMI-369,NR1L-ComfortHMI-370,NR1L-ComfortHMI-371	NR1L-ComfortHMI-112,NR1L-ComfortHMI-417,NR1L-ComfortHMI-418,NR1L-ComfortHMI-419	101;101;101;101	
SWE1-HVAC-112-05	16.7	2	382,383	NR1L-ComfortHMI-372,NR1L-ComfortHMI-373	NR1L-ComfortHMI-113,NR1L-ComfortHMI-420	101;101	
SWE1-HVAC-113-01	16.8	1	384	NR1L-ComfortHMI-374	NR1L-ComfortHMI-237	101	
SWE1-HVAC-113-02	16.8	1	385	NR1L-ComfortHMI-375	NR1L-ComfortHMI-238	101	
SWE1-HVAC-113-03	16.8	1	386	NR1L-ComfortHMI-376	NR1L-ComfortHMI-239	101	
SWE1-HVAC-113-04	16.8	1	387	NR1L-ComfortHMI-377	NR1L-ComfortHMI-240	101	
SWE1-HVAC-113-05	16.8	1	388	NR1L-ComfortHMI-378	NR1L-ComfortHMI-241	101	
SWE1-HVAC-113-06	16.8	1	389	NR1L-ComfortHMI-379	NR1L-ComfortHMI-242	101	
SWE1-HVAC-113-07	16.8	1	390	NR1L-ComfortHMI-380	NR1L-ComfortHMI-243	101	
SWE1-HVAC-113-08	16.8	1	391	NR1L-ComfortHMI-381	NR1L-ComfortHMI-244	101	
SWE1-HVAC-113-09	16.8	4	392,393,394,395	NR1L-ComfortHMI-382,NR1L-ComfortHMI-383,NR1L-ComfortHMI-384,NR1L-ComfortHMI-385	NR1L-ComfortHMI-245,NR1L-ComfortHMI-421,NR1L-ComfortHMI-422,NR1L-ComfortHMI-423	101;101;101;101	
SWE1-HVAC-113-10	16.8	1	396	NR1L-ComfortHMI-386	NR1L-ComfortHMI-246	101	
SWE1-HVAC-113-11	16.8	1	397	NR1L-ComfortHMI-387	NR1L-ComfortHMI-247	101	
SWE1-HVAC-113-12	16.8	1	398	NR1L-ComfortHMI-388	NR1L-ComfortHMI-248	101	
SWE1-HVAC-114-01	16.9	1	399	NR1L-ComfortHMI-389	NR1L-ComfortHMI-249	101	
SWE1-HVAC-114-02	16.9	1	400	NR1L-ComfortHMI-390	NR1L-ComfortHMI-250	101	
SWE1-HVAC-115-01	16.10	1	401	NR1L-ComfortHMI-391	NR1L-ComfortHMI-215	101	
SWE1-HVAC-115-02	16.10	1	402	NR1L-ComfortHMI-392	NR1L-ComfortHMI-216	101	
SWE1-HVAC-115-03	16.10	1	403	NR1L-ComfortHMI-393	NR1L-ComfortHMI-217	101	
SWE1-HVAC-115-04	16.10	1	404	NR1L-ComfortHMI-394	NR1L-ComfortHMI-218	101	
SWE1-HVAC-115-05	16.10	3	405,406,407	NR1L-ComfortHMI-395,NR1L-ComfortHMI-396,NR1L-ComfortHMI-397	NR1L-ComfortHMI-219,NR1L-ComfortHMI-424,NR1L-ComfortHMI-425	101;101;101	
SWE1-HVAC-115-06	16.10	1	408	NR1L-ComfortHMI-398	NR1L-ComfortHMI-220	101	
SWE1-HVAC-115-07	16.10	1	409	NR1L-ComfortHMI-399	NR1L-ComfortHMI-221	101	
SWE1-HVAC-115-08	16.10	1	410	NR1L-ComfortHMI-400	NR1L-ComfortHMI-222	101	
SWE1-HVAC-116-01	16.11	1	411	NR1L-ComfortHMI-401	NR1L-ComfortHMI-223	101	
SWE1-HVAC-116-02	16.11	1	412	NR1L-ComfortHMI-402	NR1L-ComfortHMI-224	101	
SWE1-HVAC-116-03	16.11	1	413	NR1L-ComfortHMI-403	NR1L-ComfortHMI-432	000	
SWE1-HVAC-116-04	16.11	1	414	NR1L-ComfortHMI-404	NR1L-ComfortHMI-433	000	
SWE1-HVAC-117-01	16.12	1	415	NR1L-ComfortHMI-405	NR1L-ComfortHMI-251	101	
SWE1-HVAC-117-02	16.12	1	416	NR1L-ComfortHMI-406	NR1L-ComfortHMI-252	101	
SWE1-HVAC-117-03	16.12	1	417	NR1L-ComfortHMI-407	NR1L-ComfortHMI-253	101	
SWE1-HVAC-118-01	16.12.1	1	418	NR1L-ComfortHMI-408	NR1L-ComfortHMI-254	101	
SWE1-HVAC-118-02	16.12.1	1	419	NR1L-ComfortHMI-409	NR1L-ComfortHMI-255	101	
SWE1-HVAC-118-03	16.12.1	1	420	NR1L-ComfortHMI-410	NR1L-ComfortHMI-256	101	
SWE1-HVAC-118-04	16.12.1	1	421	NR1L-ComfortHMI-411	NR1L-ComfortHMI-257	101	
SWE1-HVAC-118-05	16.12.1	1	422	NR1L-ComfortHMI-412	NR1L-ComfortHMI-258	101	
SWE1-HVAC-118-06	16.12.1	1	423	NR1L-ComfortHMI-413	NR1L-ComfortHMI-259	101	
SWE1-HVAC-118-07	16.12.1	2	424,425	NR1L-ComfortHMI-414,NR1L-ComfortHMI-415	NR1L-ComfortHMI-260,NR1L-ComfortHMI-426	101;101	
SWE1-HVAC-118-08	16.12.1	1	426	NR1L-ComfortHMI-416	NR1L-ComfortHMI-261	101	
SWE1-HVAC-118-09	16.12.1	1	427	NR1L-ComfortHMI-417	NR1L-ComfortHMI-262	101	
SWE1-HVAC-118-10	16.12.1	1	428	NR1L-ComfortHMI-418	NR1L-ComfortHMI-263	101	
SWE1-HVAC-119-01	16.13	1	429	NR1L-ComfortHMI-419	NR1L-ComfortHMI-225	101	
SWE1-HVAC-119-02	16.13	1	430	NR1L-ComfortHMI-420	NR1L-ComfortHMI-226	101	
SWE1-HVAC-119-03	16.13	1	431	NR1L-ComfortHMI-421	NR1L-ComfortHMI-227	101	
SWE1-HVAC-119-04	16.13	1	432	NR1L-ComfortHMI-422	NR1L-ComfortHMI-228	101	
SWE1-HVAC-119-05	16.13	1	433	NR1L-ComfortHMI-423	NR1L-ComfortHMI-229	101	
SWE1-HVAC-119-06	16.13	1	434	NR1L-ComfortHMI-424	NR1L-ComfortHMI-230	101	
SWE1-HVAC-119-07	16.13	1	435	NR1L-ComfortHMI-425	NR1L-ComfortHMI-231	101	
SWE1-HVAC-119-08	16.13	4	436,437,438,439	NR1L-ComfortHMI-426,NR1L-ComfortHMI-427,NR1L-ComfortHMI-428,NR1L-ComfortHMI-429	NR1L-ComfortHMI-232,NR1L-ComfortHMI-427,NR1L-ComfortHMI-428,NR1L-ComfortHMI-429	101;101;101;101	
SWE1-HVAC-119-09	16.13	1	440	NR1L-ComfortHMI-430	NR1L-ComfortHMI-233	101	
SWE1-HVAC-119-10	16.13	1	441	NR1L-ComfortHMI-431	NR1L-ComfortHMI-234	101	
SWE1-HVAC-119-11	16.13	1	442	NR1L-ComfortHMI-432	NR1L-ComfortHMI-235	101	
SWE1-HVAC-119-12	16.13	1	443	NR1L-ComfortHMI-433	NR1L-ComfortHMI-236	101	
SWE1-HVAC-120-01	16.14	1	444	NR1L-ComfortHMI-434	NR1L-ComfortHMI-091	000	
SWE1-HVAC-120-02	16.14	1	445	NR1L-ComfortHMI-435	NR1L-ComfortHMI-092	000	
SWE1-HVAC-120-03	16.14	1	446	NR1L-ComfortHMI-436	NR1L-ComfortHMI-093	000	
SWE1-HVAC-121-01	16.15	1	447	NR1L-ComfortHMI-437	NR1L-ComfortHMI-264	101	
SWE1-HVAC-121-02	16.15	1	448	NR1L-ComfortHMI-438	NR1L-ComfortHMI-265	101	
SWE1-HVAC-122-01	16.16	1	449	NR1L-ComfortHMI-439	NR1L-ComfortHMI-094	111	
SWE1-HVAC-122-02	16.16	1	450	NR1L-ComfortHMI-440	NR1L-ComfortHMI-462	111	
SWE1-HVAC-122-03	16.16	1	451	NR1L-ComfortHMI-441	NR1L-ComfortHMI-095	111	
SWE1-HVAC-122-04	16.16	1	452	NR1L-ComfortHMI-442	NR1L-ComfortHMI-096	111	
SWE1-HVAC-122-05	16.16	1	453	NR1L-ComfortHMI-443	NR1L-ComfortHMI-097	111	
SWE1-HVAC-123	16.17	1	454	NR1L-ComfortHMI-444	NR1L-ComfortHMI-114	101	
SWE1-HVAC-124-01	17.1	1	455	NR1L-ComfortHMI-445	NR1L-ComfortHMI-115	101	
SWE1-HVAC-124-02	17.1	1	456	NR1L-ComfortHMI-446	NR1L-ComfortHMI-116	101	
SWE1-HVAC-124-03	17.1	1	457	NR1L-ComfortHMI-447	NR1L-ComfortHMI-117	101	
SWE1-HVAC-125-01	17.2	1	458	NR1L-ComfortHMI-448	NR1L-ComfortHMI-118	101	
SWE1-HVAC-125-02	17.2	1	459	NR1L-ComfortHMI-449	NR1L-ComfortHMI-119	101	
SWE1-HVAC-125-03	17.2	1	460	NR1L-ComfortHMI-450	NR1L-ComfortHMI-120	101	
SWE1-HVAC-125-04	17.2	1	461	NR1L-ComfortHMI-451	NR1L-ComfortHMI-121	101	
SWE1-HVAC-125-05	17.2	1	462	NR1L-ComfortHMI-452	NR1L-ComfortHMI-122	101	
SWE1-HVAC-125-06	17.2	1	463	NR1L-ComfortHMI-453	NR1L-ComfortHMI-123	101	
SWE1-HVAC-125-07	17.2	1	464	NR1L-ComfortHMI-454	NR1L-ComfortHMI-124	101	
SWE1-HVAC-125-08	17.2	1	465	NR1L-ComfortHMI-455	NR1L-ComfortHMI-361	101	
SWE1-HVAC-126-01	17.3	1	466	NR1L-ComfortHMI-456	NR1L-ComfortHMI-125	101	
SWE1-HVAC-126-02	17.3	1	467	NR1L-ComfortHMI-457	NR1L-ComfortHMI-362	101	
SWE1-HVAC-126-03	17.3	1	468	NR1L-ComfortHMI-458	NR1L-ComfortHMI-126	101	
SWE1-HVAC-127-01	17.4	1	469	NR1L-ComfortHMI-459	NR1L-ComfortHMI-378	101	
SWE1-HVAC-127-02	17.4	1	470	NR1L-ComfortHMI-460	NR1L-ComfortHMI-379	101	
SWE1-HVAC-128-01	17.5	1	471	NR1L-ComfortHMI-461	NR1L-ComfortHMI-380	101	
SWE1-HVAC-128-02	17.5	1	472	NR1L-ComfortHMI-462	NR1L-ComfortHMI-381	101	
SWE1-HVAC-129-01	18.1	1	473	NR1L-ComfortHMI-463	NR1L-ComfortHMI-463	101	
SWE1-HVAC-129-02	18.1	1	474	NR1L-ComfortHMI-464	NR1L-ComfortHMI-464	101	
SWE1-HVAC-129-03	18.1	1	475	NR1L-ComfortHMI-465	NR1L-ComfortHMI-465	101	
