cell	sheet	tc_id	item	v3	v4
Z158	Test Case Specification 測試用例規範	NR1L-ComfortHMI-277	R-C48(amend2)/R-C62 車型欄	1	0
V159	Test Case Specification 測試用例規範	NR1L-ComfortHMI-400	R-C48(amend2)/R-C62 車型欄	1	0
Y159	Test Case Specification 測試用例規範	NR1L-ComfortHMI-400	R-C48(amend2)/R-C62 車型欄	1	0
Z159	Test Case Specification 測試用例規範	NR1L-ComfortHMI-400	R-C48(amend2)/R-C62 車型欄	1	0
V160	Test Case Specification 測試用例規範	NR1L-ComfortHMI-278	R-C48(amend2)/R-C62 車型欄	1	0
Y160	Test Case Specification 測試用例規範	NR1L-ComfortHMI-278	R-C48(amend2)/R-C62 車型欄	1	0
Z160	Test Case Specification 測試用例規範	NR1L-ComfortHMI-278	R-C48(amend2)/R-C62 車型欄	1	0
V161	Test Case Specification 測試用例規範	NR1L-ComfortHMI-279	R-C48(amend2)/R-C62 車型欄	1	0
Y161	Test Case Specification 測試用例規範	NR1L-ComfortHMI-279	R-C48(amend2)/R-C62 車型欄	1	0
Z161	Test Case Specification 測試用例規範	NR1L-ComfortHMI-279	R-C48(amend2)/R-C62 車型欄	1	0
V162	Test Case Specification 測試用例規範	NR1L-ComfortHMI-280	R-C48(amend2)/R-C62 車型欄	1	0
Y162	Test Case Specification 測試用例規範	NR1L-ComfortHMI-280	R-C48(amend2)/R-C62 車型欄	1	0
Z162	Test Case Specification 測試用例規範	NR1L-ComfortHMI-280	R-C48(amend2)/R-C62 車型欄	1	0
V163	Test Case Specification 測試用例規範	NR1L-ComfortHMI-401	R-C48(amend2)/R-C62 車型欄	1	0
Y163	Test Case Specification 測試用例規範	NR1L-ComfortHMI-401	R-C48(amend2)/R-C62 車型欄	1	0
Z163	Test Case Specification 測試用例規範	NR1L-ComfortHMI-401	R-C48(amend2)/R-C62 車型欄	1	0
V164	Test Case Specification 測試用例規範	NR1L-ComfortHMI-402	R-C48(amend2)/R-C62 車型欄	1	0
Y164	Test Case Specification 測試用例規範	NR1L-ComfortHMI-402	R-C48(amend2)/R-C62 車型欄	1	0
Z164	Test Case Specification 測試用例規範	NR1L-ComfortHMI-402	R-C48(amend2)/R-C62 車型欄	1	0
V165	Test Case Specification 測試用例規範	NR1L-ComfortHMI-281	R-C48(amend2)/R-C62 車型欄	1	0
Y165	Test Case Specification 測試用例規範	NR1L-ComfortHMI-281	R-C48(amend2)/R-C62 車型欄	1	0
Z165	Test Case Specification 測試用例規範	NR1L-ComfortHMI-281	R-C48(amend2)/R-C62 車型欄	1	0
V166	Test Case Specification 測試用例規範	NR1L-ComfortHMI-282	R-C48(amend2)/R-C62 車型欄	1	0
Y166	Test Case Specification 測試用例規範	NR1L-ComfortHMI-282	R-C48(amend2)/R-C62 車型欄	1	0
Z166	Test Case Specification 測試用例規範	NR1L-ComfortHMI-282	R-C48(amend2)/R-C62 車型欄	1	0
V167	Test Case Specification 測試用例規範	NR1L-ComfortHMI-283	R-C48(amend2)/R-C62 車型欄	1	0
Y167	Test Case Specification 測試用例規範	NR1L-ComfortHMI-283	R-C48(amend2)/R-C62 車型欄	1	0
Z167	Test Case Specification 測試用例規範	NR1L-ComfortHMI-283	R-C48(amend2)/R-C62 車型欄	1	0
V168	Test Case Specification 測試用例規範	NR1L-ComfortHMI-403	R-C48(amend2)/R-C62 車型欄	1	0
Y168	Test Case Specification 測試用例規範	NR1L-ComfortHMI-403	R-C48(amend2)/R-C62 車型欄	1	0
Z168	Test Case Specification 測試用例規範	NR1L-ComfortHMI-403	R-C48(amend2)/R-C62 車型欄	1	0
V169	Test Case Specification 測試用例規範	NR1L-ComfortHMI-284	R-C48(amend2)/R-C62 車型欄	1	0
Y169	Test Case Specification 測試用例規範	NR1L-ComfortHMI-284	R-C48(amend2)/R-C62 車型欄	1	0
Z169	Test Case Specification 測試用例規範	NR1L-ComfortHMI-284	R-C48(amend2)/R-C62 車型欄	1	0
V170	Test Case Specification 測試用例規範	NR1L-ComfortHMI-404	R-C48(amend2)/R-C62 車型欄	1	0
Y170	Test Case Specification 測試用例規範	NR1L-ComfortHMI-404	R-C48(amend2)/R-C62 車型欄	1	0
Z170	Test Case Specification 測試用例規範	NR1L-ComfortHMI-404	R-C48(amend2)/R-C62 車型欄	1	0
V171	Test Case Specification 測試用例規範	NR1L-ComfortHMI-285	R-C48(amend2)/R-C62 車型欄	1	0
Y171	Test Case Specification 測試用例規範	NR1L-ComfortHMI-285	R-C48(amend2)/R-C62 車型欄	1	0
Z171	Test Case Specification 測試用例規範	NR1L-ComfortHMI-285	R-C48(amend2)/R-C62 車型欄	1	0
V172	Test Case Specification 測試用例規範	NR1L-ComfortHMI-286	R-C48(amend2)/R-C62 車型欄	1	0
Y172	Test Case Specification 測試用例規範	NR1L-ComfortHMI-286	R-C48(amend2)/R-C62 車型欄	1	0
Z172	Test Case Specification 測試用例規範	NR1L-ComfortHMI-286	R-C48(amend2)/R-C62 車型欄	1	0
V173	Test Case Specification 測試用例規範	NR1L-ComfortHMI-287	R-C48(amend2)/R-C62 車型欄	1	0
Y173	Test Case Specification 測試用例規範	NR1L-ComfortHMI-287	R-C48(amend2)/R-C62 車型欄	1	0
Z173	Test Case Specification 測試用例規範	NR1L-ComfortHMI-287	R-C48(amend2)/R-C62 車型欄	1	0
V174	Test Case Specification 測試用例規範	NR1L-ComfortHMI-288	R-C48(amend2)/R-C62 車型欄	1	0
Y174	Test Case Specification 測試用例規範	NR1L-ComfortHMI-288	R-C48(amend2)/R-C62 車型欄	1	0
Z174	Test Case Specification 測試用例規範	NR1L-ComfortHMI-288	R-C48(amend2)/R-C62 車型欄	1	0
V175	Test Case Specification 測試用例規範	NR1L-ComfortHMI-289	R-C48(amend2)/R-C62 車型欄	1	0
Y175	Test Case Specification 測試用例規範	NR1L-ComfortHMI-289	R-C48(amend2)/R-C62 車型欄	1	0
Z175	Test Case Specification 測試用例規範	NR1L-ComfortHMI-289	R-C48(amend2)/R-C62 車型欄	1	0
V176	Test Case Specification 測試用例規範	NR1L-ComfortHMI-290	R-C48(amend2)/R-C62 車型欄	1	0
Y176	Test Case Specification 測試用例規範	NR1L-ComfortHMI-290	R-C48(amend2)/R-C62 車型欄	1	0
Z176	Test Case Specification 測試用例規範	NR1L-ComfortHMI-290	R-C48(amend2)/R-C62 車型欄	1	0
V177	Test Case Specification 測試用例規範	NR1L-ComfortHMI-291	R-C48(amend2)/R-C62 車型欄	1	0
Y177	Test Case Specification 測試用例規範	NR1L-ComfortHMI-291	R-C48(amend2)/R-C62 車型欄	1	0
Z177	Test Case Specification 測試用例規範	NR1L-ComfortHMI-291	R-C48(amend2)/R-C62 車型欄	1	0
V178	Test Case Specification 測試用例規範	NR1L-ComfortHMI-292	R-C48(amend2)/R-C62 車型欄	1	0
Y178	Test Case Specification 測試用例規範	NR1L-ComfortHMI-292	R-C48(amend2)/R-C62 車型欄	1	0
Z178	Test Case Specification 測試用例規範	NR1L-ComfortHMI-292	R-C48(amend2)/R-C62 車型欄	1	0
V179	Test Case Specification 測試用例規範	NR1L-ComfortHMI-293	R-C48(amend2)/R-C62 車型欄	1	0
Y179	Test Case Specification 測試用例規範	NR1L-ComfortHMI-293	R-C48(amend2)/R-C62 車型欄	1	0
Z179	Test Case Specification 測試用例規範	NR1L-ComfortHMI-293	R-C48(amend2)/R-C62 車型欄	1	0
V180	Test Case Specification 測試用例規範	NR1L-ComfortHMI-294	R-C48(amend2)/R-C62 車型欄	1	0
Y180	Test Case Specification 測試用例規範	NR1L-ComfortHMI-294	R-C48(amend2)/R-C62 車型欄	1	0
Z180	Test Case Specification 測試用例規範	NR1L-ComfortHMI-294	R-C48(amend2)/R-C62 車型欄	1	0
V181	Test Case Specification 測試用例規範	NR1L-ComfortHMI-295	R-C48(amend2)/R-C62 車型欄	1	0
Y181	Test Case Specification 測試用例規範	NR1L-ComfortHMI-295	R-C48(amend2)/R-C62 車型欄	1	0
Z181	Test Case Specification 測試用例規範	NR1L-ComfortHMI-295	R-C48(amend2)/R-C62 車型欄	1	0
V182	Test Case Specification 測試用例規範	NR1L-ComfortHMI-296	R-C48(amend2)/R-C62 車型欄	1	0
Y182	Test Case Specification 測試用例規範	NR1L-ComfortHMI-296	R-C48(amend2)/R-C62 車型欄	1	0
Z182	Test Case Specification 測試用例規範	NR1L-ComfortHMI-296	R-C48(amend2)/R-C62 車型欄	1	0
L183	Test Case Specification 測試用例規範	NR1L-ComfortHMI-405	M7+R-C60	"1. Select the rear ""Face + Feet"" mode
2. Read the rear airflow mode"	"1. Select the rear Face + Feet mode
2. Read the rear airflow mode"
V183	Test Case Specification 測試用例規範	NR1L-ComfortHMI-405	R-C48(amend2)/R-C62 車型欄	1	0
Y183	Test Case Specification 測試用例規範	NR1L-ComfortHMI-405	R-C48(amend2)/R-C62 車型欄	1	0
Z183	Test Case Specification 測試用例規範	NR1L-ComfortHMI-405	R-C48(amend2)/R-C62 車型欄	1	0
V184	Test Case Specification 測試用例規範	NR1L-ComfortHMI-406	R-C48(amend2)/R-C62 車型欄	1	0
Y184	Test Case Specification 測試用例規範	NR1L-ComfortHMI-406	R-C48(amend2)/R-C62 車型欄	1	0
Z184	Test Case Specification 測試用例規範	NR1L-ComfortHMI-406	R-C48(amend2)/R-C62 車型欄	1	0
V185	Test Case Specification 測試用例規範	NR1L-ComfortHMI-297	R-C48(amend2)/R-C62 車型欄	1	0
Y185	Test Case Specification 測試用例規範	NR1L-ComfortHMI-297	R-C48(amend2)/R-C62 車型欄	1	0
Z185	Test Case Specification 測試用例規範	NR1L-ComfortHMI-297	R-C48(amend2)/R-C62 車型欄	1	0
V186	Test Case Specification 測試用例規範	NR1L-ComfortHMI-298	R-C48(amend2)/R-C62 車型欄	1	0
Y186	Test Case Specification 測試用例規範	NR1L-ComfortHMI-298	R-C48(amend2)/R-C62 車型欄	1	0
Z186	Test Case Specification 測試用例規範	NR1L-ComfortHMI-298	R-C48(amend2)/R-C62 車型欄	1	0
V187	Test Case Specification 測試用例規範	NR1L-ComfortHMI-299	R-C48(amend2)/R-C62 車型欄	1	0
Y187	Test Case Specification 測試用例規範	NR1L-ComfortHMI-299	R-C48(amend2)/R-C62 車型欄	1	0
Z187	Test Case Specification 測試用例規範	NR1L-ComfortHMI-299	R-C48(amend2)/R-C62 車型欄	1	0
V188	Test Case Specification 測試用例規範	NR1L-ComfortHMI-300	R-C48(amend2)/R-C62 車型欄	1	0
Y188	Test Case Specification 測試用例規範	NR1L-ComfortHMI-300	R-C48(amend2)/R-C62 車型欄	1	0
Z188	Test Case Specification 測試用例規範	NR1L-ComfortHMI-300	R-C48(amend2)/R-C62 車型欄	1	0
V189	Test Case Specification 測試用例規範	NR1L-ComfortHMI-407	R-C48(amend2)/R-C62 車型欄	1	0
Y189	Test Case Specification 測試用例規範	NR1L-ComfortHMI-407	R-C48(amend2)/R-C62 車型欄	1	0
Z189	Test Case Specification 測試用例規範	NR1L-ComfortHMI-407	R-C48(amend2)/R-C62 車型欄	1	0
V190	Test Case Specification 測試用例規範	NR1L-ComfortHMI-301	R-C48(amend2)/R-C62 車型欄	1	0
Y190	Test Case Specification 測試用例規範	NR1L-ComfortHMI-301	R-C48(amend2)/R-C62 車型欄	1	0
Z190	Test Case Specification 測試用例規範	NR1L-ComfortHMI-301	R-C48(amend2)/R-C62 車型欄	1	0
Y191	Test Case Specification 測試用例規範	NR1L-ComfortHMI-302	R-C48(amend2)/R-C62 車型欄	1	0
Y192	Test Case Specification 測試用例規範	NR1L-ComfortHMI-303	R-C48(amend2)/R-C62 車型欄	1	0
Y193	Test Case Specification 測試用例規範	NR1L-ComfortHMI-459	R-C48(amend2)/R-C62 車型欄	1	0
Y194	Test Case Specification 測試用例規範	NR1L-ComfortHMI-367	R-C48(amend2)/R-C62 車型欄	1	0
Y195	Test Case Specification 測試用例規範	NR1L-ComfortHMI-408	R-C48(amend2)/R-C62 車型欄	1	0
Y196	Test Case Specification 測試用例規範	NR1L-ComfortHMI-409	R-C48(amend2)/R-C62 車型欄	1	0
Y197	Test Case Specification 測試用例規範	NR1L-ComfortHMI-368	R-C48(amend2)/R-C62 車型欄	1	0
Y198	Test Case Specification 測試用例規範	NR1L-ComfortHMI-369	R-C48(amend2)/R-C62 車型欄	1	0
Y199	Test Case Specification 測試用例規範	NR1L-ComfortHMI-370	R-C48(amend2)/R-C62 車型欄	1	0
Y200	Test Case Specification 測試用例規範	NR1L-ComfortHMI-371	R-C48(amend2)/R-C62 車型欄	1	0
Y201	Test Case Specification 測試用例規範	NR1L-ComfortHMI-372	R-C48(amend2)/R-C62 車型欄	1	0
Y202	Test Case Specification 測試用例規範	NR1L-ComfortHMI-373	R-C48(amend2)/R-C62 車型欄	1	0
Y203	Test Case Specification 測試用例規範	NR1L-ComfortHMI-067	R-C48(amend2)/R-C62 車型欄	1	0
Y204	Test Case Specification 測試用例規範	NR1L-ComfortHMI-081	R-C48(amend2)/R-C62 車型欄	1	0
Y205	Test Case Specification 測試用例規範	NR1L-ComfortHMI-068	R-C48(amend2)/R-C62 車型欄	1	0
Y206	Test Case Specification 測試用例規範	NR1L-ComfortHMI-069	R-C48(amend2)/R-C62 車型欄	1	0
Y207	Test Case Specification 測試用例規範	NR1L-ComfortHMI-070	R-C48(amend2)/R-C62 車型欄	1	0
V208	Test Case Specification 測試用例規範	NR1L-ComfortHMI-460	R-C48(amend2)/R-C62 車型欄	1	0
Y208	Test Case Specification 測試用例規範	NR1L-ComfortHMI-460	R-C48(amend2)/R-C62 車型欄	1	0
Z208	Test Case Specification 測試用例規範	NR1L-ComfortHMI-460	R-C48(amend2)/R-C62 車型欄	1	0
Y209	Test Case Specification 測試用例規範	NR1L-ComfortHMI-071	R-C48(amend2)/R-C62 車型欄	1	0
Y210	Test Case Specification 測試用例規範	NR1L-ComfortHMI-072	R-C48(amend2)/R-C62 車型欄	1	0
Y211	Test Case Specification 測試用例規範	NR1L-ComfortHMI-073	R-C48(amend2)/R-C62 車型欄	1	0
Y212	Test Case Specification 測試用例規範	NR1L-ComfortHMI-074	R-C48(amend2)/R-C62 車型欄	1	0
Y213	Test Case Specification 測試用例規範	NR1L-ComfortHMI-075	R-C48(amend2)/R-C62 車型欄	1	0
Y214	Test Case Specification 測試用例規範	NR1L-ComfortHMI-076	R-C48(amend2)/R-C62 車型欄	1	0
Y215	Test Case Specification 測試用例規範	NR1L-ComfortHMI-077	R-C48(amend2)/R-C62 車型欄	1	0
Y216	Test Case Specification 測試用例規範	NR1L-ComfortHMI-078	R-C48(amend2)/R-C62 車型欄	1	0
Y217	Test Case Specification 測試用例規範	NR1L-ComfortHMI-079	R-C48(amend2)/R-C62 車型欄	1	0
Y218	Test Case Specification 測試用例規範	NR1L-ComfortHMI-080	R-C48(amend2)/R-C62 車型欄	1	0
Y219	Test Case Specification 測試用例規範	NR1L-ComfortHMI-304	R-C48(amend2)/R-C62 車型欄	1	0
Y220	Test Case Specification 測試用例規範	NR1L-ComfortHMI-305	R-C48(amend2)/R-C62 車型欄	1	0
Y221	Test Case Specification 測試用例規範	NR1L-ComfortHMI-306	R-C48(amend2)/R-C62 車型欄	1	0
Y222	Test Case Specification 測試用例規範	NR1L-ComfortHMI-307	R-C48(amend2)/R-C62 車型欄	1	0
Y223	Test Case Specification 測試用例規範	NR1L-ComfortHMI-308	R-C48(amend2)/R-C62 車型欄	1	0
Y224	Test Case Specification 測試用例規範	NR1L-ComfortHMI-309	R-C48(amend2)/R-C62 車型欄	1	0
Y225	Test Case Specification 測試用例規範	NR1L-ComfortHMI-310	R-C48(amend2)/R-C62 車型欄	1	0
Y226	Test Case Specification 測試用例規範	NR1L-ComfortHMI-311	R-C48(amend2)/R-C62 車型欄	1	0
Y227	Test Case Specification 測試用例規範	NR1L-ComfortHMI-312	R-C48(amend2)/R-C62 車型欄	1	0
Y228	Test Case Specification 測試用例規範	NR1L-ComfortHMI-313	R-C48(amend2)/R-C62 車型欄	1	0
Y229	Test Case Specification 測試用例規範	NR1L-ComfortHMI-314	R-C48(amend2)/R-C62 車型欄	1	0
Y230	Test Case Specification 測試用例規範	NR1L-ComfortHMI-382	R-C48(amend2)/R-C62 車型欄	1	0
Y231	Test Case Specification 測試用例規範	NR1L-ComfortHMI-315	R-C48(amend2)/R-C62 車型欄	1	0
Y232	Test Case Specification 測試用例規範	NR1L-ComfortHMI-316	R-C48(amend2)/R-C62 車型欄	1	0
Y233	Test Case Specification 測試用例規範	NR1L-ComfortHMI-317	R-C48(amend2)/R-C62 車型欄	1	0
Y234	Test Case Specification 測試用例規範	NR1L-ComfortHMI-318	R-C48(amend2)/R-C62 車型欄	1	0
Y235	Test Case Specification 測試用例規範	NR1L-ComfortHMI-319	R-C48(amend2)/R-C62 車型欄	1	0
Y236	Test Case Specification 測試用例規範	NR1L-ComfortHMI-320	R-C48(amend2)/R-C62 車型欄	1	0
Y237	Test Case Specification 測試用例規範	NR1L-ComfortHMI-321	R-C48(amend2)/R-C62 車型欄	1	0
Y238	Test Case Specification 測試用例規範	NR1L-ComfortHMI-322	R-C48(amend2)/R-C62 車型欄	1	0
Y239	Test Case Specification 測試用例規範	NR1L-ComfortHMI-323	R-C48(amend2)/R-C62 車型欄	1	0
Y240	Test Case Specification 測試用例規範	NR1L-ComfortHMI-324	R-C48(amend2)/R-C62 車型欄	1	0
Y241	Test Case Specification 測試用例規範	NR1L-ComfortHMI-325	R-C48(amend2)/R-C62 車型欄	1	0
Y242	Test Case Specification 測試用例規範	NR1L-ComfortHMI-326	R-C48(amend2)/R-C62 車型欄	1	0
Y243	Test Case Specification 測試用例規範	NR1L-ComfortHMI-327	R-C48(amend2)/R-C62 車型欄	1	0
Y244	Test Case Specification 測試用例規範	NR1L-ComfortHMI-328	R-C48(amend2)/R-C62 車型欄	1	0
Y245	Test Case Specification 測試用例規範	NR1L-ComfortHMI-329	R-C48(amend2)/R-C62 車型欄	1	0
Y246	Test Case Specification 測試用例規範	NR1L-ComfortHMI-330	R-C48(amend2)/R-C62 車型欄	1	0
Y247	Test Case Specification 測試用例規範	NR1L-ComfortHMI-331	R-C48(amend2)/R-C62 車型欄	1	0
Y248	Test Case Specification 測試用例規範	NR1L-ComfortHMI-332	R-C48(amend2)/R-C62 車型欄	1	0
Y249	Test Case Specification 測試用例規範	NR1L-ComfortHMI-333	R-C48(amend2)/R-C62 車型欄	1	0
Y250	Test Case Specification 測試用例規範	NR1L-ComfortHMI-334	R-C48(amend2)/R-C62 車型欄	1	0
Y251	Test Case Specification 測試用例規範	NR1L-ComfortHMI-335	R-C48(amend2)/R-C62 車型欄	1	0
Y252	Test Case Specification 測試用例規範	NR1L-ComfortHMI-336	R-C48(amend2)/R-C62 車型欄	1	0
Y253	Test Case Specification 測試用例規範	NR1L-ComfortHMI-337	R-C48(amend2)/R-C62 車型欄	1	0
Y254	Test Case Specification 測試用例規範	NR1L-ComfortHMI-338	R-C48(amend2)/R-C62 車型欄	1	0
Y255	Test Case Specification 測試用例規範	NR1L-ComfortHMI-339	R-C48(amend2)/R-C62 車型欄	1	0
Y256	Test Case Specification 測試用例規範	NR1L-ComfortHMI-340	R-C48(amend2)/R-C62 車型欄	1	0
Y257	Test Case Specification 測試用例規範	NR1L-ComfortHMI-341	R-C48(amend2)/R-C62 車型欄	1	0
Y258	Test Case Specification 測試用例規範	NR1L-ComfortHMI-342	R-C48(amend2)/R-C62 車型欄	1	0
Y259	Test Case Specification 測試用例規範	NR1L-ComfortHMI-343	R-C48(amend2)/R-C62 車型欄	1	0
Y260	Test Case Specification 測試用例規範	NR1L-ComfortHMI-344	R-C48(amend2)/R-C62 車型欄	1	0
Y261	Test Case Specification 測試用例規範	NR1L-ComfortHMI-345	R-C48(amend2)/R-C62 車型欄	1	0
Y262	Test Case Specification 測試用例規範	NR1L-ComfortHMI-346	R-C48(amend2)/R-C62 車型欄	1	0
Y263	Test Case Specification 測試用例規範	NR1L-ComfortHMI-347	R-C48(amend2)/R-C62 車型欄	1	0
Y264	Test Case Specification 測試用例規範	NR1L-ComfortHMI-348	R-C48(amend2)/R-C62 車型欄	1	0
Y265	Test Case Specification 測試用例規範	NR1L-ComfortHMI-349	R-C48(amend2)/R-C62 車型欄	1	0
Y266	Test Case Specification 測試用例規範	NR1L-ComfortHMI-350	R-C48(amend2)/R-C62 車型欄	1	0
Y267	Test Case Specification 測試用例規範	NR1L-ComfortHMI-351	R-C48(amend2)/R-C62 車型欄	1	0
Y268	Test Case Specification 測試用例規範	NR1L-ComfortHMI-352	R-C48(amend2)/R-C62 車型欄	1	0
Y269	Test Case Specification 測試用例規範	NR1L-ComfortHMI-383	R-C48(amend2)/R-C62 車型欄	1	0
Y270	Test Case Specification 測試用例規範	NR1L-ComfortHMI-353	R-C48(amend2)/R-C62 車型欄	1	0
Y271	Test Case Specification 測試用例規範	NR1L-ComfortHMI-354	R-C48(amend2)/R-C62 車型欄	1	0
Y272	Test Case Specification 測試用例規範	NR1L-ComfortHMI-355	R-C48(amend2)/R-C62 車型欄	1	0
Y273	Test Case Specification 測試用例規範	NR1L-ComfortHMI-356	R-C48(amend2)/R-C62 車型欄	1	0
Y274	Test Case Specification 測試用例規範	NR1L-ComfortHMI-357	R-C48(amend2)/R-C62 車型欄	1	0
Y275	Test Case Specification 測試用例規範	NR1L-ComfortHMI-358	R-C48(amend2)/R-C62 車型欄	1	0
Y276	Test Case Specification 測試用例規範	NR1L-ComfortHMI-359	R-C48(amend2)/R-C62 車型欄	1	0
Y277	Test Case Specification 測試用例規範	NR1L-ComfortHMI-360	R-C48(amend2)/R-C62 車型欄	1	0
Y280	Test Case Specification 測試用例規範	NR1L-ComfortHMI-003	R-C48(amend2)/R-C62 車型欄	1	0
Y292	Test Case Specification 測試用例規範	NR1L-ComfortHMI-434	R-C48(amend2)/R-C62 車型欄	1	0
Y293	Test Case Specification 測試用例規範	NR1L-ComfortHMI-167	R-C48(amend2)/R-C62 車型欄	1	0
Y294	Test Case Specification 測試用例規範	NR1L-ComfortHMI-168	R-C48(amend2)/R-C62 車型欄	1	0
Y295	Test Case Specification 測試用例規範	NR1L-ComfortHMI-169	R-C48(amend2)/R-C62 車型欄	1	0
Y296	Test Case Specification 測試用例規範	NR1L-ComfortHMI-170	R-C48(amend2)/R-C62 車型欄	1	0
Y297	Test Case Specification 測試用例規範	NR1L-ComfortHMI-171	R-C48(amend2)/R-C62 車型欄	1	0
Y298	Test Case Specification 測試用例規範	NR1L-ComfortHMI-172	R-C48(amend2)/R-C62 車型欄	1	0
Y299	Test Case Specification 測試用例規範	NR1L-ComfortHMI-173	R-C48(amend2)/R-C62 車型欄	1	0
Y300	Test Case Specification 測試用例規範	NR1L-ComfortHMI-174	R-C48(amend2)/R-C62 車型欄	1	0
Y301	Test Case Specification 測試用例規範	NR1L-ComfortHMI-175	R-C48(amend2)/R-C62 車型欄	1	0
Y302	Test Case Specification 測試用例規範	NR1L-ComfortHMI-176	R-C48(amend2)/R-C62 車型欄	1	0
Y303	Test Case Specification 測試用例規範	NR1L-ComfortHMI-177	R-C48(amend2)/R-C62 車型欄	1	0
Y304	Test Case Specification 測試用例規範	NR1L-ComfortHMI-178	R-C48(amend2)/R-C62 車型欄	1	0
Y305	Test Case Specification 測試用例規範	NR1L-ComfortHMI-179	R-C48(amend2)/R-C62 車型欄	1	0
Y306	Test Case Specification 測試用例規範	NR1L-ComfortHMI-180	R-C48(amend2)/R-C62 車型欄	1	0
Y307	Test Case Specification 測試用例規範	NR1L-ComfortHMI-181	R-C48(amend2)/R-C62 車型欄	1	0
Y308	Test Case Specification 測試用例規範	NR1L-ComfortHMI-182	R-C48(amend2)/R-C62 車型欄	1	0
V309	Test Case Specification 測試用例規範	NR1L-ComfortHMI-374	R-C48(amend2)/R-C62 車型欄	1	0
Y309	Test Case Specification 測試用例規範	NR1L-ComfortHMI-374	R-C48(amend2)/R-C62 車型欄	1	0
Y310	Test Case Specification 測試用例規範	NR1L-ComfortHMI-375	R-C48(amend2)/R-C62 車型欄	1	0
V311	Test Case Specification 測試用例規範	NR1L-ComfortHMI-376	R-C48(amend2)/R-C62 車型欄	1	0
Y311	Test Case Specification 測試用例規範	NR1L-ComfortHMI-376	R-C48(amend2)/R-C62 車型欄	1	0
Y312	Test Case Specification 測試用例規範	NR1L-ComfortHMI-183	R-C48(amend2)/R-C62 車型欄	1	0
Y313	Test Case Specification 測試用例規範	NR1L-ComfortHMI-377	R-C48(amend2)/R-C62 車型欄	1	0
Y314	Test Case Specification 測試用例規範	NR1L-ComfortHMI-461	R-C48(amend2)/R-C62 車型欄	1	0
Y315	Test Case Specification 測試用例規範	NR1L-ComfortHMI-184	R-C48(amend2)/R-C62 車型欄	1	0
Y316	Test Case Specification 測試用例規範	NR1L-ComfortHMI-185	R-C48(amend2)/R-C62 車型欄	1	0
Y317	Test Case Specification 測試用例規範	NR1L-ComfortHMI-186	R-C48(amend2)/R-C62 車型欄	1	0
Y318	Test Case Specification 測試用例規範	NR1L-ComfortHMI-187	R-C48(amend2)/R-C62 車型欄	1	0
Y319	Test Case Specification 測試用例規範	NR1L-ComfortHMI-188	R-C48(amend2)/R-C62 車型欄	1	0
Y320	Test Case Specification 測試用例規範	NR1L-ComfortHMI-189	R-C48(amend2)/R-C62 車型欄	1	0
Y321	Test Case Specification 測試用例規範	NR1L-ComfortHMI-190	R-C48(amend2)/R-C62 車型欄	1	0
Y322	Test Case Specification 測試用例規範	NR1L-ComfortHMI-191	R-C48(amend2)/R-C62 車型欄	1	0
Y323	Test Case Specification 測試用例規範	NR1L-ComfortHMI-192	R-C48(amend2)/R-C62 車型欄	1	0
Y324	Test Case Specification 測試用例規範	NR1L-ComfortHMI-410	R-C48(amend2)/R-C62 車型欄	1	0
Y325	Test Case Specification 測試用例規範	NR1L-ComfortHMI-193	R-C48(amend2)/R-C62 車型欄	1	0
Y326	Test Case Specification 測試用例規範	NR1L-ComfortHMI-194	R-C48(amend2)/R-C62 車型欄	1	0
Y327	Test Case Specification 測試用例規範	NR1L-ComfortHMI-195	R-C48(amend2)/R-C62 車型欄	1	0
Y328	Test Case Specification 測試用例規範	NR1L-ComfortHMI-196	R-C48(amend2)/R-C62 車型欄	1	0
Y329	Test Case Specification 測試用例規範	NR1L-ComfortHMI-197	R-C48(amend2)/R-C62 車型欄	1	0
Y330	Test Case Specification 測試用例規範	NR1L-ComfortHMI-198	R-C48(amend2)/R-C62 車型欄	1	0
Y331	Test Case Specification 測試用例規範	NR1L-ComfortHMI-199	R-C48(amend2)/R-C62 車型欄	1	0
Y332	Test Case Specification 測試用例規範	NR1L-ComfortHMI-200	R-C48(amend2)/R-C62 車型欄	1	0
Y333	Test Case Specification 測試用例規範	NR1L-ComfortHMI-201	R-C48(amend2)/R-C62 車型欄	1	0
Y334	Test Case Specification 測試用例規範	NR1L-ComfortHMI-384	R-C48(amend2)/R-C62 車型欄	1	0
Y335	Test Case Specification 測試用例規範	NR1L-ComfortHMI-202	R-C48(amend2)/R-C62 車型欄	1	0
Y336	Test Case Specification 測試用例規範	NR1L-ComfortHMI-385	R-C48(amend2)/R-C62 車型欄	1	0
Y337	Test Case Specification 測試用例規範	NR1L-ComfortHMI-082	R-C48(amend2)/R-C62 車型欄	1	0
Y338	Test Case Specification 測試用例規範	NR1L-ComfortHMI-083	R-C48(amend2)/R-C62 車型欄	1	0
Y339	Test Case Specification 測試用例規範	NR1L-ComfortHMI-084	R-C48(amend2)/R-C62 車型欄	1	0
Y340	Test Case Specification 測試用例規範	NR1L-ComfortHMI-085	R-C48(amend2)/R-C62 車型欄	1	0
Y341	Test Case Specification 測試用例規範	NR1L-ComfortHMI-086	R-C48(amend2)/R-C62 車型欄	1	0
