tc_id	field	item	before	after
NR1L-ComfortHMI-272	test_item	M7	"The fan speed will be transmitted as 15h instead of the actual fan speed.

(read the rear fan speed indicator -> The rear fan speed indicator shows AUTO instead of the actual fan speed)"	"The fan speed will be transmitted as 15h instead of the actual fan speed.

(read the rear fan speed indicator -> The rear fan speed indicator shows ""AUTO"" instead of the actual fan speed)"
NR1L-ComfortHMI-273	test_procedure	M7	"1. Turn rear AUTO on
2. Set a rear temperature different from the current cabin temperature
3. Read the rear fan speed and airflow mode"	"1. Turn rear ""AUTO"" on
2. Set a rear temperature different from the current cabin temperature
3. Read the rear fan speed and airflow mode"
NR1L-ComfortHMI-273	expected_result	M7	"1. The rear AUTO button is highlighted
2. The rear temperature is set to the requested value
3. The rear fan speed and airflow mode change without user input"	"1. The rear ""AUTO"" button is highlighted
2. The rear temperature is set to the requested value
3. The rear fan speed and airflow mode change without user input"
NR1L-ComfortHMI-274	test_procedure	M7	"1. Select a rear airflow mode
2. Turn rear AUTO on
3. Read the three rear airflow mode buttons"	"1. Select a rear airflow mode
2. Turn rear ""AUTO"" on
3. Read the three rear airflow mode buttons"
NR1L-ComfortHMI-274	expected_result	M7	"1. The selected rear airflow mode button is highlighted
2. The rear AUTO button is highlighted
3. The three rear airflow mode buttons are turned off"	"1. The selected rear airflow mode button is highlighted
2. The rear ""AUTO"" button is highlighted
3. The three rear airflow mode buttons are turned off"
NR1L-ComfortHMI-275	test_procedure	M7	"1. Turn rear AUTO on
2. Change the rear fan speed
3. Turn rear AUTO on again
4. Press a specific rear airflow mode button"	"1. Turn rear ""AUTO"" on
2. Change the rear fan speed
3. Turn rear ""AUTO"" on again
4. Press a specific rear airflow mode button"
NR1L-ComfortHMI-275	expected_result	M7	"1. The rear AUTO button is highlighted
2. The rear AUTO button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode
3. The rear AUTO button is highlighted
4. The system is in the pressed rear airflow mode"	"1. The rear ""AUTO"" button is highlighted
2. The rear ""AUTO"" button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode
3. The rear ""AUTO"" button is highlighted
4. The system is in the pressed rear airflow mode"
NR1L-ComfortHMI-276	test_procedure	M7	"1. Turn rear AUTO on
2. Change the rear temperature
3. Read the rear AUTO button"	"1. Turn rear ""AUTO"" on
2. Change the rear temperature
3. Read the rear ""AUTO"" button"
NR1L-ComfortHMI-276	expected_result	M7	"1. The rear AUTO button is highlighted
2. The rear temperature changes
3. The rear AUTO button is still highlighted"	"1. The rear ""AUTO"" button is highlighted
2. The rear temperature changes
3. The rear ""AUTO"" button is still highlighted"
NR1L-ComfortHMI-276	test_item	M7	"Any other climate controls do NOT break Auto either.

(read the rear AUTO button -> The rear AUTO button is still highlighted)"	"Any other climate controls do NOT break Auto either.

(read the rear ""AUTO"" button -> The rear ""AUTO"" button is still highlighted)"
NR1L-ComfortHMI-283	test_procedure	M7	"1. Turn SYNC on
2. Change the driver temperature"	"1. Turn ""SYNC"" on
2. Change the driver temperature"
NR1L-ComfortHMI-283	expected_result	M7	"1. The SYNC button is highlighted
2. The passenger temperature follows the driver temperature"	"1. The ""SYNC"" button is highlighted
2. The passenger temperature follows the driver temperature"
NR1L-ComfortHMI-403	test_procedure	M7	"1. Turn SYNC on
2. Change the passenger temperature"	"1. Turn ""SYNC"" on
2. Change the passenger temperature"
NR1L-ComfortHMI-403	expected_result	M7	"1. The SYNC button is highlighted
2. SYNC is turned off and the SYNC button is no longer highlighted"	"1. The ""SYNC"" button is highlighted
2. SYNC is turned off and the ""SYNC"" button is no longer highlighted"
NR1L-ComfortHMI-403	test_item	M7	"If SYNC is ON, adjusting driver temperature affects passenger temperatures, adjusting passenger temperatures would break SYNC and turn it off.

(change the passenger temperature -> SYNC is turned off and the SYNC button is no longer highlighted)"	"If SYNC is ON, adjusting driver temperature affects passenger temperatures, adjusting passenger temperatures would break SYNC and turn it off.

(change the passenger temperature -> SYNC is turned off and the ""SYNC"" button is no longer highlighted)"
NR1L-ComfortHMI-404	test_procedure	M7	"1. Turn rear AUTO on
2. Read the rear fan speed indicator"	"1. Turn rear ""AUTO"" on
2. Read the rear fan speed indicator"
NR1L-ComfortHMI-404	expected_result	M7	"1. The rear AUTO button is highlighted
2. The rear fan speed indicator shows AUTO"	"1. The rear ""AUTO"" button is highlighted
2. The rear fan speed indicator shows ""AUTO"""
NR1L-ComfortHMI-404	test_item	M7	"CR5.) Fan ranges: Off, 1-7, 15h (denoting to show AUTO instead).

(read the rear fan speed indicator -> The rear fan speed indicator shows AUTO)"	"CR5.) Fan ranges: Off, 1-7, 15h (denoting to show AUTO instead).

(read the rear fan speed indicator -> The rear fan speed indicator shows ""AUTO"")"
NR1L-ComfortHMI-293	test_procedure	M7	"1. Turn SYNC on
2. Change the driver temperature
3. Read the rear temperature"	"1. Turn ""SYNC"" on
2. Change the driver temperature
3. Read the rear temperature"
NR1L-ComfortHMI-293	expected_result	M7	"1. The SYNC button is highlighted
2. The driver temperature changes
3. The rear temperature follows the driver temperature"	"1. The ""SYNC"" button is highlighted
2. The driver temperature changes
3. The rear temperature follows the driver temperature"
NR1L-ComfortHMI-294	test_procedure	M7	"1. Turn SYNC on
2. Change the rear passenger temperature using the rear climate controls
3. Read the SYNC button"	"1. Turn ""SYNC"" on
2. Change the rear passenger temperature using the rear climate controls
3. Read the ""SYNC"" button"
NR1L-ComfortHMI-294	expected_result	M7	"1. The SYNC button is highlighted
2. The rear passenger temperature changes
3. SYNC is off and the SYNC button is no longer highlighted"	"1. The ""SYNC"" button is highlighted
2. The rear passenger temperature changes
3. SYNC is off and the ""SYNC"" button is no longer highlighted"
NR1L-ComfortHMI-294	test_item	M7	"Adjusting the front or rear passenger temperature, mode, and fan speed via touchscreen or hard control would break SYNC.

(read the SYNC button -> SYNC is off and the SYNC button is no longer highlighted)"	"Adjusting the front or rear passenger temperature, mode, and fan speed via touchscreen or hard control would break SYNC.

(read the ""SYNC"" button -> SYNC is off and the ""SYNC"" button is no longer highlighted)"
NR1L-ComfortHMI-295	test_procedure	M7	"1. Turn SYNC on
2. Change the front fan speed
3. Read the rear fan speed"	"1. Turn ""SYNC"" on
2. Change the front fan speed
3. Read the rear fan speed"
NR1L-ComfortHMI-295	expected_result	M7	"1. The SYNC button is highlighted
2. The front fan speed changes
3. The rear fan speed follows the front fan speed"	"1. The ""SYNC"" button is highlighted
2. The front fan speed changes
3. The rear fan speed follows the front fan speed"
NR1L-ComfortHMI-296	test_procedure	M7	"1. Select the rear Feet mode
2. Read the rear airflow mode"	"1. Select the rear ""Feet"" mode
2. Read the rear airflow mode"
NR1L-ComfortHMI-405	test_procedure	M7	"1. Select the rear Face + Feet mode
2. Read the rear airflow mode"	"1. Select the rear ""Face + Feet"" mode
2. Read the rear airflow mode"
NR1L-ComfortHMI-406	test_procedure	M7	"1. Select the rear Face mode
2. Read the rear airflow mode"	"1. Select the rear ""Face"" mode
2. Read the rear airflow mode"
NR1L-ComfortHMI-298	test_procedure	M7	"1. Select a rear airflow mode
2. Turn rear AUTO on
3. Read the rear airflow mode buttons"	"1. Select a rear airflow mode
2. Turn rear ""AUTO"" on
3. Read the rear airflow mode buttons"
NR1L-ComfortHMI-298	expected_result	M7	"1. The selected rear airflow mode button is highlighted
2. The rear AUTO button is highlighted
3. The rear airflow mode buttons are turned off"	"1. The selected rear airflow mode button is highlighted
2. The rear ""AUTO"" button is highlighted
3. The rear airflow mode buttons are turned off"
NR1L-ComfortHMI-299	test_procedure	M7	"1. Select the rear Feet mode
2. Select the rear Face mode
3. Read the rear airflow mode buttons"	"1. Select the rear ""Feet"" mode
2. Select the rear ""Face"" mode
3. Read the rear airflow mode buttons"
NR1L-ComfortHMI-299	expected_result	M7	"1. The rear Feet mode is selected
2. The rear Face mode is selected
3. Only the rear Face mode button is highlighted"	"1. The rear Feet mode is selected
2. The rear Face mode is selected
3. Only the rear ""Face"" mode button is highlighted"
NR1L-ComfortHMI-299	test_item	M7	"Only one mode can be selected at a time.

(read the rear airflow mode buttons -> Only the rear Face mode button is highlighted)"	"Only one mode can be selected at a time.

(read the rear airflow mode buttons -> Only the rear ""Face"" mode button is highlighted)"
NR1L-ComfortHMI-408	test_procedure	M7	"1. Turn AUTO on for the front climate
2. Trigger the fan speed pop up using the hard controls"	"1. Turn ""AUTO"" on for the front climate
2. Trigger the fan speed pop up using the hard controls"
NR1L-ComfortHMI-408	expected_result	M7	"1. The front climate is in AUTO
2. The pop up shows AUTO as the front fan status"	"1. The front climate is in AUTO
2. The pop up shows ""AUTO"" as the front fan status"
NR1L-ComfortHMI-408	test_item	M7	"The pop up will show the front fan speed status (level number, AUTO, OFF) and the Rear fan status (level number, AUTO, OFF).

(trigger the fan speed pop up using the hard controls -> The pop up shows AUTO as the front fan status)"	"The pop up will show the front fan speed status (level number, AUTO, OFF) and the Rear fan status (level number, AUTO, OFF).

(trigger the fan speed pop up using the hard controls -> The pop up shows ""AUTO"" as the front fan status)"
NR1L-ComfortHMI-067	test_procedure	M7	"1. Open the climate screen
2. Press the AUTO button"	"1. Open the climate screen
2. Press the ""AUTO"" button"
NR1L-ComfortHMI-067	expected_result	M7	"1. The climate screen shows the AUTO control
2. The AUTO ECO mode is active"	"1. The climate screen shows the ""AUTO"" control
2. The AUTO ECO mode is active"
NR1L-ComfortHMI-067	test_item	M7	"EH1.) ECO HVAC is an HVAC Mode, used on EV Vehicles only, to reduce Climate control System Power Consumption.

(press the AUTO button -> The AUTO ECO mode is active)"	"EH1.) ECO HVAC is an HVAC Mode, used on EV Vehicles only, to reduce Climate control System Power Consumption.

(press the ""AUTO"" button -> The AUTO ECO mode is active)"
NR1L-ComfortHMI-068	test_procedure	M7	"1. Press the AUTO button until AUTO is off
2. Press the AUTO button
3. Press the AUTO button"	"1. Press the ""AUTO"" button until AUTO is off
2. Press the ""AUTO"" button
3. Press the ""AUTO"" button"
NR1L-ComfortHMI-068	test_item	M7	"EH2.) For BEV vehicles, the AUTO functionality can have 3 states: AUTO ECO, AUTO ON, AUTO OFF.

(press the AUTO button -> The AUTO state is AUTO ON)"	"EH2.) For BEV vehicles, the AUTO functionality can have 3 states: AUTO ECO, AUTO ON, AUTO OFF.

(press the ""AUTO"" button -> The AUTO state is AUTO ON)"
NR1L-ComfortHMI-069	test_procedure	M7	"1. Press the AUTO button until the AUTO ECO mode is active
2. Read the label on the AUTO button"	"1. Press the ""AUTO"" button until the AUTO ECO mode is active
2. Read the label on the ""AUTO"" button"
NR1L-ComfortHMI-069	expected_result	M7	"1. The AUTO ECO mode is active
2. The button label reads AUTO ECO"	"1. The AUTO ECO mode is active
2. The button label reads ""AUTO ECO"""
NR1L-ComfortHMI-069	test_item	M7	"EH3.) Button label will read AUTO ECO.

(read the label on the AUTO button -> The button label reads AUTO ECO)"	"EH3.) Button label will read AUTO ECO.

(read the label on the ""AUTO"" button -> The button label reads ""AUTO ECO"")"
NR1L-ComfortHMI-070	test_procedure	M7	"1. Press the AUTO button until AUTO is off
2. Press the AUTO button once"	"1. Press the ""AUTO"" button until AUTO is off
2. Press the ""AUTO"" button once"
NR1L-ComfortHMI-070	test_item	M7	"EH4.) When the AUTO function is off and available, the user s first press of the AUTO button will activate the AUTO ECO functionality.

(press the AUTO button once -> The AUTO ECO functionality is activated)"	"EH4.) When the AUTO function is off and available, the user s first press of the AUTO button will activate the AUTO ECO functionality.

(press the ""AUTO"" button once -> The AUTO ECO functionality is activated)"
NR1L-ComfortHMI-460	test_procedure	M7	"1. Open the climate screen
2. Press the position at which the AUTO button is shown in an ATC configuration"	"1. Open the climate screen
2. Press the position at which the ""AUTO"" button is shown in an ATC configuration"
NR1L-ComfortHMI-460	expected_result	M7	"1. The climate screen is displayed and no AUTO button is shown
2. The AUTO ECO functionality is not activated"	"1. The climate screen is displayed and no ""AUTO"" button is shown
2. The AUTO ECO functionality is not activated"
NR1L-ComfortHMI-460	test_item	M7	"EH4.) When the AUTO function is off and available, the user s first press of the AUTO button will activate the AUTO ECO functionality.

(press the position at which the AUTO button is shown in an ATC configuration -> The AUTO ECO functionality is not activated)"	"EH4.) When the AUTO function is off and available, the user s first press of the AUTO button will activate the AUTO ECO functionality.

(press the position at which the ""AUTO"" button is shown in an ATC configuration -> The AUTO ECO functionality is not activated)"
NR1L-ComfortHMI-071	test_procedure	M7	"1. Press the AUTO button until the AUTO ECO mode is active
2. Press the AUTO button once"	"1. Press the ""AUTO"" button until the AUTO ECO mode is active
2. Press the ""AUTO"" button once"
NR1L-ComfortHMI-071	test_item	M7	"EH5.) The second press will switch to AUTO on.

(press the AUTO button once -> The AUTO state is AUTO ON)"	"EH5.) The second press will switch to AUTO on.

(press the ""AUTO"" button once -> The AUTO state is AUTO ON)"
NR1L-ComfortHMI-072	test_procedure	M7	"1. Press the AUTO button until the AUTO ON state is active
2. Press the AUTO button once"	"1. Press the ""AUTO"" button until the AUTO ON state is active
2. Press the ""AUTO"" button once"
NR1L-ComfortHMI-072	test_item	M7	"A third press would go back to AUTO ECO.

(press the AUTO button once -> The AUTO state is AUTO ECO)"	"A third press would go back to AUTO ECO.

(press the ""AUTO"" button once -> The AUTO state is AUTO ECO)"
NR1L-ComfortHMI-073	test_procedure	M7	"1. Press the AUTO button until the AUTO ECO mode is active
2. Press the AUTO button repeatedly
3. Change the fan speed
4. Press the AUTO button until the AUTO ECO mode is active
5. Change the airflow mode"	"1. Press the ""AUTO"" button until the AUTO ECO mode is active
2. Press the ""AUTO"" button repeatedly
3. Change the fan speed
4. Press the ""AUTO"" button until the AUTO ECO mode is active
5. Change the airflow mode"
NR1L-ComfortHMI-074	test_procedure	M7	"1. Select an airflow mode on the climate screen
2. Press the AUTO button until the AUTO ECO mode is active"	"1. Select an airflow mode on the climate screen
2. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-074	test_item	M7	"EH6.) When AUTO ECO is on, deselect airflow modes as in standard AUTO mode; fan speed indication should denote that AUTO ECO is active.

(press the AUTO button until the AUTO ECO mode is active -> The airflow modes are deselected)"	"EH6.) When AUTO ECO is on, deselect airflow modes as in standard AUTO mode; fan speed indication should denote that AUTO ECO is active.

(press the ""AUTO"" button until the AUTO ECO mode is active -> The airflow modes are deselected)"
NR1L-ComfortHMI-075	test_procedure	M7	"1. Press the AUTO button until the AUTO ECO mode is active
2. Read the fan speed indication on the climate screen"	"1. Press the ""AUTO"" button until the AUTO ECO mode is active
2. Read the fan speed indication on the climate screen"
NR1L-ComfortHMI-076	test_procedure	M7	"1. Press the AUTO button until the AUTO ECO mode is active
2. Run an ignition cycle
3. Read the AUTO state on the climate screen"	"1. Press the ""AUTO"" button until the AUTO ECO mode is active
2. Run an ignition cycle
3. Read the AUTO state on the climate screen"
NR1L-ComfortHMI-077	test_procedure	M7	"1. Press the AUTO button until the AUTO ECO mode is active, then read the Comfort main Menu Bar icon
2. Press the AUTO button once, then read the Comfort main Menu Bar icon"	"1. Press the ""AUTO"" button until the AUTO ECO mode is active, then read the Comfort main Menu Bar icon
2. Press the ""AUTO"" button once, then read the Comfort main Menu Bar icon"
NR1L-ComfortHMI-077	test_item	M7	"EH8.) The Comfort main Menu Bar icon shall reflect the AUTO ECO and AUTO states.

(press the AUTO button once, then read the Comfort main Menu Bar icon -> The Comfort main Menu Bar icon reflects the AUTO ON state)"	"EH8.) The Comfort main Menu Bar icon shall reflect the AUTO ECO and AUTO states.

(press the ""AUTO"" button once, then read the Comfort main Menu Bar icon -> The Comfort main Menu Bar icon reflects the AUTO ON state)"
NR1L-ComfortHMI-078	test_procedure	M7	"1. Press the AUTO button until the AUTO ECO mode is active
2. Change the fan speed using the fan speed hard control
3. Press the AUTO button until the AUTO ON state is active
4. Change the fan speed using the fan speed hard control"	"1. Press the ""AUTO"" button until the AUTO ECO mode is active
2. Change the fan speed using the fan speed hard control
3. Press the ""AUTO"" button until the AUTO ON state is active
4. Change the fan speed using the fan speed hard control"
NR1L-ComfortHMI-079	test_procedure	M7	"1. Press the AUTO button until AUTO is off
2. Press the AUTO button once and read the AUTO pop up"	"1. Press the ""AUTO"" button until AUTO is off
2. Press the ""AUTO"" button once and read the AUTO pop up"
NR1L-ComfortHMI-079	test_item	M7	"When entering the AUTO ECO mode, text will read «Press again to improve climate performance»; when standard AUTO is activated, the text will read «Press again for lower battery consumption»

(press the AUTO button once and read the AUTO pop up -> The AUTO pop up reads ""Press again to improve climate performance"")"	"When entering the AUTO ECO mode, text will read «Press again to improve climate performance»; when standard AUTO is activated, the text will read «Press again for lower battery consumption»

(press the ""AUTO"" button once and read the AUTO pop up -> The AUTO pop up reads ""Press again to improve climate performance"")"
NR1L-ComfortHMI-080	test_procedure	M7	"1. Press the AUTO button until the AUTO ECO mode is active
2. Press the AUTO button once and read the AUTO pop up"	"1. Press the ""AUTO"" button until the AUTO ECO mode is active
2. Press the ""AUTO"" button once and read the AUTO pop up"
NR1L-ComfortHMI-080	test_item	M7	"When entering the AUTO ECO mode, text will read «Press again to improve climate performance»; when standard AUTO is activated, the text will read «Press again for lower battery consumption»

(press the AUTO button once and read the AUTO pop up -> The AUTO pop up reads ""Press again for lower battery consumption"")"	"When entering the AUTO ECO mode, text will read «Press again to improve climate performance»; when standard AUTO is activated, the text will read «Press again for lower battery consumption»

(press the ""AUTO"" button once and read the AUTO pop up -> The AUTO pop up reads ""Press again for lower battery consumption"")"
NR1L-ComfortHMI-197	test_procedure	M7	"1. Turn AUTO on using the AUTO hard control
2. Read the screen for an AUTO pop-up"	"1. Turn ""AUTO"" on using the ""AUTO"" hard control
2. Read the screen for an AUTO pop-up"
NR1L-ComfortHMI-085	test_procedure	M7	"1. Turn SYNC on from the climate screen
2. Adjust the driver temperature slider"	"1. Turn ""SYNC"" on from the climate screen
2. Adjust the driver temperature slider"
NR1L-ComfortHMI-203	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Read the fan speed indicator"	"1. Turn ""AUTO"" on from the climate screen
2. Read the fan speed indicator"
NR1L-ComfortHMI-204	test_procedure	M7	"1. Select an airflow mode on the climate screen
2. Turn AUTO on and read the Mode buttons"	"1. Select an airflow mode on the climate screen
2. Turn ""AUTO"" on and read the Mode buttons"
NR1L-ComfortHMI-204	test_item	M7	"The fan speed indicator shows Auto instead of the actual fan speed and none of the Mode buttons will be shown highlighted.

(turn AUTO on and read the Mode buttons -> No Mode button is highlighted)"	"The fan speed indicator shows Auto instead of the actual fan speed and none of the Mode buttons will be shown highlighted.

(turn ""AUTO"" on and read the Mode buttons -> No Mode button is highlighted)"
NR1L-ComfortHMI-205	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Read the main category control"	"1. Turn ""AUTO"" on from the climate screen
2. Read the main category control"
NR1L-ComfortHMI-206	test_procedure	M7	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn AUTO on and read the fan speed and the airflow mode"	"1. Set a fan speed and an airflow mode from the climate screen with AUTO off
2. Turn ""AUTO"" on and read the fan speed and the airflow mode"
NR1L-ComfortHMI-206	test_item	M7	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn AUTO on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"	"AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.

(turn ""AUTO"" on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system)"
NR1L-ComfortHMI-207	test_procedure	M7	"1. Turn ""MAX A/C"" on from the climate screen
2. Turn AUTO on and read the ""MAX A/C"" and ""MAX DEF"" buttons"	"1. Turn ""MAX A/C"" on from the climate screen
2. Turn ""AUTO"" on and read the ""MAX A/C"" and ""MAX DEF"" buttons"
NR1L-ComfortHMI-207	test_item	M7	"Auto is mutually exclusive with MAX A/C and MAX DEF.

(turn AUTO on and read the ""MAX A/C"" and ""MAX DEF"" buttons -> Neither ""MAX A/C"" nor ""MAX DEF"" is highlighted)"	"Auto is mutually exclusive with MAX A/C and MAX DEF.

(turn ""AUTO"" on and read the ""MAX A/C"" and ""MAX DEF"" buttons -> Neither ""MAX A/C"" nor ""MAX DEF"" is highlighted)"
NR1L-ComfortHMI-208	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Press ""MAX A/C"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""MAX A/C"""
NR1L-ComfortHMI-411	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Press ""MAX DEF"""	"1. Turn ""AUTO"" on from the climate screen
2. Press ""MAX DEF"""
NR1L-ComfortHMI-209	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Select another airflow mode"	"1. Turn ""AUTO"" on from the climate screen
2. Select another airflow mode"
NR1L-ComfortHMI-412	test_procedure	M7	"1. Turn AUTO on from the climate screen
2. Change the fan speed"	"1. Turn ""AUTO"" on from the climate screen
2. Change the fan speed"
NR1L-ComfortHMI-210	test_procedure	M7	"1. Turn AUTO on from the climate screen and read the ""A/C"" button
2. Press ""A/C"" and read the ""AUTO"" button"	"1. Turn ""AUTO"" on from the climate screen and read the ""A/C"" button
2. Press ""A/C"" and read the ""AUTO"" button"
NR1L-ComfortHMI-103	test_procedure	M7	"1. Turn SYNC on from the climate screen
2. Adjust the driver temperature slider"	"1. Turn ""SYNC"" on from the climate screen
2. Adjust the driver temperature slider"
NR1L-ComfortHMI-104	test_procedure	M7	"1. Turn SYNC on from the climate screen
2. Adjust the driver temperature"	"1. Turn ""SYNC"" on from the climate screen
2. Adjust the driver temperature"
NR1L-ComfortHMI-105	test_procedure	M7	"1. Turn SYNC on from the climate screen
2. Adjust the passenger temperature"	"1. Turn ""SYNC"" on from the climate screen
2. Adjust the passenger temperature"
NR1L-ComfortHMI-109	test_procedure	M7	"1. Adjust the fan speed across its whole range on the climate screen
2. Turn AUTO on"	"1. Adjust the fan speed across its whole range on the climate screen
2. Turn ""AUTO"" on"
NR1L-ComfortHMI-109	expected_result	M7	"1. The fan speeds available are 1 to 7
2. The fan speed indicator shows the AUTO label instead of a fan speed"	"1. The fan speeds available are 1 to 7
2. The fan speed indicator shows the ""AUTO"" label instead of a fan speed"
NR1L-ComfortHMI-109	test_item	M7	"ICE6.) Fan ranges: Off, 1-7 (denoting to show AUTO label instead when in AUTO).

(turn AUTO on -> The fan speed indicator shows the AUTO label instead of a fan speed)"	"ICE6.) Fan ranges: Off, 1-7 (denoting to show AUTO label instead when in AUTO).

(turn ""AUTO"" on -> The fan speed indicator shows the ""AUTO"" label instead of a fan speed)"
NR1L-ComfortHMI-240	test_procedure	M7	"1. Set RECIRC to closed on the climate screen
2. Press ""MAX DEF"" and read the RECIRC state and its LED"	"1. Set ""RECIRC"" to closed on the climate screen
2. Press ""MAX DEF"" and read the ""RECIRC"" button state and its LED"
NR1L-ComfortHMI-240	test_item	M7	"ICE7.) MAX DEF automatically turns on A/C, changes airflow modes to Windshield, increases fan speed at highest setting (7/7), sets temperature (driver and passenger if available) at highest setting (HI), change RECIRC to open (LED off), turns on Sync and activates the REAR DEFROST.

(press ""MAX DEF"" and read the RECIRC state and its LED -> RECIRC is open and its LED is off)"	"ICE7.) MAX DEF automatically turns on A/C, changes airflow modes to Windshield, increases fan speed at highest setting (7/7), sets temperature (driver and passenger if available) at highest setting (HI), change RECIRC to open (LED off), turns on Sync and activates the REAR DEFROST.

(press ""MAX DEF"" and read the ""RECIRC"" button state and its LED -> RECIRC is open and its LED is off)"
NR1L-ComfortHMI-421	test_procedure	M7	"1. Select a known airflow mode
2. Press ""MAX DEF""
3. Change RECIRC and read the ""MAX DEF"" button"	"1. Select a known airflow mode
2. Press ""MAX DEF""
3. Change ""RECIRC"" and read the ""MAX DEF"" button"
NR1L-ComfortHMI-421	test_item	M7	"Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on.

(change RECIRC and read the ""MAX DEF"" button -> ""MAX DEF"" is no longer highlighted and the airflow mode is the one selected in step 1)"	"Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on.

(change ""RECIRC"" and read the ""MAX DEF"" button -> ""MAX DEF"" is no longer highlighted and the airflow mode is the one selected in step 1)"
NR1L-ComfortHMI-251	test_procedure	M7	"1. Select the Face airflow mode on the climate screen
2. Select the Feet airflow mode and read the mode buttons"	"1. Select the ""Face"" airflow mode on the climate screen
2. Select the ""Feet"" airflow mode and read the mode buttons"
NR1L-ComfortHMI-251	test_item	M7	"Only one airflow mode can be selected at a time.

(select the Feet airflow mode and read the mode buttons -> The Feet airflow mode is active and the Face airflow mode is not)"	"Only one airflow mode can be selected at a time.

(select the ""Feet"" airflow mode and read the mode buttons -> The Feet airflow mode is active and the Face airflow mode is not)"
NR1L-ComfortHMI-252	test_procedure	M7	"1. Read the size and highlight of the Feet airflow mode button and record them
2. Select the Feet airflow mode and read that button"	"1. Read the size and highlight of the ""Feet"" airflow mode button and record them
2. Select the ""Feet"" airflow mode and read that button"
NR1L-ComfortHMI-252	expected_result	M7	"1. The Feet airflow mode button is not highlighted
2. The Feet airflow mode button is highlighted and larger than in step 1"	"1. The ""Feet"" airflow mode button is not highlighted
2. The ""Feet"" airflow mode button is highlighted and larger than in step 1"
NR1L-ComfortHMI-252	test_item	M7	"ON state for the four airflow modes is shown by highlighting the button and increasing button size.

(select the Feet airflow mode and read that button -> The Feet airflow mode button is highlighted and larger than in step 1)"	"ON state for the four airflow modes is shown by highlighting the button and increasing button size.

(select the ""Feet"" airflow mode and read that button -> The ""Feet"" airflow mode button is highlighted and larger than in step 1)"
NR1L-ComfortHMI-253	test_procedure	M7	"1. Select the Feet airflow mode on the climate screen
2. Read the main category control"	"1. Select the ""Feet"" airflow mode on the climate screen
2. Read the main category control"
NR1L-ComfortHMI-254	test_procedure	M7	"1. Select the Face airflow mode on the climate screen
2. Press the Mode hard control four times, reading the mode after each press"	"1. Select the ""Face"" airflow mode on the climate screen
2. Press the Mode hard control four times, reading the mode after each press"
NR1L-ComfortHMI-255	test_procedure	M7	"1. Select the Face airflow mode on the climate screen
2. Press and hold the Mode hard control and read the airflow mode"	"1. Select the ""Face"" airflow mode on the climate screen
2. Press and hold the Mode hard control and read the airflow mode"
NR1L-ComfortHMI-229	test_procedure	M7	"1. Set RECIRC to open on the climate screen
2. Press ""MAX A/C"" and read the ""RECIRC"" state and its LED"	"1. Set ""RECIRC"" to open on the climate screen
2. Press ""MAX A/C"" and read the ""RECIRC"" state and its LED"
NR1L-ComfortHMI-427	test_procedure	M7	"1. Press ""MAX A/C"" on the climate screen
2. Change RECIRC and read the ""MAX A/C"" button"	"1. Press ""MAX A/C"" on the climate screen
2. Change ""RECIRC"" and read the ""MAX A/C"" button"
NR1L-ComfortHMI-427	test_item	M7	"Changing temperature, recirculation, mode distribution, or pressing again MAX A/C brakes MAX A/C, (turns MAX A/C off) and the system goes back to the previous manual mode except for the element changed (temperature, or mode, or recirculation) and keeps the A/C on.

(change RECIRC and read the ""MAX A/C"" button -> The ""MAX A/C"" button is no longer highlighted)"	"Changing temperature, recirculation, mode distribution, or pressing again MAX A/C brakes MAX A/C, (turns MAX A/C off) and the system goes back to the previous manual mode except for the element changed (temperature, or mode, or recirculation) and keeps the A/C on.

(change ""RECIRC"" and read the ""MAX A/C"" button -> The ""MAX A/C"" button is no longer highlighted)"
NR1L-ComfortHMI-265	test_procedure	M7	"1. Turn the exterior rear-view mirror defrost on
2. Turn AUTO on and read the exterior rear-view mirror defrost state
3. Turn the climate system off and read the exterior rear-view mirror defrost state"	"1. Turn the exterior rear-view mirror defrost on
2. Turn ""AUTO"" on and read the exterior rear-view mirror defrost state
3. Turn the climate system off and read the exterior rear-view mirror defrost state"
