# label_quote_plan.tsv - CMF-02 M7 (quote plan only; nothing applied)
# source: features/comfort/sandbox/revise_0918/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_ComfortHMI_20260918.xlsx
# source sha256: 28a0998c8b36a88b182b3fa209492cc5c6fda3999f48e6031d571d66439a266f
# sheet: Test Case Specification 測試用例規範; rows 10-483; columns L (Test procedure) + M (Expected Result); F = tc_id, D = req_id
# scan: case-sensitive whole word \b(AUTO|Face|Feet|RECIRC|SYNC|Sync)\b per physical line; a hit is "already quoted" when it lies inside a "..." span on the same line (ASCII double quotes; no curly quotes found)
# line_no = 1-based physical line within the cell; context = that line verbatim
# counts (unquoted hits listed below / already-quoted not listed): AUTO 173/45; Face 54/10; Feet 55/12; RECIRC 29/18; SYNC 24/39; Sync 4/0
# CMF-01 L+M (0907 workbook, unquoted): AUTO 161 (quoted 43), Face 54, Feet 55, RECIRC 29, SYNC 24, Sync 4
# class totals: label 144, state 184, verbatim 11; of which ambiguous (note starts with "ambiguous:") 25
# per token x class: AUTO l92/s70/v11; Face l8/s46/v0; Feet l10/s45/v0; RECIRC l14/s15/v0; SYNC l19/s5/v0; Sync l1/s3/v0 (l=label s=state v=verbatim)
# suggestion: label -> full line with every label hit of that line quoted (same text on each hit row of the line); state/verbatim -> keep
row	tc_id_F	req_id	column	line_no	token	class	context	suggestion	note
156	NR1L-ComfortHMI-146	SWE1-HVAC-030-04	M	2	AUTO	verbatim	2. The rear AUTO button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode	keep	lifted from 2.3 C2 / 7.x "the manual mode that most closely matches the auto mode exited" (reordered; spec spelling "auto", R-C2 -> AUTO)
156	NR1L-ComfortHMI-146	SWE1-HVAC-030-04	M	3	AUTO	label	3. The rear AUTO button is highlighted	3. The rear "AUTO" button is highlighted	
157	NR1L-ComfortHMI-147	SWE1-HVAC-030-05	L	1	AUTO	label	1. Turn rear AUTO on	1. Turn rear "AUTO" on	
157	NR1L-ComfortHMI-147	SWE1-HVAC-030-05	L	3	AUTO	label	3. Read the rear AUTO button	3. Read the rear "AUTO" button	
157	NR1L-ComfortHMI-147	SWE1-HVAC-030-05	M	1	AUTO	label	1. The rear AUTO button is highlighted	1. The rear "AUTO" button is highlighted	
157	NR1L-ComfortHMI-147	SWE1-HVAC-030-05	M	3	AUTO	label	3. The rear AUTO button is still highlighted	3. The rear "AUTO" button is still highlighted	
167	NR1L-ComfortHMI-157	SWE1-HVAC-032-04	L	1	SYNC	label	1. Turn SYNC on	1. Turn "SYNC" on	
167	NR1L-ComfortHMI-157	SWE1-HVAC-032-04	M	1	SYNC	label	1. The SYNC button is highlighted	1. The "SYNC" button is highlighted	
168	NR1L-ComfortHMI-158	SWE1-HVAC-032-04	L	1	SYNC	label	1. Turn SYNC on	1. Turn "SYNC" on	
168	NR1L-ComfortHMI-158	SWE1-HVAC-032-04	M	1	SYNC	label	1. The SYNC button is highlighted	1. The "SYNC" button is highlighted	
168	NR1L-ComfortHMI-158	SWE1-HVAC-032-04	M	2	SYNC	state	2. SYNC is turned off and the SYNC button is no longer highlighted	keep	
168	NR1L-ComfortHMI-158	SWE1-HVAC-032-04	M	2	SYNC	label	2. SYNC is turned off and the SYNC button is no longer highlighted	2. SYNC is turned off and the "SYNC" button is no longer highlighted	
170	NR1L-ComfortHMI-160	SWE1-HVAC-033-01	L	1	AUTO	label	1. Turn rear AUTO on	1. Turn rear "AUTO" on	
170	NR1L-ComfortHMI-160	SWE1-HVAC-033-01	M	1	AUTO	label	1. The rear AUTO button is highlighted	1. The rear "AUTO" button is highlighted	
170	NR1L-ComfortHMI-160	SWE1-HVAC-033-01	M	2	AUTO	label	2. The rear fan speed indicator shows AUTO	2. The rear fan speed indicator shows "AUTO"	value read off the UI (fan speed indicator / pop up), §11 "values follow the same convention"; spec 2.3/7.2 writes "Auto", R-C2 -> AUTO
179	NR1L-ComfortHMI-169	SWE1-HVAC-035-01	L	1	SYNC	label	1. Turn SYNC on	1. Turn "SYNC" on	
179	NR1L-ComfortHMI-169	SWE1-HVAC-035-01	M	1	SYNC	label	1. The SYNC button is highlighted	1. The "SYNC" button is highlighted	
180	NR1L-ComfortHMI-170	SWE1-HVAC-035-02	L	1	SYNC	label	1. Turn SYNC on	1. Turn "SYNC" on	
180	NR1L-ComfortHMI-170	SWE1-HVAC-035-02	L	3	SYNC	label	3. Read the SYNC button	3. Read the "SYNC" button	
180	NR1L-ComfortHMI-170	SWE1-HVAC-035-02	M	1	SYNC	label	1. The SYNC button is highlighted	1. The "SYNC" button is highlighted	
180	NR1L-ComfortHMI-170	SWE1-HVAC-035-02	M	3	SYNC	state	3. SYNC is off and the SYNC button is no longer highlighted	keep	
180	NR1L-ComfortHMI-170	SWE1-HVAC-035-02	M	3	SYNC	label	3. SYNC is off and the SYNC button is no longer highlighted	3. SYNC is off and the "SYNC" button is no longer highlighted	
181	NR1L-ComfortHMI-171	SWE1-HVAC-035-03	L	1	SYNC	label	1. Turn SYNC on	1. Turn "SYNC" on	
181	NR1L-ComfortHMI-171	SWE1-HVAC-035-03	M	1	SYNC	label	1. The SYNC button is highlighted	1. The "SYNC" button is highlighted	
182	NR1L-ComfortHMI-172	SWE1-HVAC-036-01	L	1	Feet	label	1. Select the rear Feet mode	1. Select the rear "Feet" mode	
182	NR1L-ComfortHMI-172	SWE1-HVAC-036-01	M	1	Feet	state	1. The rear Feet mode is selected	keep	
182	NR1L-ComfortHMI-172	SWE1-HVAC-036-01	M	2	Feet	state	2. The rear airflow mode is Feet	keep	
183	NR1L-ComfortHMI-173	SWE1-HVAC-036-01	L	1	Face	label	1. Select the rear Face + Feet mode	1. Select the rear "Face + Feet" mode	compound rear mode label from 7.8 CR8 "Face + Feet"; both hits covered by one quoted span
183	NR1L-ComfortHMI-173	SWE1-HVAC-036-01	L	1	Feet	label	1. Select the rear Face + Feet mode	1. Select the rear "Face + Feet" mode	compound rear mode label from 7.8 CR8 "Face + Feet"; both hits covered by one quoted span
183	NR1L-ComfortHMI-173	SWE1-HVAC-036-01	M	1	Face	state	1. The rear Face + Feet mode is selected	keep	
183	NR1L-ComfortHMI-173	SWE1-HVAC-036-01	M	1	Feet	state	1. The rear Face + Feet mode is selected	keep	
183	NR1L-ComfortHMI-173	SWE1-HVAC-036-01	M	2	Face	state	2. The rear airflow mode is Face + Feet	keep	
183	NR1L-ComfortHMI-173	SWE1-HVAC-036-01	M	2	Feet	state	2. The rear airflow mode is Face + Feet	keep	
184	NR1L-ComfortHMI-174	SWE1-HVAC-036-01	L	1	Face	label	1. Select the rear Face mode	1. Select the rear "Face" mode	
184	NR1L-ComfortHMI-174	SWE1-HVAC-036-01	M	1	Face	state	1. The rear Face mode is selected	keep	
184	NR1L-ComfortHMI-174	SWE1-HVAC-036-01	M	2	Face	state	2. The rear airflow mode is Face	keep	
186	NR1L-ComfortHMI-176	SWE1-HVAC-036-03	L	2	AUTO	label	2. Turn rear AUTO on	2. Turn rear "AUTO" on	
186	NR1L-ComfortHMI-176	SWE1-HVAC-036-03	M	2	AUTO	label	2. The rear AUTO button is highlighted	2. The rear "AUTO" button is highlighted	
187	NR1L-ComfortHMI-177	SWE1-HVAC-036-04	L	1	Feet	label	1. Select the rear Feet mode	1. Select the rear "Feet" mode	
187	NR1L-ComfortHMI-177	SWE1-HVAC-036-04	L	2	Face	label	2. Select the rear Face mode	2. Select the rear "Face" mode	
187	NR1L-ComfortHMI-177	SWE1-HVAC-036-04	M	1	Feet	state	1. The rear Feet mode is selected	keep	
187	NR1L-ComfortHMI-177	SWE1-HVAC-036-04	M	2	Face	state	2. The rear Face mode is selected	keep	
187	NR1L-ComfortHMI-177	SWE1-HVAC-036-04	M	3	Face	label	3. Only the rear Face mode button is highlighted	3. Only the rear "Face" mode button is highlighted	
195	NR1L-ComfortHMI-185	SWE1-HVAC-040-01	L	1	AUTO	label	1. Turn AUTO on for the front climate	1. Turn "AUTO" on for the front climate	
195	NR1L-ComfortHMI-185	SWE1-HVAC-040-01	M	1	AUTO	state	1. The front climate is in AUTO	keep	
195	NR1L-ComfortHMI-185	SWE1-HVAC-040-01	M	2	AUTO	label	2. The pop up shows AUTO as the front fan status	2. The pop up shows "AUTO" as the front fan status	value read off the pop up; 14.x "front fan speed status (level number, AUTO, OFF)"
203	NR1L-ComfortHMI-193	SWE1-HVAC-044-01	L	2	AUTO	label	2. Press the AUTO button	2. Press the "AUTO" button	
203	NR1L-ComfortHMI-193	SWE1-HVAC-044-01	M	1	AUTO	label	1. The climate screen shows the AUTO control	1. The climate screen shows the "AUTO" control	
203	NR1L-ComfortHMI-193	SWE1-HVAC-044-01	M	2	AUTO	state	2. The AUTO ECO mode is active	keep	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	L	1	AUTO	label	1. Press the AUTO button until AUTO is off	1. Press the "AUTO" button until AUTO is off	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	L	1	AUTO	state	1. Press the AUTO button until AUTO is off	keep	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	L	2	AUTO	label	2. Press the AUTO button	2. Press the "AUTO" button	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	L	3	AUTO	label	3. Press the AUTO button	3. Press the "AUTO" button	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	M	1	AUTO	state	1. The AUTO state is AUTO OFF	keep	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	M	1	AUTO	state	1. The AUTO state is AUTO OFF	keep	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	M	2	AUTO	state	2. The AUTO state is AUTO ECO	keep	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	M	2	AUTO	state	2. The AUTO state is AUTO ECO	keep	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	M	3	AUTO	state	3. The AUTO state is AUTO ON	keep	
205	NR1L-ComfortHMI-195	SWE1-HVAC-045	M	3	AUTO	state	3. The AUTO state is AUTO ON	keep	
206	NR1L-ComfortHMI-196	SWE1-HVAC-046	L	1	AUTO	label	1. Press the AUTO button until the AUTO ECO mode is active	1. Press the "AUTO" button until the AUTO ECO mode is active	
206	NR1L-ComfortHMI-196	SWE1-HVAC-046	L	1	AUTO	state	1. Press the AUTO button until the AUTO ECO mode is active	keep	
206	NR1L-ComfortHMI-196	SWE1-HVAC-046	L	2	AUTO	label	2. Read the label on the AUTO button	2. Read the label on the "AUTO" button	
206	NR1L-ComfortHMI-196	SWE1-HVAC-046	M	1	AUTO	state	1. The AUTO ECO mode is active	keep	
206	NR1L-ComfortHMI-196	SWE1-HVAC-046	M	2	AUTO	label	2. The button label reads AUTO ECO	2. The button label reads "AUTO ECO"	value read off the button; 10.3 EH3 "Button label will read AUTO ECO"; quote covers the whole label "AUTO ECO"
207	NR1L-ComfortHMI-197	SWE1-HVAC-047	L	1	AUTO	label	1. Press the AUTO button until AUTO is off	1. Press the "AUTO" button until AUTO is off	
207	NR1L-ComfortHMI-197	SWE1-HVAC-047	L	1	AUTO	state	1. Press the AUTO button until AUTO is off	keep	
207	NR1L-ComfortHMI-197	SWE1-HVAC-047	L	2	AUTO	label	2. Press the AUTO button once	2. Press the "AUTO" button once	
207	NR1L-ComfortHMI-197	SWE1-HVAC-047	M	1	AUTO	state	1. The AUTO state is AUTO OFF	keep	
207	NR1L-ComfortHMI-197	SWE1-HVAC-047	M	1	AUTO	state	1. The AUTO state is AUTO OFF	keep	
207	NR1L-ComfortHMI-197	SWE1-HVAC-047	M	2	AUTO	verbatim	2. The AUTO ECO functionality is activated	keep	wording of 10.4 EH4 "will activate the AUTO ECO functionality"
208	NR1L-ComfortHMI-198	SWE1-HVAC-047	L	2	AUTO	label	2. Press the position at which the AUTO button is shown in an ATC configuration	2. Press the position at which the "AUTO" button is shown in an ATC configuration	names the AUTO button label although it is absent in this configuration
208	NR1L-ComfortHMI-198	SWE1-HVAC-047	M	1	AUTO	label	1. The climate screen is displayed and no AUTO button is shown	1. The climate screen is displayed and no "AUTO" button is shown	
208	NR1L-ComfortHMI-198	SWE1-HVAC-047	M	2	AUTO	verbatim	2. The AUTO ECO functionality is not activated	keep	negated wording of 10.4 EH4 "will activate the AUTO ECO functionality"
209	NR1L-ComfortHMI-199	SWE1-HVAC-048-01	L	1	AUTO	label	1. Press the AUTO button until the AUTO ECO mode is active	1. Press the "AUTO" button until the AUTO ECO mode is active	
209	NR1L-ComfortHMI-199	SWE1-HVAC-048-01	L	1	AUTO	state	1. Press the AUTO button until the AUTO ECO mode is active	keep	
209	NR1L-ComfortHMI-199	SWE1-HVAC-048-01	L	2	AUTO	label	2. Press the AUTO button once	2. Press the "AUTO" button once	
209	NR1L-ComfortHMI-199	SWE1-HVAC-048-01	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
209	NR1L-ComfortHMI-199	SWE1-HVAC-048-01	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
209	NR1L-ComfortHMI-199	SWE1-HVAC-048-01	M	2	AUTO	state	2. The AUTO state is AUTO ON	keep	
209	NR1L-ComfortHMI-199	SWE1-HVAC-048-01	M	2	AUTO	state	2. The AUTO state is AUTO ON	keep	
210	NR1L-ComfortHMI-200	SWE1-HVAC-048-02	L	1	AUTO	label	1. Press the AUTO button until the AUTO ON state is active	1. Press the "AUTO" button until the AUTO ON state is active	
210	NR1L-ComfortHMI-200	SWE1-HVAC-048-02	L	1	AUTO	state	1. Press the AUTO button until the AUTO ON state is active	keep	
210	NR1L-ComfortHMI-200	SWE1-HVAC-048-02	L	2	AUTO	label	2. Press the AUTO button once	2. Press the "AUTO" button once	
210	NR1L-ComfortHMI-200	SWE1-HVAC-048-02	M	1	AUTO	state	1. The AUTO state is AUTO ON	keep	
210	NR1L-ComfortHMI-200	SWE1-HVAC-048-02	M	1	AUTO	state	1. The AUTO state is AUTO ON	keep	
210	NR1L-ComfortHMI-200	SWE1-HVAC-048-02	M	2	AUTO	state	2. The AUTO state is AUTO ECO	keep	
210	NR1L-ComfortHMI-200	SWE1-HVAC-048-02	M	2	AUTO	state	2. The AUTO state is AUTO ECO	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	L	1	AUTO	label	1. Press the AUTO button until the AUTO ECO mode is active	1. Press the "AUTO" button until the AUTO ECO mode is active	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	L	1	AUTO	state	1. Press the AUTO button until the AUTO ECO mode is active	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	L	2	AUTO	label	2. Press the AUTO button repeatedly	2. Press the "AUTO" button repeatedly	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	L	4	AUTO	label	4. Press the AUTO button until the AUTO ECO mode is active	4. Press the "AUTO" button until the AUTO ECO mode is active	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	L	4	AUTO	state	4. Press the AUTO button until the AUTO ECO mode is active	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	2	AUTO	state	2. The AUTO state stays within AUTO ECO and AUTO ON and does not leave AUTO	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	2	AUTO	state	2. The AUTO state stays within AUTO ECO and AUTO ON and does not leave AUTO	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	2	AUTO	state	2. The AUTO state stays within AUTO ECO and AUTO ON and does not leave AUTO	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	2	AUTO	state	2. The AUTO state stays within AUTO ECO and AUTO ON and does not leave AUTO	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	3	AUTO	state	3. AUTO is broken	keep	spec wording 10.5 EH5 "AUTO mode will only be broken"; state in prose
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	4	AUTO	state	4. The AUTO state is AUTO ECO	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	4	AUTO	state	4. The AUTO state is AUTO ECO	keep	
211	NR1L-ComfortHMI-201	SWE1-HVAC-048-03	M	5	AUTO	state	5. AUTO is broken	keep	spec wording 10.5 EH5 "AUTO mode will only be broken"; state in prose
212	NR1L-ComfortHMI-202	SWE1-HVAC-049-01	L	2	AUTO	label	2. Press the AUTO button until the AUTO ECO mode is active	2. Press the "AUTO" button until the AUTO ECO mode is active	
212	NR1L-ComfortHMI-202	SWE1-HVAC-049-01	L	2	AUTO	state	2. Press the AUTO button until the AUTO ECO mode is active	keep	
213	NR1L-ComfortHMI-203	SWE1-HVAC-049-02	L	1	AUTO	label	1. Press the AUTO button until the AUTO ECO mode is active	1. Press the "AUTO" button until the AUTO ECO mode is active	
213	NR1L-ComfortHMI-203	SWE1-HVAC-049-02	L	1	AUTO	state	1. Press the AUTO button until the AUTO ECO mode is active	keep	
213	NR1L-ComfortHMI-203	SWE1-HVAC-049-02	M	1	AUTO	state	1. The AUTO ECO mode is active	keep	
213	NR1L-ComfortHMI-203	SWE1-HVAC-049-02	M	2	AUTO	state	2. The fan speed indication denotes that AUTO ECO is active	keep	
214	NR1L-ComfortHMI-204	SWE1-HVAC-050	L	1	AUTO	label	1. Press the AUTO button until the AUTO ECO mode is active	1. Press the "AUTO" button until the AUTO ECO mode is active	
214	NR1L-ComfortHMI-204	SWE1-HVAC-050	L	1	AUTO	state	1. Press the AUTO button until the AUTO ECO mode is active	keep	
214	NR1L-ComfortHMI-204	SWE1-HVAC-050	L	3	AUTO	state	3. Read the AUTO state on the climate screen	keep	ambiguous: the word names the function whose state is read, not a control; kept as state for consistency with "The AUTO state is AUTO ECO". Conflicts with already-quoted precedent row 433 L2 `Press "MAX A/C" and read the "RECIRC" state and its LED` - one of the two conventions must win
214	NR1L-ComfortHMI-204	SWE1-HVAC-050	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
214	NR1L-ComfortHMI-204	SWE1-HVAC-050	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
214	NR1L-ComfortHMI-204	SWE1-HVAC-050	M	3	AUTO	state	3. The AUTO state is AUTO ECO	keep	
214	NR1L-ComfortHMI-204	SWE1-HVAC-050	M	3	AUTO	state	3. The AUTO state is AUTO ECO	keep	
215	NR1L-ComfortHMI-205	SWE1-HVAC-051	L	1	AUTO	label	1. Press the AUTO button until the AUTO ECO mode is active, then read the Comfort main Menu Bar icon	1. Press the "AUTO" button until the AUTO ECO mode is active, then read the Comfort main Menu Bar icon	
215	NR1L-ComfortHMI-205	SWE1-HVAC-051	L	1	AUTO	state	1. Press the AUTO button until the AUTO ECO mode is active, then read the Comfort main Menu Bar icon	keep	
215	NR1L-ComfortHMI-205	SWE1-HVAC-051	L	2	AUTO	label	2. Press the AUTO button once, then read the Comfort main Menu Bar icon	2. Press the "AUTO" button once, then read the Comfort main Menu Bar icon	
215	NR1L-ComfortHMI-205	SWE1-HVAC-051	M	1	AUTO	state	1. The Comfort main Menu Bar icon reflects the AUTO ECO state	keep	phrase derived from 10.8 EH8 / 10.9 EH9 "shall reflect the AUTO ECO and AUTO states"; AUTO ECO / AUTO ON are 10.2 state names
215	NR1L-ComfortHMI-205	SWE1-HVAC-051	M	2	AUTO	state	2. The Comfort main Menu Bar icon reflects the AUTO ON state	keep	phrase derived from 10.8 EH8 / 10.9 EH9 "shall reflect the AUTO ECO and AUTO states"; AUTO ECO / AUTO ON are 10.2 state names
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	L	1	AUTO	label	1. Press the AUTO button until the AUTO ECO mode is active	1. Press the "AUTO" button until the AUTO ECO mode is active	
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	L	1	AUTO	state	1. Press the AUTO button until the AUTO ECO mode is active	keep	
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	L	3	AUTO	label	3. Press the AUTO button until the AUTO ON state is active	3. Press the "AUTO" button until the AUTO ON state is active	
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	L	3	AUTO	state	3. Press the AUTO button until the AUTO ON state is active	keep	
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	M	2	AUTO	state	2. The comfort pop up reflects the AUTO ECO state	keep	phrase derived from 10.8 EH8 / 10.9 EH9 "shall reflect the AUTO ECO and AUTO states"; AUTO ECO / AUTO ON are 10.2 state names
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	M	3	AUTO	state	3. The AUTO state is AUTO ON	keep	
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	M	3	AUTO	state	3. The AUTO state is AUTO ON	keep	
216	NR1L-ComfortHMI-206	SWE1-HVAC-052	M	4	AUTO	state	4. The comfort pop up reflects the AUTO ON state	keep	phrase derived from 10.8 EH8 / 10.9 EH9 "shall reflect the AUTO ECO and AUTO states"; AUTO ECO / AUTO ON are 10.2 state names
217	NR1L-ComfortHMI-207	SWE1-HVAC-053-01	L	1	AUTO	label	1. Press the AUTO button until AUTO is off	1. Press the "AUTO" button until AUTO is off	
217	NR1L-ComfortHMI-207	SWE1-HVAC-053-01	L	1	AUTO	state	1. Press the AUTO button until AUTO is off	keep	
217	NR1L-ComfortHMI-207	SWE1-HVAC-053-01	L	2	AUTO	label	2. Press the AUTO button once and read the AUTO pop up	2. Press the "AUTO" button once and read the AUTO pop up	
217	NR1L-ComfortHMI-207	SWE1-HVAC-053-01	L	2	AUTO	verbatim	2. Press the AUTO button once and read the AUTO pop up	keep	ambiguous: spec term "AUTO pop up(s)" (10.9.1 EH9.1 / ICE AUTO pop up) names the pop-up type, not a label the tester reads; keep. If treated as label -> `"AUTO" pop up`
217	NR1L-ComfortHMI-207	SWE1-HVAC-053-01	M	1	AUTO	state	1. The AUTO state is AUTO OFF	keep	
217	NR1L-ComfortHMI-207	SWE1-HVAC-053-01	M	1	AUTO	state	1. The AUTO state is AUTO OFF	keep	
217	NR1L-ComfortHMI-207	SWE1-HVAC-053-01	M	2	AUTO	verbatim	2. The AUTO pop up reads "Press again to improve climate performance"	keep	ambiguous: spec term "AUTO pop up(s)" (10.9.1 EH9.1 / ICE AUTO pop up) names the pop-up type, not a label the tester reads; keep. If treated as label -> `"AUTO" pop up`
218	NR1L-ComfortHMI-208	SWE1-HVAC-053-02	L	1	AUTO	label	1. Press the AUTO button until the AUTO ECO mode is active	1. Press the "AUTO" button until the AUTO ECO mode is active	
218	NR1L-ComfortHMI-208	SWE1-HVAC-053-02	L	1	AUTO	state	1. Press the AUTO button until the AUTO ECO mode is active	keep	
218	NR1L-ComfortHMI-208	SWE1-HVAC-053-02	L	2	AUTO	label	2. Press the AUTO button once and read the AUTO pop up	2. Press the "AUTO" button once and read the AUTO pop up	
218	NR1L-ComfortHMI-208	SWE1-HVAC-053-02	L	2	AUTO	verbatim	2. Press the AUTO button once and read the AUTO pop up	keep	ambiguous: spec term "AUTO pop up(s)" (10.9.1 EH9.1 / ICE AUTO pop up) names the pop-up type, not a label the tester reads; keep. If treated as label -> `"AUTO" pop up`
218	NR1L-ComfortHMI-208	SWE1-HVAC-053-02	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
218	NR1L-ComfortHMI-208	SWE1-HVAC-053-02	M	1	AUTO	state	1. The AUTO state is AUTO ECO	keep	
218	NR1L-ComfortHMI-208	SWE1-HVAC-053-02	M	2	AUTO	verbatim	2. The AUTO pop up reads "Press again for lower battery consumption"	keep	ambiguous: spec term "AUTO pop up(s)" (10.9.1 EH9.1 / ICE AUTO pop up) names the pop-up type, not a label the tester reads; keep. If treated as label -> `"AUTO" pop up`
329	NR1L-ComfortHMI-319	SWE1-HVAC-104-05	L	1	AUTO	label	1. Turn AUTO on using the AUTO hard control	1. Turn "AUTO" on using the "AUTO" hard control	second hit is the hard-key label; §11 form could also be `H/K "AUTO"`
329	NR1L-ComfortHMI-319	SWE1-HVAC-104-05	L	1	AUTO	label	1. Turn AUTO on using the AUTO hard control	1. Turn "AUTO" on using the "AUTO" hard control	second hit is the hard-key label; §11 form could also be `H/K "AUTO"`
329	NR1L-ComfortHMI-319	SWE1-HVAC-104-05	L	2	AUTO	verbatim	2. Read the screen for an AUTO pop-up	keep	ambiguous: spec term "AUTO pop up(s)" (10.9.1 EH9.1 / ICE AUTO pop up) names the pop-up type, not a label the tester reads; keep. If treated as label -> `"AUTO" pop up`
329	NR1L-ComfortHMI-319	SWE1-HVAC-104-05	M	2	AUTO	verbatim	2. No AUTO pop-up is shown	keep	ambiguous: spec term "AUTO pop up(s)" (10.9.1 EH9.1 / ICE AUTO pop up) names the pop-up type, not a label the tester reads; keep. If treated as label -> `"AUTO" pop up`
340	NR1L-ComfortHMI-330	SWE1-HVAC-106-04	L	1	SYNC	label	1. Turn SYNC on from the climate screen	1. Turn "SYNC" on from the climate screen	
346	NR1L-ComfortHMI-336	SWE1-HVAC-107-01	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
347	NR1L-ComfortHMI-337	SWE1-HVAC-107-02	L	2	AUTO	label	2. Turn AUTO on and read the Mode buttons	2. Turn "AUTO" on and read the Mode buttons	
348	NR1L-ComfortHMI-338	SWE1-HVAC-107-03	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
349	NR1L-ComfortHMI-339	SWE1-HVAC-107-04	L	1	AUTO	state	1. Set a fan speed and an airflow mode from the climate screen with AUTO off	keep	
349	NR1L-ComfortHMI-339	SWE1-HVAC-107-04	L	2	AUTO	label	2. Turn AUTO on and read the fan speed and the airflow mode	2. Turn "AUTO" on and read the fan speed and the airflow mode	
350	NR1L-ComfortHMI-340	SWE1-HVAC-107-05	L	2	AUTO	label	2. Turn AUTO on and read the "MAX A/C" and "MAX DEF" buttons	2. Turn "AUTO" on and read the "MAX A/C" and "MAX DEF" buttons	
351	NR1L-ComfortHMI-341	SWE1-HVAC-107-06	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
352	NR1L-ComfortHMI-342	SWE1-HVAC-107-06	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
353	NR1L-ComfortHMI-343	SWE1-HVAC-107-07	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
354	NR1L-ComfortHMI-344	SWE1-HVAC-107-07	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
355	NR1L-ComfortHMI-345	SWE1-HVAC-107-08	L	1	AUTO	label	1. Turn AUTO on from the climate screen and read the "A/C" button	1. Turn "AUTO" on from the climate screen and read the "A/C" button	
366	NR1L-ComfortHMI-356	SWE1-HVAC-110-06	L	1	SYNC	label	1. Turn SYNC on from the climate screen	1. Turn "SYNC" on from the climate screen	
367	NR1L-ComfortHMI-357	SWE1-HVAC-111-01	L	1	SYNC	label	1. Turn SYNC on from the climate screen	1. Turn "SYNC" on from the climate screen	
368	NR1L-ComfortHMI-358	SWE1-HVAC-111-02	L	1	SYNC	label	1. Turn SYNC on from the climate screen	1. Turn "SYNC" on from the climate screen	
375	NR1L-ComfortHMI-365	SWE1-HVAC-112-01	L	2	AUTO	label	2. Turn AUTO on	2. Turn "AUTO" on	
