# CAM-28 §4　RD 驗證標準（VC）／驗證方法（VM）↔ A 本 TC 對帳（只對帳不生成；R-CAM13(d)：VC／VM 欄非來源）
# 母體：既有本 CFTS092 37／V2 103／V3 41 列之 VC 非空列（dependency 本逐列同）。state：COVERED／PARTIAL／RD-ONLY（有 TC 者）；NO-TC（037 有引而無 TC 錨）；NOT-CITED（037 未引）
# missing_points 以 ` || ` 分隔，逐字摘自 RD VC；`[not in source]` ＝該點不見於來源 Description
book	sys_ra_id	anchor	tc_ids	state	missing_points	method_gap	plan_note
V2	SYS-RA-VF551_V2-747	VF551_V2_PDT27_VF_614	NR1L-RVC-158	PARTIAL	When Hybrid_Type is set to a non-EV value (e.g., ICE) (Hybrid_Type not configured in TC) || every update of TRANSM_FD_4.ShiftLeverPosition (single value R only) || [not in source] within 50ms	Step 5 (Negative): Change variant to BEV and verify that TRANSM_FD_4 data is NOT gated to the LVDS.	—
V2	SYS-RA-VF551_V2-748	VF551_V2_PDT27_VF_1713	NR1L-RVC-159	PARTIAL	For ICE or HEV variants (Hybrid_Type not configured in TC) || [not in source] not received within its specified timeout window	Verify that the UI or downstream module reacts appropriately to the SNA status.	—
V2	SYS-RA-VF551_V2-749	VF551_V2_PDT27_VF_1824	—	NO-TC	—	—	**不生成** —— hybrid 分支（A-CA15）
V2	SYS-RA-VF551_V2-750	VF551_V2_PDT27_VF_1825	—	NO-TC	—	—	**不生成** —— 同上
V2	SYS-RA-VF551_V2-751	VF551_V2_PDT27_VF_629	NR1L-RVC-075	COVERED	—	—	—
V3	SYS-RA-VF551_V3-205	VF551_V3_P363_VF_527	NR1L-RVC-071	RD-ONLY	—	Use a multi-channel oscilloscope to probe the CAN bus (High/Low) and the RVCM physical power line. Measure the time delta between the CAN trigger and the voltage rise.	—
V3	SYS-RA-VF551_V3-206	VF551_V3_P363_VF_549	NR1L-RVC-072	PARTIAL	[not in source] Verify Power_Down = True is sent via LVDS within the defined latency after IGN_LK || Confirm the RVCM power line remains energized for the full Tpower period after ignition is locked	Oscilloscope Measurement: Measure the time from the IGN_LK CAN frame to the physical power drop-off on the LVDS line. || Mode Switching: Test during different internal Radio states (e.g., Active, Standby)	—
V3	SYS-RA-VF551_V3-207	VF551_V3_P363_VF_548	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-208	VF551_V3_P363_VF_531	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-209	VF551_V3_P363_VF_532	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-210	VF551_V3_P363_VF_533	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-212	VF551_V3_P363_VF_935	—	NO-TC	—	—	covered_by: V2-536 之 TC
V3	SYS-RA-VF551_V3-213	VF551_V3_P363_VF_526	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-214	VF551_V3_P363_VF_509	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-249	VF551_V3_P363_VF_1212	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-250	VF551_V3_P363_VF_534	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-251	VF551_V3_P363_VF_507	NR1L-RVC-054;NR1L-RVC-055	PARTIAL	The message must disappear exactly after 5 seconds if the view remains active || Font size must exceed 18 arc minutes based on the defined design viewing distance, complying with ISO 15008	Use a high-speed camera or screen recording to verify the 5-second display duration. || Use design tools to confirm the text coordinates and font size against the HMI definition.	—
V3	SYS-RA-VF551_V3-252	VF551_V3_P363_VF_505	NR1L-RVC-050	PARTIAL	Verify "Camera Not in Position" appears first for 5s || [not in source] The message must appear if and only if the Hatch status is Open during camera activation || using ISO 15008 font, with a visual size > 18 arc minutes	Visual Angle Audit: Use screen resolution, pixel pitch, and design viewing distance to calculate and confirm the 18 arc minute requirement.	—
V3	SYS-RA-VF551_V3-253	VF551_V3_P363_VF_523	NR1L-RVC-234	PARTIAL	[not in source] The displayed warning text must change its language within a defined latency after the LanguageSelection signal value is updated || Every language option available in the IPC must have a corresponding, accurate translation for all camera warning strings || [not in source] Localized characters (e.g., Chinese, Arabic, Cyrillic) must be rendered correctly according to ISO 15008 without corruption	Cycle through all supported languages via CANoe/Simulator and take screenshots of the camera warnings to verify translation accuracy.	—
V3	SYS-RA-VF551_V3-254	VF551_V3_P363_VF_522	NR1L-RVC-092	PARTIAL	The final displayed image must maintain the aspect ratio defined in the PDO (e.g., 16:10) without unintended stretching or squeezing	—	—
V3	SYS-RA-VF551_V3-255	VF551_V3_P363_VF_520	NR1L-RVC-224	PARTIAL	[not in source] No black frames (0V or black pixels) shall be detected during at least 100 consecutive transition cycles || [not in source] The luminance and frame-to-frame consistency must remain stable without observable brightness fluctuations or frame repetition	Capture transitions at 120fps or higher and perform frame-by-frame analysis || Use a photodiode or light meter to measure screen luminance during transitions	—
V3	SYS-RA-VF551_V3-257	VF551_V3_P363_VF_563	NR1L-RVC-083;NR1L-RVC-084	PARTIAL	[not in source] The value [DISP_DIGITAL_RVC_CAMERA] must appear on the CAN bus within a specified latency after the RVC image is rendered on screen || [not in source] The value [DISP_NON_CAMERA] must be transmitted immediately when the camera view is dismissed	Measure the time difference between the first RVC frame on the display and the corresponding CAN message transmission.	—
V3	SYS-RA-VF551_V3-258	VF551_V3_P363_VF_1455	NR1L-RVC-089;NR1L-RVC-090	PARTIAL	Rear_Camera_Enable.Info must be TRUE only when the RVC video frames are being rendered; it must be FALSE in all other HMI states || [not in source] The signal transition must occur within a specific millisecond window (e.g., < 100ms) of the actual display change	Use ADB to monitor the internal system property or signal bus (e.g., D-Bus or Android System Property) while launching and closing the RVC.	—
V3	SYS-RA-VF551_V3-260	VF551_V3_P363_VF_92	NR1L-RVC-004	PARTIAL	The system must NOT trigger the RVC display if the gear remains in REVERSE for a time shorter than Reverse_Deb	Measure the time from the CAN message to the first frame on the screen using a high-speed camera.	—
V3	SYS-RA-VF551_V3-261	VF551_V3_P363_VF_1099	NR1L-RVC-016	PARTIAL	The image must exit immediately if: 1) Ign != RUN, 2) Speed >= c_VEHSPD_MAX, 3) Gear = Park, or 4) User presses the [X] button || [not in source] If Backup_Cam_Delay = OFF, the RVC must exit immediately upon shifting out of Reverse (no delay)	—	—
V3	SYS-RA-VF551_V3-262	VF551_V3_P363_VF_1098	NR1L-RVC-014	PARTIAL	[not in source] If Backup_Cam_Delay = ON, the RVC must remain visible for exactly Ttimer1 after shifting from Reverse to Drive/Neutral || [not in source] The image must exit immediately if: 1) Ign != RUN, 2) Speed >= c_VEHSPD_MAX, 3) Gear = Park, or 4) User presses the [X] button	—	—
V3	SYS-RA-VF551_V3-264	VF551_V3_P363_VF_487	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-265	VF551_V3_P363_VF_1100	NR1L-RVC-026	PARTIAL	RVC must exit immediately if Ign != RUN, Gear = PARK, or the user presses [X] || If Speed >= c_VEHSPD_MAX, the view must remain for Ttimer2 seconds before closing || If Speed drops below c_VEHSPD_MAX before Ttimer2 expires, the timer must reset to zero and the view must remain active	—	—
V3	SYS-RA-VF551_V3-266	VF551_V3_P363_VF_484	NR1L-RVC-012	PARTIAL	The RVC image must NOT flicker, blank, or restart when the gear shifts to Reverse while a manual RVC session is already active	Use a high-speed camera to verify zero dropped frames during the mode switch.	—
V3	SYS-RA-VF551_V3-268	VF551_V3_P363_VF_750	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-269	VF551_V3_P363_VF_594	—	NO-TC	—	—	無 plan 紀錄
V3	SYS-RA-VF551_V3-270	VF551_V3_P363_VF_595	—	NO-TC	—	—	covered_by: V2-484 之 TC
V3	SYS-RA-VF551_V3-271	VF551_V3_P363_VF_596	—	NO-TC	—	—	covered_by: V2-483 之 TC —— 逐字同句（Atl-Mi 本）
V3	SYS-RA-VF551_V3-280	VF551_V3_P363_VF_616	NR1L-RVC-167;NR1L-RVC-168	PARTIAL	[not in source] When the BH-CAN vehicle speed signal becomes available again, the Head Unit shall resume transmitting the valid vehicle speed value over LVDS	—	—
V3	SYS-RA-VF551_V3-281	VF551_V3_P363_VF_615	NR1L-RVC-169;NR1L-RVC-170	PARTIAL	[not in source] When VehicleSpeedVSOSig is available again, the Head Unit shall: Resume gating BH-CAN STATUS_CCAN5.LWSAngle to LVDS STATUS_CCAN5.LWSAngle with valid values. Clear the SNA state without requiring a system reset.	—	—
V3	SYS-RA-VF551_V3-282	VF551_V3_P363_VF_614	NR1L-RVC-171;NR1L-RVC-172	PARTIAL	[not in source] When the BH-CAN ShiftLeverPosition signal becomes available again, the Head Unit shall resume transmitting the valid ShiftLeverPosition value on LVDS	—	—
V3	SYS-RA-VF551_V3-283	VF551_V3_P363_VF_613	NR1L-RVC-173;NR1L-RVC-174	PARTIAL	[not in source] The SNA status shall be transmitted within the specified LVDS update cycle after the CAN signal is detected as missing || No valid or stale ReverseGearSts value shall be propagated over LVDS while the CAN signal is in a missing state	—	—
V3	SYS-RA-VF551_V3-284	VF551_V3_P363_VF_1046	NR1L-RVC-124;NR1L-RVC-125;NR1L-RVC-126;NR1L-RVC-127	COVERED	—	—	—
V3	SYS-RA-VF551_V3-285	VF551_V3_P363_VF_624	NR1L-RVC-165;NR1L-RVC-166	PARTIAL	[not in source] The mapping ... shall be deterministic and consistent across power cycles || [not in source] No unintended or undefined VC_Steering_Cfactor values shall be transmitted when the PROXI configuration is valid	—	—
V3	SYS-RA-VF551_V3-286	VF551_V3_P363_VF_1102	NR1L-RVC-139;NR1L-RVC-140	COVERED	—	—	—
V3	SYS-RA-VF551_V3-287	VF551_V3_P363_VF_629	NR1L-RVC-076;NR1L-RVC-077	COVERED	—	—	—
V3	SYS-RA-VF551_V3-288	VF551_V3_P363_VF_1134	NR1L-RVC-141;NR1L-RVC-142	COVERED	—	—	—
V3	SYS-RA-VF551_V3-527	VF551_V3_P363_VF_123	NR1L-RVC-186	COVERED	—	—	—
V3	SYS-RA-VF551_V3-529	VF551_V3_P363_VF_926	NR1L-RVC-187	COVERED	—	—	—
V3	SYS-RA-VF551_V3-531	VF551_V3_P363_VF_927	NR1L-RVC-188	COVERED	—	—	—
V3	SYS-RA-VF551_V3-533	VF551_V3_P363_VF_931	NR1L-RVC-199	PARTIAL	When the LVDS video signal is restored under Ignition ON working conditions, the Head Unit shall: Clear the corresponding DTC. Automatically recover and resume all related camera functionalities to normal operation.	—	—
