row	tc_id_master	D_master	D_delivered	tier	similarity
287	NR1L-SWUpdate-278	SWE1-FOTA-342	SWE1-FOTA-340	exact	1.0
288	NR1L-SWUpdate-279	SWE1-FOTA-343	SWE1-FOTA-341	exact	1.0
289	NR1L-SWUpdate-280	SWE1-FOTA-344	SWE1-FOTA-343	sim<0.6	0.399
290	NR1L-SWUpdate-281	SWE1-FOTA-345	SWE1-FOTA-344	sim<0.6	0.314
291	NR1L-SWUpdate-282	SWE1-FOTA-346	SWE1-FOTA-345	sim>=0.6	0.736
292	NR1L-SWUpdate-283	SWE1-FOTA-347	SWE1-FOTA-346	exact	1.0
293	NR1L-SWUpdate-284	SWE1-FOTA-348	SWE1-FOTA-347	exact	1.0
294	NR1L-SWUpdate-285	SWE1-FOTA-349	SWE1-FOTA-348	exact	1.0
295	NR1L-SWUpdate-286	SWE1-FOTA-350	SWE1-FOTA-349	exact	1.0
296	NR1L-SWUpdate-287	SWE1-FOTA-351	SWE1-FOTA-350	sim<0.6	0.463
297	NR1L-SWUpdate-288	SWE1-FOTA-352	SWE1-FOTA-351	exact	1.0
298	NR1L-SWUpdate-289	SWE1-FOTA-353	SWE1-FOTA-352	sim>=0.6	0.815
299	NR1L-SWUpdate-290	SWE1-FOTA-354	SWE1-FOTA-353	sim<0.6	0.58
300	NR1L-SWUpdate-291	SWE1-FOTA-355	SWE1-FOTA-354	sim>=0.6	0.736
301	NR1L-SWUpdate-292	SWE1-FOTA-356	SWE1-FOTA-355	exact	1.0
302	NR1L-SWUpdate-293	SWE1-FOTA-357	SWE1-FOTA-356	sim>=0.6	0.677
303	NR1L-SWUpdate-294	SWE1-FOTA-358	SWE1-FOTA-357	sim>=0.6	0.774
304	NR1L-SWUpdate-295	SWE1-FOTA-359	SWE1-FOTA-358	sim>=0.6	0.734
305	NR1L-SWUpdate-296	SWE1-FOTA-360	SWE1-FOTA-359	exact	1.0
306	NR1L-SWUpdate-297	SWE1-FOTA-361	SWE1-FOTA-360	exact	1.0
307	NR1L-SWUpdate-298	SWE1-FOTA-362	SWE1-FOTA-361	exact	1.0
308	NR1L-SWUpdate-299	SWE1-FOTA-363	SWE1-FOTA-363	exact	1.0
309	NR1L-SWUpdate-300	SWE1-FOTA-364	SWE1-FOTA-364	exact	1.0
310	NR1L-SWUpdate-301	SWE1-FOTA-365	SWE1-FOTA-365	exact	1.0
311	NR1L-SWUpdate-302	SWE1-FOTA-366	SWE1-FOTA-366	sim>=0.6	0.653
312	NR1L-SWUpdate-303	SWE1-FOTA-367	SWE1-FOTA-367	sim<0.6	0.599
313	NR1L-SWUpdate-304	SWE1-FOTA-368	SWE1-FOTA-368	sim>=0.6	0.626
314	NR1L-SWUpdate-305	SWE1-FOTA-369	SWE1-FOTA-369	sim>=0.6	0.706
315	NR1L-SWUpdate-306	SWE1-FOTA-370	SWE1-FOTA-370	sim>=0.6	0.618
316	NR1L-SWUpdate-307	SWE1-FOTA-371	SWE1-FOTA-371	sim<0.6	0.194
317	NR1L-SWUpdate-308	SWE1-FOTA-372	SWE1-FOTA-372	sim<0.6	0.246
318	NR1L-SWUpdate-309	SWE1-FOTA-373	SWE1-FOTA-373	sim<0.6	0.544
319	NR1L-SWUpdate-310	SWE1-FOTA-374	SWE1-FOTA-374	sim>=0.6	0.993
320	NR1L-SWUpdate-311	SWE1-FOTA-375	SWE1-FOTA-375	exact	1.0
321	NR1L-SWUpdate-312	SWE1-FOTA-376	SWE1-FOTA-376	sim>=0.6	0.992
322	NR1L-SWUpdate-313	SWE1-FOTA-377	SWE1-FOTA-377	sim>=0.6	0.996
323	NR1L-SWUpdate-314	SWE1-FOTA-378	SWE1-FOTA-378	exact	1.0
324	NR1L-SWUpdate-315	SWE1-FOTA-379	SWE1-FOTA-379	sim<0.6	0.465
325	NR1L-SWUpdate-316	SWE1-FOTA-380	SWE1-FOTA-380	sim>=0.6	0.649
326	NR1L-SWUpdate-317	SWE1-FOTA-381	SWE1-FOTA-381	sim>=0.6	0.995
327	NR1L-SWUpdate-318	SWE1-FOTA-382	SWE1-FOTA-382	sim>=0.6	0.734
328	NR1L-SWUpdate-319	SWE1-FOTA-383	SWE1-FOTA-383	sim>=0.6	0.649
