規格原名	類別	排除(A-VT21)	抽名來源	段2主值(Atlantis)	Atlantis CAN	段1命中處	段3(P363)	結果	備註
PhoneRepetition.Info	內部		段落	IPC_VEHICLE_SETUP.PhoneRepetition			P363:IPC_VEHICLE_SETUP	解得	段 3（P363）直查同名 SG_ `PhoneRepetition` → BO_ IPC_VEHICLE_SETUP；VAL_ 有。⚠ 本列**未經段 1／段 2 之 LID 解析**（LID 不收 `X.Info` 形），係以 DBC 實名直查；R-P368(a) 之三段鏈僅段 3 過，判準待裁
PrivacyMode.Info	內部		段落	SERVICE_SETUP.PrivacyMode			P363:SERVICE_SETUP	解得	段 3（P363）直查同名 SG_ `PrivacyMode` → BO_ SERVICE_SETUP；VAL_ 有。⚠ 本列**未經段 1／段 2 之 LID 解析**（LID 不收 `X.Info` 形），係以 DBC 實名直查；R-P368(a) 之三段鏈僅段 3 過，判準待裁
RVC_Delay.Req	內部		段落;表格					未解得(止於段1)	
RVC_Dynamic_Gridlines.Req	內部		段落;表格					未解得(止於段1)	
Rain_Sensor	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r276：`Rain_Sensor`
Rain_Sensor_Level_Setting.Req	內部		段落;表格					未解得(止於段1)	
Rain_Sensor_Sensibility_Setting.Req	內部		段落;表格					未解得(止於段1)	
Rear_View_Camera	PROXI		段落		Atl  Atl High PROXI	LID/Proxi & Configuration/r170		PROXI路徑(R-P375b/c)	PROXI `Format` r401：`Rear_View_Camera`
Remote_Door_Unlock _Menu	PROXI		段落					PROXI路徑(R-P375b/c)	PROXI `Format` r576：`Remote_Door_Unlock_Menu`
Remote_Door_Unlock_Menu	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r576：`Remote_Door_Unlock_Menu`
Remote_Door_Unlock_Setting.Req	內部		段落					未解得(止於段1)	
Resolution	PROXI		表格					未解得(止於段1)	【A-VT23】抽名偽陽性（v2／v3 catch-all 之誤），排除旗標待裁
RestoreApp.Info	內部		段落	SERVICE_SETUP.RestoreApp			P363:SERVICE_SETUP	解得	段 3（P363）直查同名 SG_ `RestoreApp` → BO_ SERVICE_SETUP；VAL_ 有。⚠ 本列**未經段 1／段 2 之 LID 解析**（LID 不收 `X.Info` 形），係以 DBC 實名直查；R-P368(a) 之三段鏈僅段 3 過，判準待裁
RestoreApp_Enable.Req	內部		段落					未解得(止於段1)	
RestoreDefaultSetting.Info	內部		段落	SERVICE_SETUP.RestoreDefaultSetting			P363:SERVICE_SETUP	解得	段 3（P363）直查同名 SG_ `RestoreDefaultSetting` → BO_ SERVICE_SETUP；VAL_ 有。⚠ 本列**未經段 1／段 2 之 LID 解析**（LID 不收 `X.Info` 形），係以 DBC 實名直查；R-P368(a) 之三段鏈僅段 3 過，判準待裁
RestoreDefaultSetting_Enable.Req	內部		段落					未解得(止於段1)	
SERVICE_SETUP.ClearPersonalData	CAN		段落	SERVICE_SETUP.ClearPersonalData		LID/CAN Mapping/r381	P363:SERVICE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`SERVICE_SETUP.ClearPersonalData`（LID/CAN Mapping/r381，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `SERVICE_SETUP` / SG_ `ClearPersonalData`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TBM_SCHEDULE_FD_2
SERVICE_SETUP.PrivacyMode	CAN		段落	SERVICE_SETUP.PrivacyMode	CAN-B	LID/CAN Mapping/r1398	P363:SERVICE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`SERVICE_SETUP.PrivacyMode`（LID/CAN Mapping/r1398，CAN=CAN-B）；段 3（P363 ATL-Mi DBC）BO_ `SERVICE_SETUP` / SG_ `PrivacyMode`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TBM_SCHEDULE_FD_2
SERVICE_SETUP.RestoreApp	CAN		段落	SERVICE_SETUP.RestoreApp		LID/CAN Mapping/r382	P363:SERVICE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`SERVICE_SETUP.RestoreApp`（LID/CAN Mapping/r382，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `SERVICE_SETUP` / SG_ `RestoreApp`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TBM_SCHEDULE_FD_2
SERVICE_SETUP.RestoreDefaulSetting	CAN		段落					未解得（CAN-C DBC 未到件）	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：P363 BH-CAN 查無 SG_ `RestoreDefaulSetting`；依 R-VT15(c) 記待 CAN-C DBC
SERVICE_SETUP.RestoreDefaultSetting	CAN		段落	SERVICE_SETUP.RestoreDefaultSetting		LID/CAN Mapping/r383	P363:SERVICE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`SERVICE_SETUP.RestoreDefaultSetting`（LID/CAN Mapping/r383，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `SERVICE_SETUP` / SG_ `RestoreDefaultSetting`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TBM_SCHEDULE_FD_2
SERVICE_SETUP.TelematicSetupACK	CAN		段落;表格				P363:IPC_VEHICLE_SETUP	訊息名不符(R-13)	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：SG_ `TelematicSetupACK` 存在，但其 BO_ 為 IPC_VEHICLE_SETUP，與規格訊息 `SERVICE_SETUP` 不符；R-13 保留規格原名，入重寫後之 DR-VT3（暫持不送）；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
SERVICE_SETUP.TelematicSetupAck	CAN		段落				P363:SERVICE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `SERVICE_SETUP` / SG_ `TelematicSetupAck`；VAL_ 有
STATUS_CCAN3.VehicleSpeedVSOSig	CAN		段落	STATUS_CCAN3.VehicleSpeedVSOSig		LID/CAN Mapping/r1736	P363:STATUS_CCAN3	解得	LTM 觀察弧（R-VT13(c)）；段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`STATUS_CCAN3.VehicleSpeedVSOSig`（LID/CAN Mapping/r1736，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `STATUS_CCAN3` / SG_ `VehicleSpeedVSOSig`；VAL_ 有；R1 DBC（Atlantis High）旁證：BHCAN2:STATUS_CCAN3;FDCAN8:BRAKE_FD_2
STATUS_CCAN3.VehicleSpeedVSOSigFailSts	CAN		段落	STATUS_CCAN3.VehicleSpeedVSOSigFailSts		LID/CAN Mapping/r1736	P363:STATUS_CCAN3	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`STATUS_CCAN3.VehicleSpeedVSOSigFailSts`（LID/CAN Mapping/r1736，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `STATUS_CCAN3` / SG_ `VehicleSpeedVSOSigFailSts`；VAL_ 有
Sdw_Chime_Volume_Setting.Req	內部		段落					未解得(止於段1)	
Sdw_Setting.Req	內部		段落					未解得(止於段1)	
Server_App.GUI	內部		段落					未解得(止於段1)	
Side_Distance_Warning	PROXI		段落;表格		PROXI	LID/Proxi & Configuration/r173		UI+PROXI 雙路徑	"UI：""Side Distance Warning""（HMI Settings r315B，Technical Reference=VF230/665）／PROXI：`Side_Distance_Warning`（Format r406）；Procedure 用 UI、Pre-Condition 用 PROXI（R-P375(b)）"
Sound_Horn_Lock_Unlock_Setting.Req	內部		段落					未解得(止於段1)	
Sound_Horn_Remote_Start _Menu	PROXI		段落					PROXI路徑(R-P375b/c)	PROXI `Format` r577：`Sound_Horn_Remote_Start_Menu`
Sound_Horn_Remote_Start_Menu	PROXI		表格					PROXI路徑(R-P375b/c)	PROXI `Format` r577：`Sound_Horn_Remote_Start_Menu`
Speed_Lock_Door_Enable.Req	內部		段落					未解得(止於段1)	
TBM	PROXI		表格					未解得(止於段1)	【A-VT23】抽名偽陽性（v2／v3 catch-all 之誤），排除旗標待裁
TBM_CmdIgnSts.Info	內部		段落					未解得(止於段1)	
TBM_OperationalModeSts.Info	內部		段落					未解得(止於段1)	
TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq	CAN		段落	TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq		LID/CAN Mapping/r342	P363:TELEMATIC_SERVICE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq`（LID/CAN Mapping/r342，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_SERVICE_SETUP` / SG_ `ClearPersonalDataReq`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_SERVICE_SETUP.PrivacyModeReq	CAN		段落				P363:TELEMATIC_SERVICE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_SERVICE_SETUP` / SG_ `PrivacyModeReq`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_SERVICE_SETUP.RestoreAppReq	CAN		段落				P363:TELEMATIC_SERVICE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_SERVICE_SETUP` / SG_ `RestoreAppReq`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_SERVICE_SETUP.RestoreDefaultSettimgReq	CAN		段落					未解得（CAN-C DBC 未到件）	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：P363 BH-CAN 查無 SG_ `RestoreDefaultSettimgReq`；依 R-VT15(c) 記待 CAN-C DBC
TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq	CAN		段落	TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq		LID/CAN Mapping/r1583	P363:TELEMATIC_SERVICE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq`（LID/CAN Mapping/r1583，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_SERVICE_SETUP` / SG_ `RestoreDefaultSettingReq`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.AmbientLightingLevel_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `AmbientLightingLevel_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `AutoHighBeamEnable_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req	CAN		段落;表格				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `AutoParkBrake_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.BSDEnable_Req	CAN		段落;表格					未解得（CAN-C DBC 未到件）	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：P363 BH-CAN 查無 SG_ `BSDEnable_Req`；依 R-VT15(c) 記待 CAN-C DBC；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.ConsumptionUnit_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `ConsumptionUnit_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `CorneringEnable_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.DRLEnable_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `DRLEnable_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `DistanceUnit_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP.DynamicGrid_Req	CAN		段落;表格				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `DynamicGrid_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.ExternalLightSensorLevel_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `ExternalLightSensorLevel_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP.GreetingLightsEnable_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `GreetingLightsEnable_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.HourMode_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `HourMode_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req	CAN		段落	TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req		LID/CAN Mapping/r1112	P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 2 主值（Atlantis 欄）`TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req`（LID/CAN Mapping/r1112，CAN=未載）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `LanguageSelection_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `PamAlertMode_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `PamChimeVolumeFront_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `PamChimeVolumeRear_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `PassiveEntry_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req	CAN		段落;表格					未解得（CAN-C DBC 未到件）	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：P363 BH-CAN 查無 SG_ `RainSensorLevel_Req`；依 R-VT15(c) 記待 CAN-C DBC；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock	CAN		段落				P363:IPC_VEHICLE_SETUP	訊息名不符(R-13)	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3：SG_ `RemoteDoorUnlock` 存在，但其 BO_ 為 IPC_VEHICLE_SETUP，與規格訊息 `TELEMATIC_VEHICLE_SETUP` 不符；R-13 保留規格原名，入重寫後之 DR-VT3（暫持不送）；R1 DBC（Atlantis High）旁證：FDCAN8:IPC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `RemoteDoorUnlock_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.SdwChimeVolume_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `SdwChimeVolume_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP.Sdw_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `Sdw_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `SpeedLockDoorEnable_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP.TemperatureUnit_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP` / SG_ `TemperatureUnit_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `AutoUnlockDoorExit_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP2.Backup_Cam_Delay_Req	CAN		段落;表格				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `Backup_Cam_Delay_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req	CAN		段落;表格				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `EPB_MaintenanceMode_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `FSFCWPlusActivationMode_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `FSFCWPlusSetting_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `FlashLightWLock_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `HeadlightsOffDelay_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `LDW_Intensity_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `LDW_Sensibility_Req`；VAL_ 有；R1 DBC（Atlantis High）旁證：FDCAN8:TELEMATIC_VEHICLE_SETUP
TELEMATIC_VEHICLE_SETUP2.RainSensorSensibility_Req	CAN		段落;表格				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `RainSensorSensibility_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP2	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP2` / SG_ `TyrePressureUnit_Req`；VAL_ 有
TELEMATIC_VEHICLE_SETUP3.SoundHornLockUnlock_Req	CAN		段落				P363:TELEMATIC_VEHICLE_SETUP3	解得	段 1 不適用（規格原名已為 MESSAGE.Signal 形）；段 3（P363 ATL-Mi DBC）BO_ `TELEMATIC_VEHICLE_SETUP3` / SG_ `SoundHornLockUnlock_Req`；VAL_ 有
TLM_Display.GUI	內部		段落					未解得(止於段1)	
TLM_Vehicle_Setup_Menu.Info	內部		段落					未解得(止於段1)	
Temperature_Unit_Setting.Req	內部		段落					未解得(止於段1)	
Time_Date_Setting_Feedback.Info	內部		段落					未解得(止於段1)	
Twilight_Sensor	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r471：`Twilight_Sensor`
Tyre_Pressure_Unit_Menu	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r583：`Tyre_Pressure_Unit_Menu`
Tyre_Pressure_Unit_Setting.Req	內部		段落					未解得(止於段1)	
Unit	PROXI		表格					未解得(止於段1)	【A-VT23】抽名偽陽性（v2／v3 catch-all 之誤），排除旗標待裁
Units_Setting.Req	內部		段落;表格					未解得(止於段1)	
Year1_Setting.Info	內部		段落					未解得(止於段1)	
Year1_Setting.Req	內部		段落					未解得(止於段1)	
Year2_Setting.Info	內部		段落					未解得(止於段1)	
Year2_Setting.Req	內部		段落					未解得(止於段1)	
Year3_Setting.Info	內部		段落					未解得(止於段1)	
Year3_Setting.Req	內部		段落					未解得(止於段1)	
Year4_Setting.Info	內部		段落					未解得(止於段1)	
Year4_Setting.Req	內部		段落					未解得(止於段1)	
