來源ID	來源chapter	分類	暫代母體對應ID	Jaccard	對應chapter	來源Description(正規化,截110)
Sys-RA-VF665_V43_VSM-1117	01.11.01.01.23	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-620	1.0	01.11.01.01.22	"IF TLM receives ""IPC_VEHICLE_SETUP.PhoneRepetition""set to ""Absent"" THEN TLM updates and sends the information "
Sys-RA-VF665_V43_VSM-1119	01.11.01.01.24	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-622	1.0	01.11.01.01.23	"IF TLM receives ""IPC_VEHICLE_SETUP.NavRepetition""set to ""Present"" THEN TLM updates and sends the information f"
Sys-RA-VF665_V43_VSM-1120	01.11.01.01.24	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-623	1.0	01.11.01.01.23	"IF TLM receives ""IPC_VEHICLE_SETUP.NavRepetition""set to ""Absent"" THEN TLM updates and sends the information fo"
Sys-RA-VF665_V43_VSM-1122	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-625	1.0	01.11.01.01.24	"IF "" CAN node 24 (PAM ) "" PROXI parameter is equal to ""Present"" THEN TLM shall display the ""Park Sense Setting"
Sys-RA-VF665_V43_VSM-1123	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-626	1.0	01.11.01.01.24	"IF the user sets ""Pam_AlertMode_Setting.Req"" internal signals to ""Sound"" THEN TLM shall set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1124	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-627	1.0	01.11.01.01.24	"IF the user sets ""Pam_AlertMode_Setting.Req"" internal signals to ""Sound+Display"" THEN TLM shall set ""TELEMATIC"
Sys-RA-VF665_V43_VSM-1125	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-628	1.0	01.11.01.01.24	"WHEN TLM receives ""IPC_VEHICLE_SETUP.PamAlertMode"" message THEN TLM updates the Park Sense Setting information"
Sys-RA-VF665_V43_VSM-1127	01.11.01.01.25	無對應		0.76		"IF ""CAN node 24 (PAM)"" PROXI parameter is equal to ""Present"" AND ( ""PAM_Configuration"" PROXI parameter is equa"
Sys-RA-VF665_V43_VSM-1128	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-631	1.0	01.11.01.01.24	"IF the user sets ""Pam_Chime_Volume_Rear_Setting.Req"" internal signals to ""Low"" THEN TLM shall set ""TELEMATIC_V"
Sys-RA-VF665_V43_VSM-1129	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-632	1.0	01.11.01.01.24	"IF the user sets ""Pam_Chime_Volume_Rear_Setting.Req"" internal signals to ""Med"" THEN TLM shall set ""TELEMATIC_V"
Sys-RA-VF665_V43_VSM-1130	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-633	1.0	01.11.01.01.24	"IF the user sets ""Pam_Chime_Volume_Rear_Setting.Req"" internal signals to ""High"" THEN TLM shall set ""TELEMATIC_"
Sys-RA-VF665_V43_VSM-1131	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-634	1.0	01.11.01.01.24	"WHEN TLM receives ""IPC_VEHICLE_SETUP.PamChimeVolumeRear"" message THEN TLM updates the Rear Park Sense Volume i"
Sys-RA-VF665_V43_VSM-1132	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-635	1.0	01.11.01.01.24	"ELSE THEN TLM shall not display the ""Rear Park Sense Volume"" menu item and the user can not perform any settin"
Sys-RA-VF665_V43_VSM-1134	01.11.01.01.25	無對應		0.76		"IF ""CAN node 24 (PAM)"" PROXI parameter is equal to ""Present"" AND ""PAM_Configuration"" PROXI parameter is equal "
Sys-RA-VF665_V43_VSM-1135	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-638	1.0	01.11.01.01.24	"IF the user sets ""Pam_Chime_Volume_Front_Setting.Req"" internal signals to ""Low"" THEN TLM shall set ""TELEMATIC_"
Sys-RA-VF665_V43_VSM-1136	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-639	1.0	01.11.01.01.24	"IF the user sets ""Pam_Chime_Volume_Front_Setting.Req"" internal signals to ""Med"" THEN TLM shall set ""TELEMATIC_"
Sys-RA-VF665_V43_VSM-1137	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-640	1.0	01.11.01.01.24	"IF the user sets ""Pam_Chime_Volume_Front_Setting.Req"" internal signals to ""High"" THEN TLM shall set ""TELEMATIC"
Sys-RA-VF665_V43_VSM-1138	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-641	1.0	01.11.01.01.24	"WHEN TLM receives ""IPC_VEHICLE_SETUP.PamChimeVolumeFront"" message THEN TLM updates the Front Park Sense Volume"
Sys-RA-VF665_V43_VSM-1139	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-642	1.0	01.11.01.01.24	"ELSE THEN TLM shall not display the ""Front Park Sense Volume"" menu item and the user can not perform any setti"
Sys-RA-VF665_V43_VSM-1140	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-643	1.0	01.11.01.01.24	"ELSE THEN TLM shall not display the ""Park Sense Setting "", ""Rear Park Sense Volume"" and ""Front Park Sense Volu"
Sys-RA-VF665_V43_VSM-1141	01.11.01.01.25	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-643	1.0	01.11.01.01.24	"ELSE THEN TLM shall not display the ""Park Sense Setting "", ""Rear Park Sense Volume"" and ""Front Park Sense Volu"
Sys-RA-VF665_V43_VSM-1143	01.11.01.01.26	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-645	1.0	01.11.01.01.25	"IF “AHBM_Feature_Menu ” PROXI parameter is equal to ""Absent"" THEN TLM shall display the Auto High Beam menu it"
Sys-RA-VF665_V43_VSM-1144	01.11.01.01.26	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-646	1.0	01.11.01.01.25	"IF “AHBM_Feature_Menu” PROXI parameter is equal to ""Present"" THEN TLM shall display the Auto High Beam menu it"
Sys-RA-VF665_V43_VSM-1145	01.11.01.01.26	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-647	1.0	01.11.01.01.25	"IF the user sets ""Auto_High_Beam_Enable.Req"" equal to ""Enable"" THEN TLM shall to set ""TELEMATIC_VEHICLE_SETUP."
Sys-RA-VF665_V43_VSM-1146	01.11.01.01.26	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-648	1.0	01.11.01.01.25	"IF the user sets ""Auto_High_Beam_Enable.Req"" equal to ""Disable"" THEN TLM shall to set ""TELEMATIC_VEHICLE_SETUP"
Sys-RA-VF665_V43_VSM-1147	01.11.01.01.26	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-649	1.0	01.11.01.01.25	"WHEN TLM receives ""IPC_VEHICLE_SETUP.AutoHighBeamEnable"" message THEN TLM updates the Auto High Beam informati"
Sys-RA-VF665_V43_VSM-1149	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-651	1.0	01.11.01.01.26	"IF ""Ambient_Lighting_Function"" PROXI parameter is equal to ""Present"" AND ""Ambient_Dimmer_Switch""PROXI paramete"
Sys-RA-VF665_V43_VSM-1150	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-652	1.0	01.11.01.01.26	"IF the user sets ""Ambient_Lighting_level_Setting.Req"" equal to ""Level_1 "" THEN TLM shal set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1151	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-653	1.0	01.11.01.01.26	"IF the user sets ""Ambient_Lighting_level_Setting.Req"" equal to ""Level_2 "" THEN TLM shal set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1152	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-654	1.0	01.11.01.01.26	"IF the user sets ""Ambient_Lighting_level_Setting.Req"" equal to ""Level_3 "" THEN TLM shal set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1153	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-655	1.0	01.11.01.01.26	"IF the user sets ""Ambient_Lighting_level_Setting.Req"" equal to ""Level_4 "" THEN TLM shal set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1154	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-656	1.0	01.11.01.01.26	"IF the user sets ""Ambient_Lighting_level_Setting.Req"" equal to ""Level_5 "" THEN TLM shal set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1155	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-657	1.0	01.11.01.01.26	"IF the user sets ""Ambient_Lighting_level_Setting.Req"" equal to ""Level_6 "" THEN TLM shal set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1156	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-658	1.0	01.11.01.01.26	"IF the user sets ""Ambient_Lighting_level_Setting.Req"" equal to ""Level_7 "" THEN TLM shal set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1157	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-659	1.0	01.11.01.01.26	"WHEN TLM receives ""IPC_VEHICLE_SETUP.AmbientLightingLevel"" message THEN TLM updates the Ambient light informat"
Sys-RA-VF665_V43_VSM-1159	01.11.01.01.27	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-661	1.0	01.11.01.01.26	THEN TLM shall not display the Ambient Light Level menu item and the user can not perform any setting.
Sys-RA-VF665_V43_VSM-1161	01.11.01.01.28	無對應		0.63		"IF “Rear_View_Camera” PROXI parameter is not equal to ""Present"" THEN the TLM shall not display the Rearview Ca"
Sys-RA-VF665_V43_VSM-1162	01.11.01.01.28	無對應		0.69		"IF “Rear_View_Camera” PROXI parameter is equal to ""Present"" THEN TLM shall display the Rearview Camera Dynamic"
Sys-RA-VF665_V43_VSM-1163	01.11.01.01.28	無對應		0.636		"IF the user sets ""RVC_Dynamic_Gridlines.Req"" equal to ""Off"" TLM shall set ""TELEMATIC_VEHICLE_SETUP.DynamicGrid"
Sys-RA-VF665_V43_VSM-1164	01.11.01.01.28	無對應		0.619		"IF the user sets ""RVC_Dynamic_Gridlines.Req"" equal to ""On"" TLM shall set ""TELEMATIC_VEHICLE_SETUP.DynamicGrid_"
Sys-RA-VF665_V43_VSM-1165	01.11.01.01.28	無對應		0.609		"WHEN TLM receives ""IPC_VEHICLE_SETUP.DynamicGrid"" message THEN TLM updates the Rearview Camera Dynamic Gridlin"
Sys-RA-VF665_V43_VSM-1167	01.11.01.01.29	無對應		0.654		"IF “Rear_View_Camera” PROXI parameter is not equal to ""Present"" THEN the TLM shall not display the Rearview Ca"
Sys-RA-VF665_V43_VSM-1168	01.11.01.01.29	無對應		0.714		"IF “Rear_View_Camera” PROXI parameter is equal to ""Present"" THEN TLM shall display the Rearview Camera Delay m"
Sys-RA-VF665_V43_VSM-1169	01.11.01.01.29	無對應		0.7		"IF the user sets ""RVC_Delay.Req"" equal to ""Off"" TLM shall set ""TELEMATIC_VEHICLE_SETUP2.Backup_Cam_Delay_Req"" "
Sys-RA-VF665_V43_VSM-1170	01.11.01.01.29	無對應		0.684		"IF the user sets ""RVC_Delay.Req"" equal to ""On"" TLM shall set ""TELEMATIC_VEHICLE_SETUP2.Backup_Cam_Delay_Req"" B"
Sys-RA-VF665_V43_VSM-1171	01.11.01.01.29	無對應		0.636		"WHEN TLM receives ""IPC_VEHICLE_SETUP2.Backup_Cam_Delay"" message THEN TLM updates the Rearview Camera Delay set"
Sys-RA-VF665_V43_VSM-1173	01.11.01.01.30	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-663	1.0	01.11.01.01.27	"IF “CAN Node 35 (TBM)” PROXI parameter is equal to ""Absent"" OR IF “Geolocation_Menu” PROXI parameter is equal "
Sys-RA-VF665_V43_VSM-1174	01.11.01.01.30	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-664	1.0	01.11.01.01.27	"IF “CAN Node 35 (TBM)” PROXI parameter is equal to ""Present"" AND IF “Geolocation_Menu” PROXI parameter is equa"
Sys-RA-VF665_V43_VSM-1175	01.11.01.01.30	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-665	1.0	01.11.01.01.27	"IF the user sets ""Geolocation_Enable.Req"" equal to ""Off"" TLM shall set ""TELEMATIC_SERVICE_SETUP.PrivacyModeReq"
Sys-RA-VF665_V43_VSM-1176	01.11.01.01.30	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-666	1.0	01.11.01.01.27	"IF the user sets ""Geolocation_Enable.Req"" equal to ""On"" TLM shall set ""TELEMATIC_SERVICE_SETUP.PrivacyModeReq"""
Sys-RA-VF665_V43_VSM-1177	01.11.01.01.30	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-667	1.0	01.11.01.01.27	"WHEN TLM receives ""SERVICE_SETUP.PrivacyMode"" message THEN TLM updates the Privacy Mode information on its dis"
Sys-RA-VF665_V43_VSM-1179	01.11.01.01.31	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-669	1.0	01.11.01.01.28	"IF “CAN Node 35 (TBM)” PROXI parameter is equal to ""Absent"" THEN TLM shall not manage ""TELEMATIC_SERVICE_SETUP"
Sys-RA-VF665_V43_VSM-1180	01.11.01.01.31	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-670	1.0	01.11.01.01.28	"IF “CAN Node 35 (TBM)” PROXI parameter is equal to ""Present"" THEN TLM shall manage the Clear Personal Data fea"
Sys-RA-VF665_V43_VSM-1181	01.11.01.01.31	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-671	1.0	01.11.01.01.28	"IF the user performs ""ClearPersonalData_Enable.Req"" request TLM shall only send ""TELEMATIC_SERVICE_SETUP.Clear"
Sys-RA-VF665_V43_VSM-1183	01.11.01.01.32	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-673	1.0	01.11.01.01.29	"IF “CAN Node 35 (TBM)” PROXI parameter is equal to ""Absent"" THEN TLM shall not manage ""TELEMATIC_SERVICE_SETUP"
Sys-RA-VF665_V43_VSM-1184	01.11.01.01.32	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-674	1.0	01.11.01.01.29	"IF “CAN Node 35 (TBM)” PROXI parameter is equal to ""Present"" THEN TLM shall manage the Restore Default Setting"
Sys-RA-VF665_V43_VSM-1185	01.11.01.01.32	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-675	1.0	01.11.01.01.29	"IF the user performs ""RestoreDefaultSetting_Enable.Req"" request TLM shall only send ""TELEMATIC_SERVICE_SETUP.R"
Sys-RA-VF665_V43_VSM-1187	01.11.01.01.33	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-677	1.0	01.11.01.01.30	"IF “CAN Node 35 (TBM)” PROXI parameter is equal to ""Absent"" THEN TLM shall not manage ""TELEMATIC_SERVICE_SETUP"
Sys-RA-VF665_V43_VSM-1188	01.11.01.01.33	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-678	1.0	01.11.01.01.30	"IF “CAN Node 35 (TBM)” PROXI parameter is equal to ""Present"" THEN TLM shall manage the Restore App feature and"
Sys-RA-VF665_V43_VSM-1189	01.11.01.01.33	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-679	1.0	01.11.01.01.30	"IF the user performs ""RestoreApp_Enable.Req"" request TLM shall only send ""TELEMATIC_SERVICE_SETUP.RestoreAppRe"
Sys-RA-VF665_V43_VSM-1191	01.11.01.01.34	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-681	1.0	01.11.01.01.31	"IF TLM sends a request of vehicle setup to IPC through ""TELEMATIC_VEHICLE_SETUP"" message THEN TLM has to wait "
Sys-RA-VF665_V43_VSM-1192	01.11.01.01.34	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-682	1.0	01.11.01.01.31	"IF TLM receives ""IPC_VEHICLE_SETUP.TelematicSetupACK""equal to ""No_ACK_Required"" value. THEN TLM has to ignore "
Sys-RA-VF665_V43_VSM-1193	01.11.01.01.34	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-683	1.0	01.11.01.01.31	"IF TLM receives ""IPC_VEHICLE_SETUP.TelematicSetupACK""equal to ""ACK_KO"" value. THEN TLM has to visualize a mess"
Sys-RA-VF665_V43_VSM-1194	01.11.01.01.34	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-684	1.0	01.11.01.01.31	"IF TLM receives ""IPC_VEHICLE_SETUP.TelematicSetupACK""equal to ""ACK_OK"" value. THEN TLM has to visualize the ne"
Sys-RA-VF665_V43_VSM-1197	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-826	1.0	01.14.01	16 Passive_Entry_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Tria
