tc_id	batch	欄／行	原串	改後串	改由
NR1L-DIAG-212	batch3	描述行	2. Send a write request for DID $500A with the last byte omi	2. Send an InputOutputControlByIdentifier request for DID $5	0x2F 為 InputOutputControlByIdentifier，非 write request
NR1L-DIAG-212	batch3	步驟	$ 2F 50 0A	$ 2F 50 0A 03	R-DIAG29(a)＋R-DIAG22：合法請求現為 `2F <DID> 03 <controlState>`，省末 byte 即 `… 03`
NR1L-DIAG-213	batch3	描述行	2. Send a write request for DID $500A with a parameter value	2. Send an InputOutputControlByIdentifier request for DID $5	0x2F 為 InputOutputControlByIdentifier，非 write request
NR1L-DIAG-213	batch3	步驟	$ 2F 50 0A	$ 2F 50 0A 03 <out-of-range controlState>	R-DIAG29(a)＋R-DIAG22(amend)：值域軸保留完整長度，資料 byte 為越界值
NR1L-DIAG-215	batch3	步驟	$ 2F 50 0A <Mode 1 Information audio source selection value>	$ 2F 50 0A 03 <controlState for "Mode 1 Information audio source selection">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-216	batch3	描述行	2. Send a write request for DID $500A with the last byte omi	2. Send an InputOutputControlByIdentifier request for DID $5	0x2F 為 InputOutputControlByIdentifier，非 write request
NR1L-DIAG-216	batch3	步驟	$ 2F 50 0A	$ 2F 50 0A 03	R-DIAG29(a)＋R-DIAG22：合法請求現為 `2F <DID> 03 <controlState>`，省末 byte 即 `… 03`
NR1L-DIAG-217	batch3	描述行	2. Send a write request for DID $500A with a parameter value	2. Send an InputOutputControlByIdentifier request for DID $5	0x2F 為 InputOutputControlByIdentifier，非 write request
NR1L-DIAG-217	batch3	步驟	$ 2F 50 0A	$ 2F 50 0A 03 <out-of-range controlState>	R-DIAG29(a)＋R-DIAG22(amend)：值域軸保留完整長度，資料 byte 為越界值
NR1L-DIAG-219	batch3	步驟	$ 2F 50 0B <enable in-motion menu>	$ 2F 50 0B 03 <controlState for "enable in-motion menu">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-220	batch3	描述行	2. Send a write request for DID $500B with the last byte omi	2. Send an InputOutputControlByIdentifier request for DID $5	0x2F 為 InputOutputControlByIdentifier，非 write request
NR1L-DIAG-220	batch3	步驟	$ 2F 50 0B	$ 2F 50 0B 03	R-DIAG29(a)＋R-DIAG22：合法請求現為 `2F <DID> 03 <controlState>`，省末 byte 即 `… 03`
NR1L-DIAG-221	batch3	描述行	2. Send a write request for DID $500B with a parameter value	2. Send an InputOutputControlByIdentifier request for DID $5	0x2F 為 InputOutputControlByIdentifier，非 write request
NR1L-DIAG-221	batch3	步驟	$ 2F 50 0B	$ 2F 50 0B 03 <out-of-range controlState>	R-DIAG29(a)＋R-DIAG22(amend)：值域軸保留完整長度，資料 byte 為越界值
NR1L-DIAG-223	batch3	步驟	$ 2F 50 0B <enable in-motion menu>	$ 2F 50 0B 03 <controlState for "enable in-motion menu">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-223	batch3	步驟	$ 2F 50 0B <disable in-motion menu>	$ 2F 50 0B 03 <controlState for "disable in-motion menu">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-224	batch3	描述行	2. Send a write request for DID $500B with the last byte omi	2. Send an InputOutputControlByIdentifier request for DID $5	0x2F 為 InputOutputControlByIdentifier，非 write request
NR1L-DIAG-224	batch3	步驟	$ 2F 50 0B	$ 2F 50 0B 03	R-DIAG29(a)＋R-DIAG22：合法請求現為 `2F <DID> 03 <controlState>`，省末 byte 即 `… 03`
NR1L-DIAG-225	batch3	描述行	2. Send a write request for DID $500B with a parameter value	2. Send an InputOutputControlByIdentifier request for DID $5	0x2F 為 InputOutputControlByIdentifier，非 write request
NR1L-DIAG-225	batch3	步驟	$ 2F 50 0B	$ 2F 50 0B 03 <out-of-range controlState>	R-DIAG29(a)＋R-DIAG22(amend)：值域軸保留完整長度，資料 byte 為越界值
NR1L-DIAG-226	batch3	步驟	$ 2F 50 0B <enable in-motion menu>	$ 2F 50 0B 03 <controlState for "enable in-motion menu">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-227	batch3	步驟	$ 2F 51 00 <video input selection>	$ 2F 51 00 03 <controlState for "video input">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-228	batch3	步驟	$ 2F 51 00 <normal operation>	$ 2F 51 00 03 <controlState for "normal operation">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-229	batch3	步驟	$ 2F 51 00	$ 2F 51 00 03	R-DIAG29(a)＋R-DIAG22：合法請求現為 `2F <DID> 03 <controlState>`，省末 byte 即 `… 03`
NR1L-DIAG-230	batch3	步驟	$ 2F 51 00	$ 2F 51 00 03 <out-of-range controlState>	R-DIAG29(a)＋R-DIAG22(amend)：值域軸保留完整長度，資料 byte 為越界值
NR1L-DIAG-231	batch3	步驟	$ 2F 50 0D <video input selection>	$ 2F 50 0D 03 <controlState for "video input">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-554	ext	步驟	$ 2F 50 00 <tool-controlled tone selection>	$ 2F 50 00 03 <controlState for "tool-controlled tone">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-556	ext	步驟	$ 2F 50 09 <tuned frequency value>	$ 2F 50 09 03 <controlState for "tuned frequency">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
