outline	observable_interface	axis_9	axis_12	axis_13	emea_ics
15.1	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
16.2	ICS climate screen／status bar／category button／comfort popup／硬鍵 LED	`-082`／`-083`／`-089` 暴露（可觀察量在 head unit 之 comfort section）→ 補；`-084`～`-088` 之可觀察量為 comfort popup（6.3 之明文例外）、`-090` 為硬鍵 LED，皆不暴露	不暴露 —— ch16 十八節無任何 tab 條文；2.1 屬 ch2 介面，援引即跨介面移植	暴露 → 全數補。出處為 2.14 C15「For MTC **with ICS** … 3 knob HVAC controls … no HVAC screens and no HVAC pop ups」—— 該句寫在 ch2 而所治者正是 ICS 車（跨節取據 R-C29）	**不適用（反向）** —— 本節即 EMEA ICS 介面本身，故取**正向**軸值 PC「The vehicle is an EMEA ICS vehicle (16.2)」而非排除式；R-C36-1 之逐條問句於 ch16 側之對應問題為「本條於非 EMEA 車輛上有無對象」，答為無，故正向 PC 必要
16.3	ICS climate screen 之 AUTO 按鈕、風速指示、Mode 按鈕與 main category control	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3 使其移除）；**與批次 11 相反**，該批之可觀察量為 comfort popup，正是 6.3 之例外	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）而非排除式；R-C36-1 於本側之對應問題為「本條於非 EMEA 車輛上有無對象」，答為無
16.4	ICS climate screen 之 MAX A/C／A/C／RECIRC／MAX DEF／REAR DEFROST 五鍵	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3 使其移除）；**與批次 11 相反**，該批之可觀察量為 comfort popup，正是 6.3 之例外	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）而非排除式；R-C36-1 於本側之對應問題為「本條於非 EMEA 車輛上有無對象」，答為無
16.5	ICS climate screen 之 RECIRC 圖示	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3 使其移除）；**與批次 11 相反**，該批之可觀察量為 comfort popup，正是 6.3 之例外	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）而非排除式；R-C36-1 於本側之對應問題為「本條於非 EMEA 車輛上有無對象」，答為無
16.6	ICS climate screen 之溫度顯示與 temp slider／status bar／temp popup	`-098`／`-099`／`-100`／`-102` 暴露（可觀察量在 head unit 之 comfort section）→ 補；`-101`（temp popup）與 `-103`（sync 時之 slider popup）之可觀察量為 comfort popup，正是 6.3 之明文例外，不補	不暴露 —— ch16 十八節無 tab 條文；2.1 屬 ch2 介面	暴露 → 全數補。出處 2.14 C15（`For MTC with ICS … no HVAC screens and no HVAC pop ups`），跨節取據 R-C29	**不適用（反向）** —— 本節屬 ch16，取正向軸值 PC（出處 16.2，併入 spec_ref）
16.6.1	ICS climate screen 之溫度箭頭、滑桿與其把手、TEMP popup	暴露 → 全數補（五條之可觀察量皆為 climate screen 上之控制）	不暴露 —— 同 16.6	暴露 → 全數補（出處 2.14）	**不適用（反向）** —— 取正向軸值 PC，出處 16.2
16.7	ICS climate screen 之風速格、main category control、fan popup	`-109`／`-110`／`-112`／`-113` 暴露 → 補；`-111`（fan popup）不補（6.3 之例外）	不暴露 —— 同 16.6	暴露 → 全數補（出處 2.14）	**不適用（反向）** —— 取正向軸值 PC，出處 16.2
16.8	ICS climate screen 之 MAX DEF 按鈕與其所設定之六項參數	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）
16.9	ICS climate screen 之 REAR DEFROST 按鈕（含灰化）	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）
16.10	CLIMATE OFF 畫面、main category control、status bar 與硬鍵之 LED	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3 使其移除）；**與批次 11 相反**，該批之可觀察量為 comfort popup，正是 6.3 之例外	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）而非排除式；R-C36-1 於本側之對應問題為「本條於非 EMEA 車輛上有無對象」，答為無
16.11	ICS climate screen 之 SYNC 按鈕與雙側溫度、前後排連動	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3 使其移除）；**與批次 11 相反**，該批之可觀察量為 comfort popup，正是 6.3 之例外	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）而非排除式；R-C36-1 於本側之對應問題為「本條於非 EMEA 車輛上有無對象」，答為無
16.12	ICS climate screen 之五個氣流模式按鈕與 main category control	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）
16.12.1	Mode 硬鍵之循環、Climate main 內外之呈現與其 pop-up	暴露 → 全數補；`-260` 之 pop-up 雖為 6.3 之例外，惟其位置以 Climate main category control 為錨（該錨在 comfort section 內），故仍補	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）
16.13	ICS climate screen 之 MAX A/C 按鈕與其所設定之六項參數	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3 使其移除）；**與批次 11 相反**，該批之可觀察量為 comfort popup，正是 6.3 之例外	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）而非排除式；R-C36-1 於本側之對應問題為「本條於非 EMEA 車輛上有無對象」，答為無
16.14	ICS 之 MTC climate screen 與 MTC temperature popup	暴露 → 全數補（可觀察量在 head unit 之 comfort section）	不暴露 —— 同 16.2，ch16 無 tab 條文	暴露 → 全數補；C15 之例外前件為「MTC **with ICS**」，與本節之前件（CCM relays MTC）直接相交，故本節尤須補。**惟不驗該例外行為** —— ICE13 僅 C15 之首二句，3 旋鈕整段於 ch16 不存在（§8.2.1）	**不適用（反向）** —— 取正向軸值 PC，出處 16.2
16.15	對外後視鏡除霜之 on/off 狀態	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— ch16 十八節無 tab 條文	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**不適用（反向）** —— 本節屬 ch16，取**正向**軸值 PC（出處 16.2）
16.16	ICS controls screen 之座椅類控制（標示與 active／inactive 呈現）	暴露 → 全數補（controls screen 屬 head unit 之 comfort section）	不暴露 —— 同 16.2	**不暴露 → 不補** —— C15 之例外所移除者為 `HVAC menu bar icons`／`HVAC screens`／`HVAC pop ups`，而本節之可觀察量為**座椅控制之 controls screen**，不屬該三者；補之即為過嚴之排除（35 §1 形態）	**不適用（反向）** —— 取正向軸值 PC，出處 16.2
16.17	ICS climate screen 之風速指示（本條驗其**不變**）	暴露 → 補（風速指示在 head unit 之 comfort section）	不暴露 —— 同 16.6	暴露 → 補（出處 2.14）	**不適用（反向）** —— 取正向軸值 PC，出處 16.2
17.1	head unit 首頁上之 Comfort widget（其兩個畫面之存在與名稱）	暴露 → 全數補 —— 6.3 使 comfort section 自 head unit 移除，而 widget 即在 head unit 首頁	不暴露 —— 不觀察 tab；2.1 之 tabs 屬 climate 主類別，非首頁 widget	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除 —— ch16 十八節無任何 widget 條文（`ch16_mirror_map.tsv` 之 ch17 側全無列）；依 R-C36-1 逐條之答為「ch16 無對應句」，已記於各 TC 之 `emea_ics_review`
17.2	Comfort widget 之 Climate 畫面及其六類元素（雙側溫度／auto／sync／Max A/C／氣流模式）	暴露 → 全數補（同 17.1）	不暴露 —— 不觀察 tab	暴露 → 全數補（出處 2.14）	補排除 —— ch16 無 widget 條文；逐條答見各 TC 之 `emea_ics_review`
17.3	Comfort widget 之第二畫面（Comfort 功能之列示與其不顯示）	暴露 → 全數補（同 17.1）	不暴露 —— 不觀察 tab	暴露 → 全數補（出處 2.14）	補排除 —— 同 17.1，ch16 無 widget 條文
17.5	Comfort widget 上之雙側溫度與兩組氣流模式	暴露 → 全數補（同 17.1）	不暴露 —— 不觀察 tab	暴露 → 全數補（出處 2.14）	補排除 —— 同 17.1，ch16 無 widget 條文
