leaf_id	reqid_list	layer3	writable	derivable	quoted_form_risk	blocker_class	blocker_detail	dr_id	blocked_layer	blocked_ref	evidence_note	dr_dependent	driver_reason
SWE1-VC-HeatedSteeringWheel-008	4858522	HeatedSteeringWheel	W2			B2	[4858522] `Hybrid_Type` 之值無匯流排對應：PHEV ‖ [4858522] `PrplsnSysAtv` 之值無匯流排對應：Not Active	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-HeatedSteeringWheel-009		HeatedSteeringWheel	W2										
SWE1-VC-HeatedSteeringWheel-010	4858529	HeatedSteeringWheel	W2			B2	[4858529] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858529] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-HeatedSteeringWheel-011	4858530	HeatedSteeringWheel	W0										無未解值
SWE1-VC-HeatedSteeringWheel-012	4858531	HeatedSteeringWheel	W2										未解值位於後件 —— 驗證目標即該值
SWE1-VC-HeatedSteeringWheel-013	4858532	HeatedSteeringWheel	W2										未解值位於後件 —— 驗證目標即該值
SWE1-VC-HeatedSteeringWheel-014	4858537	HeatedSteeringWheel	W2			B2	[4858537] `HSW_RQ_TGW` 之值無匯流排對應：High；Low；Medium	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-HeatedSteeringWheel-015	4858538	HeatedSteeringWheel	W0										無未解值
SWE1-VC-HeatedSteeringWheel-016	4858539	HeatedSteeringWheel	W0										無未解值
SWE1-VC-HeatedSteeringWheel-017	4858540	HeatedSteeringWheel	W2			B2	[4858540] `HSW_Stat_2` 之值無匯流排對應：Heated steering wheel off / HSW_OFF	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-HeatedSteeringWheel-018	4858541	HeatedSteeringWheel	W2			B2	[4858541] `HSW_Stat_2` 之值無匯流排對應：Heated steering wheel high / HSW_HI	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-HeatedSteeringWheel-019	4858542	HeatedSteeringWheel	W2			B2	[4858542] `HSW_Stat_2` 之值無匯流排對應：Heated steering wheel medium / HSW_MED	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-HeatedSteeringWheel-020	4858543	HeatedSteeringWheel	W2			B2	[4858543] `HSW_Stat_2` 之值無匯流排對應：Heated steering wheel low / HSW_LO	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-HeatedSteeringWheel-021	4858544	HeatedSteeringWheel	W0										無未解值
SWE1-VC-HeatedSteeringWheel-022	4858545	HeatedSteeringWheel	W0										無未解值
SWE1-VC-HeatedSteeringWheelManagement-025	4858296;4859492	HeatedSteeringWheelManagement	W0		yes	B2	[引號形態] `Heated_Steering_Wheel` 之值無匯流排對應：Present	DR-21			VF664-inferred		無未解值
SWE1-VC-HeatedSteeringWheelManagement-026	4858298;4859493	HeatedSteeringWheelManagement	W0										無未解值
SWE1-VC-HeatedSteeringWheelManagement-027	4858299;4859494	HeatedSteeringWheelManagement	W0										無未解值
SWE1-VC-HeatedSteeringWheelManagement-028	4859495	HeatedSteeringWheelManagement	W0										無未解值
SWE1-VC-HeatedSteeringWheelManagement-029	4859496	HeatedSteeringWheelManagement	W2		yes	B6-value-absent	[引號形態] `HSW_Cmd_Tlm` 之值無匯流排對應：ON；OFF	DR-21				DR-25	訊號名有來源而其值域無來源（R-VS57(4)）
SWE1-VC-HeatedSteeringWheelManagement-030	4859497	HeatedSteeringWheelManagement	W2		yes	B6-value-absent	[引號形態] `HSW_Cmd_Tlm` 之值無匯流排對應：ON；OFF	DR-21				DR-25	訊號名有來源而其值域無來源（R-VS57(4)）
SWE1-VC-HeatedSteeringWheelManagement-031	4859498	HeatedSteeringWheelManagement	W0						screen	DR-5-B			無未解值
SWE1-VC-HeatedSteeringWheelManagement-032	4859499	HeatedSteeringWheelManagement	W0										無未解值
SWE1-VC-HeatedSteeringWheelManagement-033	4859500	HeatedSteeringWheelManagement	W2		yes	B6-value-absent	[引號形態] `HSW_Cmd_Tlm` 之值無匯流排對應：ON；OFF	DR-21				DR-25	訊號名有來源而其值域無來源（R-VS57(4)）
SWE1-VC-HeatedSteeringWheelManagement-034	4859501	HeatedSteeringWheelManagement	W2		yes	B6-value-absent	[引號形態] `HSW_Cmd_Tlm` 之值無匯流排對應：ON；OFF	DR-21				DR-25	訊號名有來源而其值域無來源（R-VS57(4)）
SWE1-VC-HeatedSteeringWheelManagement-035	4859502	HeatedSteeringWheelManagement	W2										未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontVentedSeat-003	4858362	LeftFrontVentedSeat	W0										無未解值
SWE1-VC-LeftFrontVentedSeat-004	4858367	LeftFrontVentedSeat	W0			B2	[4858367] `VentedSeatFL` 之值無匯流排對應：Vented Seat High / VS_HI；Vented Seat Low / VS_LO；Vented Seat Off / VS_OFF	DR-21					無未解值
SWE1-VC-LeftFrontVentedSeat-005	4858368	LeftFrontVentedSeat	W2			B2	[4858368] `VentedSeatFL` 之值無匯流排對應：Vented Seat High / VS_HI；Vented Seat Low / VS_LO；Vented Seat Medium / VS_MED	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontVentedSeat-006	4858369	LeftFrontVentedSeat	W0										無未解值
SWE1-VC-LeftFrontVentedSeat-007	4858370	LeftFrontVentedSeat	W0										無未解值
SWE1-VC-LeftFrontVentedSeat-008	4858371	LeftFrontVentedSeat	W2			B2	[4858371] `PrplsnSysAtv` 之值無匯流排對應：Not Active ‖ [4858371] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontVentedSeat-009	4858376	LeftFrontVentedSeat	W2			B2	[4858376] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858376] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontVentedSeat-010	4858378	LeftFrontVentedSeat	W0										無未解值
SWE1-VC-LeftFrontVentedSeat-011	4858379	LeftFrontVentedSeat	W2			B2	[4858379] `FL_VS_RQ_TGW` 之值無匯流排對應：Vented Seat Pressed / VS_PSD	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontVentedSeat-012	4858380	LeftFrontVentedSeat	W2										未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontVentedSeat-013	4858385	LeftFrontVentedSeat	W2			B2	[4858385] `FL_VS_RQ_TGW` 之值無匯流排對應：High；Low；Medium	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontVentedSeat-014	4858386	LeftFrontVentedSeat	W0			B2	[4858386] `VentedSeatFL` 之值無匯流排對應：Vented Seat Off / VS_OFF	DR-21					無未解值
SWE1-VC-LeftFrontVentedSeat-015	4858387	LeftFrontVentedSeat	W0			B2	[4858387] `VentedSeatFL` 之值無匯流排對應：Vented Seat High / VS_HI	DR-21					無未解值
SWE1-VC-LeftFrontVentedSeat-016	4858388	LeftFrontVentedSeat	W2			B2	[4858388] `VentedSeatFL` 之值無匯流排對應：Vented seat medium / VS_MED	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-LeftFrontVentedSeat-017	4858389	LeftFrontVentedSeat	W0			B2	[4858389] `VentedSeatFL` 之值無匯流排對應：Vented Seat Low / VS_LO	DR-21					無未解值
SWE1-VC-RightFrontVentedSeat-020	4858392	RightFrontVentedSeat	W0										無未解值
SWE1-VC-RightFrontVentedSeat-021	4858398	RightFrontVentedSeat	W0			B2	[4858398] `VentedSeatFR` 之值無匯流排對應：Vented Seat High / VS_HI；Vented Seat Low / VS_Lo；Vented Seat Off / VS_OFF	DR-21					無未解值
SWE1-VC-RightFrontVentedSeat-022	4858399	RightFrontVentedSeat	W2			B2	[4858399] `VentedSeatFR` 之值無匯流排對應：Vented Seat High / VS_HI；Vented Seat Low / VS_Lo；Vented Seat Medium / VS_MED	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontVentedSeat-023	4858400	RightFrontVentedSeat	W0										無未解值
SWE1-VC-RightFrontVentedSeat-024	4858401	RightFrontVentedSeat	W0										無未解值
SWE1-VC-RightFrontVentedSeat-025	4858402	RightFrontVentedSeat	W2			B2	[4858402] `PrplsnSysAtv` 之值無匯流排對應：Not Active ‖ [4858402] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontVentedSeat-026	4858407	RightFrontVentedSeat	W2			B2	[4858407] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858407] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontVentedSeat-027	4858409	RightFrontVentedSeat	W0										無未解值
SWE1-VC-RightFrontVentedSeat-028	4858410	RightFrontVentedSeat	W2			B2	[4858410] `FR_VS_RQ_TGW` 之值無匯流排對應：Vented Seat Pressed / VS_PSD	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontVentedSeat-029	4858411	RightFrontVentedSeat	W2										未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontVentedSeat-030	4858416	RightFrontVentedSeat	W2			B2	[4858416] `FR_VS_RQ_TGW` 之值無匯流排對應：High；Low；Medium	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontVentedSeat-031	4858417	RightFrontVentedSeat	W0			B2	[4858417] `VentedSeatFR` 之值無匯流排對應：Vented Seat Off / VS_OFF	DR-21					無未解值
SWE1-VC-RightFrontVentedSeat-032	4858418	RightFrontVentedSeat	W0			B2	[4858418] `VentedSeatFR` 之值無匯流排對應：Vented Seat High / VS_HI	DR-21					無未解值
SWE1-VC-RightFrontVentedSeat-033	4858419	RightFrontVentedSeat	W2			B2	[4858419] `VentedSeatFR` 之值無匯流排對應：Vented seat medium / VS_MED	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-RightFrontVentedSeat-034	4858420	RightFrontVentedSeat	W0			B2	[4858420] `VentedSeatFR` 之值無匯流排對應：Vented Seat Low / VS_LO	DR-21					無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-037	4859438	TwoStagesVentedSeatsManagement	W2		yes	B4-preamble					R-VS51(2)：條文 4859438 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）		唯一來源條文為適用性前言，無可測之功能行為
SWE1-VC-TwoStagesVentedSeatsManagement-038	4859439;4859440	TwoStagesVentedSeatsManagement	W2		yes	B2	[引號形態] `Heated_Steats_Levels` 之值無匯流排對應：Three Levels；Two Levels	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-TwoStagesVentedSeatsManagement-039	4859441	TwoStagesVentedSeatsManagement	W0										無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-040	4859442	TwoStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859442 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-041	4859443	TwoStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859443 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-042	4859444	TwoStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859444 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-043	4859445	TwoStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-044	4859446	TwoStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-045	4859447	TwoStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-046	4859448	TwoStagesVentedSeatsManagement	W0						screen	DR-5-B			無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-047	4859449	TwoStagesVentedSeatsManagement	W0						screen	DR-5-B			無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-048	4859450	TwoStagesVentedSeatsManagement	W0										無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-049	4859451	TwoStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859451 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-050	4859452	TwoStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859452 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-051	4859453	TwoStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859453 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-052	4859454	TwoStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-053	4859455	TwoStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-054	4859456	TwoStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-055	4859457;4859458	TwoStagesVentedSeatsManagement	W0										無未解值
SWE1-VC-TwoStagesVentedSeatsManagement-056	4859459;4859460	TwoStagesVentedSeatsManagement	W0										無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-060	4859464	ThreeStagesVentedSeatsManagement	W2		yes	B4-preamble					R-VS51(2)：條文 4859464 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）		唯一來源條文為適用性前言，無可測之功能行為
SWE1-VC-ThreeStagesVentedSeatsManagement-061	4859465	ThreeStagesVentedSeatsManagement	W2		yes	B2	[引號形態] `Heated_Steats_Levels` 之值無匯流排對應：Three Levels；Two Levels	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesVentedSeatsManagement-062	4859466	ThreeStagesVentedSeatsManagement	W0										無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-063	4859467	ThreeStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859467 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-064	4859468	ThreeStagesVentedSeatsManagement	W2		yes	B2	[引號形態] `VentedSeatFL` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FL_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesVentedSeatsManagement-065	4859469	ThreeStagesVentedSeatsManagement	W2		yes	B2	[引號形態] `VentedSeatFL` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FL_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesVentedSeatsManagement-066	4859470	ThreeStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859470 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-067	4859471	ThreeStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-068	4859472	ThreeStagesVentedSeatsManagement	W2		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesVentedSeatsManagement-069	4859473	ThreeStagesVentedSeatsManagement	W2		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesVentedSeatsManagement-070	4859474	ThreeStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-071	4859477	ThreeStagesVentedSeatsManagement	W0										無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-072	4859478	ThreeStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859478 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-073	4859479	ThreeStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859479 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-074	4859480	ThreeStagesVentedSeatsManagement	W2		yes	B2	[引號形態] `VentedSeatFL` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FL_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesVentedSeatsManagement-075	4859481	ThreeStagesVentedSeatsManagement	W0		yes						R-VS51(2)：條文 4859481 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-076	4859482	ThreeStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-077	4859483	ThreeStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-078	4859484	ThreeStagesVentedSeatsManagement	W2		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesVentedSeatsManagement-079	4859485	ThreeStagesVentedSeatsManagement	W0		yes	B2	[引號形態] `VentedSeatFR` 之值無匯流排對應：Vented_seat_mid ‖ [引號形態] `FR_VS_Cmd_Tlm` 之值無匯流排對應：Vented_seat_mid；Vented_seat_off；Vented_seat_high	DR-21				DR-25	無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-080	4859486;4859487	ThreeStagesVentedSeatsManagement	W0										無未解值
SWE1-VC-ThreeStagesVentedSeatsManagement-081	4859488;4859489	ThreeStagesVentedSeatsManagement	W0										無未解值
