swe_id	reqid_list	polarion_ids	section	note
SWE1-VC-TwoStagesVentedSeatsManagement-055	CFTS044-4859457;CFTS044-4859458	NRL-61532	1.3.3.3.4.1	多值 2（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-056	CFTS044-4859459;CFTS044-4859460	NRL-61533	1.3.3.3.4.1	多值 2（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-060	CFTS044-4859464	NRL-61537	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-061	CFTS044-4859465	NRL-61538	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-062	CFTS044-4859466	NRL-61539	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-063	CFTS044-4859467	NRL-61540	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-064	CFTS044-4859468	NRL-61541	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-065	CFTS044-4859469	NRL-61542	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-066	CFTS044-4859470	NRL-61543	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-067	CFTS044-4859471	NRL-61544	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-068	CFTS044-4859472	NRL-61545	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-069	CFTS044-4859473	NRL-61546	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-070	CFTS044-4859474	NRL-61547	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-071	CFTS044-4859477	NRL-61548	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-072	CFTS044-4859478	NRL-61549	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-073	CFTS044-4859479	NRL-61550	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-074	CFTS044-4859480	NRL-61551	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-075	CFTS044-4859481	NRL-61552	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-076	CFTS044-4859482	NRL-61553	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-077	CFTS044-4859483	NRL-61554	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-078	CFTS044-4859484	NRL-61555	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-079	CFTS044-4859485	NRL-61556	1.3.3.3.5.1	交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-080	CFTS044-4859486;CFTS044-4859487	NRL-61557	1.3.3.3.5.1	多值 2（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-ThreeStagesVentedSeatsManagement-081	CFTS044-4859488;CFTS044-4859489	NRL-61558	1.3.3.3.5.1	多值 2（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
