swe	row037	src	objid	parent	l3	did	kind	cat	region	harman
SWE1-Diagnostics-183	190	SYS-RA-DIAG-115	4939828	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-184	191	SYS-RA-DIAG-115	4939828	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-185	192	SYS-RA-DIAG-122	4939823	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-186	193	SYS-RA-DIAG-122	4939823	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-187	194	SYS-RA-DIAG-123	4939819	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-188	195	SYS-RA-DIAG-123	4939819	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-189	196	SYS-RA-DIAG-124	4939821	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-190	197	SYS-RA-DIAG-124	4939821	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-191	198	SYS-RA-DIAG-125	4939820	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-192	199	SYS-RA-DIAG-125	4939820	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-193	200	SYS-RA-DIAG-126	4939811	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-194	201	SYS-RA-DIAG-126	4939811	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-195	202	SYS-RA-DIAG-127	4939810	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-196	203	SYS-RA-DIAG-127	4939810	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-197	204	SYS-RA-DIAG-128	4939818	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-198	205	SYS-RA-DIAG-128	4939818	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-199	206	SYS-RA-DIAG-129	4939817	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-200	207	SYS-RA-DIAG-129	4939817	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-201	208	SYS-RA-DIAG-130	4939816	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-202	209	SYS-RA-DIAG-130	4939816	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-203	210	SYS-RA-DIAG-131	4939815	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-204	211	SYS-RA-DIAG-131	4939815	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-205	212	SYS-RA-DIAG-132	4939814	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-206	213	SYS-RA-DIAG-132	4939814	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-207	214	SYS-RA-DIAG-133	4939813	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-208	215	SYS-RA-DIAG-133	4939813	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-209	216	SYS-RA-DIAG-134	4939812	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-210	217	SYS-RA-DIAG-134	4939812	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-211	218	SYS-RA-DIAG-138	4939803	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-212	219	SYS-RA-DIAG-138	4939803	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-213	220	SYS-RA-DIAG-139	4939800	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-214	221	SYS-RA-DIAG-139	4939800	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-215	222	SYS-RA-DIAG-140	4939802	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-216	223	SYS-RA-DIAG-140	4939802	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-217	224	SYS-RA-DIAG-142	4939804	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-218	225	SYS-RA-DIAG-142	4939804	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-219	226	SYS-RA-DIAG-143	4939801	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-220	227	SYS-RA-DIAG-143	4939801	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	$2840	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-221	228	SYS-RA-DIAG-376	4940462	Routine	$0309 - X65 MPFA Select Routine	$0309	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-222	229	SYS-RA-DIAG-376	4940462	Routine	$0309 - X65 MPFA Select Routine	$0309	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-223	230	SYS-RA-DIAG-377	4940464	Routine	$0309 - X65 MPFA Select Routine	$0309	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-224	231	SYS-RA-DIAG-377	4940464	Routine	$0309 - X65 MPFA Select Routine	$0309	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-225	232	SYS-RA-DIAG-379	4940466	Routine	$0309 - X65 MPFA Select Routine	$0309	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-226	233	SYS-RA-DIAG-380	4940465	Routine	$0309 - X65 MPFA Select Routine	$0309	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-227	234	SYS-RA-DIAG-385	4940452	Routine	$0307 - X65 MPFA Validate Routine	$0307	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-228	235	SYS-RA-DIAG-386	4940451	Routine	$0307 - X65 MPFA Validate Routine	$0307	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-229	236	SYS-RA-DIAG-387	4940453	Routine	$0307 - X65 MPFA Validate Routine	$0307	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-230	237	SYS-RA-DIAG-390	4940455	Routine	$0307 - X65 MPFA Validate Routine	$0307	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-231	238	SYS-RA-DIAG-391	4940454	Routine	$0307 - X65 MPFA Validate Routine	$0307	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-232	239	SYS-RA-DIAG-051	4939896	R/W	$2848 - X65 Package Indication Select (Read)	$2848	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-233	240	SYS-RA-DIAG-051	4939896	R/W	$2848 - X65 Package Indication Select (Read)	$2848	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-234	241	SYS-RA-DIAG-051	4939896	R/W	$2848 - X65 Package Indication Select (Read)	$2848	unsupported	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-235	242	SYS-RA-DIAG-054	4939890	R/W	$2847 - X65 Index ID (Read/Write)	$2847	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-236	243	SYS-RA-DIAG-054	4939890	R/W	$2847 - X65 Index ID (Read/Write)	$2847	unsupported	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-237	244	SYS-RA-DIAG-056	4939892	R/W	$2847 - X65 Index ID (Read/Write)	$2847	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-238	245	SYS-RA-DIAG-057	4939891	R/W	$2847 - X65 Index ID (Read/Write)	$2847	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-239	246	SYS-RA-DIAG-060	4939885	R/W	$2846 - X65 Package Indication Validate (Read)	$2846	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-240	247	SYS-RA-DIAG-060	4939885	R/W	$2846 - X65 Package Indication Validate (Read)	$2846	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-241	248	SYS-RA-DIAG-060	4939885	R/W	$2846 - X65 Package Indication Validate (Read)	$2846	unsupported	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-242	249	SYS-RA-DIAG-064	4939881	R/W	$2845 - X65 Event Indication (Read)	$2845	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-243	250	SYS-RA-DIAG-064	4939881	R/W	$2845 - X65 Event Indication (Read)	$2845	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-244	251	SYS-RA-DIAG-064	4939881	R/W	$2845 - X65 Event Indication (Read)	$2845	unsupported	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-245	252	SYS-RA-DIAG-067	4939873	R/W	$2844 - X65 Subscription Status (Read)	$2844	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-246	253	SYS-RA-DIAG-067	4939873	R/W	$2844 - X65 Subscription Status (Read)	$2844	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-247	254	SYS-RA-DIAG-067	4939873	R/W	$2844 - X65 Subscription Status (Read)	$2844	unsupported	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-248	255	SYS-RA-DIAG-068	4939872	R/W	$2844 - X65 Subscription Status (Read)	$2844	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-249	256	SYS-RA-DIAG-068	4939872	R/W	$2844 - X65 Subscription Status (Read)	$2844	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-250	257	SYS-RA-DIAG-068	4939872	R/W	$2844 - X65 Subscription Status (Read)	$2844	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-251	258	SYS-RA-DIAG-069	4939871	R/W	$2844 - X65 Subscription Status (Read)	$2844	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-252	259	SYS-RA-DIAG-069	4939871	R/W	$2844 - X65 Subscription Status (Read)	$2844	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-253	260	SYS-RA-DIAG-069	4939871	R/W	$2844 - X65 Subscription Status (Read)	$2844	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-254	261	SYS-RA-DIAG-070	4939874	R/W	$2844 - X65 Subscription Status (Read)	$2844	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-255	262	SYS-RA-DIAG-070	4939874	R/W	$2844 - X65 Subscription Status (Read)	$2844	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-256	263	SYS-RA-DIAG-070	4939874	R/W	$2844 - X65 Subscription Status (Read)	$2844	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-257	264	SYS-RA-DIAG-071	4939870	R/W	$2844 - X65 Subscription Status (Read)	$2844	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-258	265	SYS-RA-DIAG-071	4939870	R/W	$2844 - X65 Subscription Status (Read)	$2844	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-259	266	SYS-RA-DIAG-071	4939870	R/W	$2844 - X65 Subscription Status (Read)	$2844	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-260	267	SYS-RA-DIAG-072	4939868	R/W	$2844 - X65 Subscription Status (Read)	$2844	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-261	268	SYS-RA-DIAG-072	4939868	R/W	$2844 - X65 Subscription Status (Read)	$2844	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-262	269	SYS-RA-DIAG-072	4939868	R/W	$2844 - X65 Subscription Status (Read)	$2844	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-263	270	SYS-RA-DIAG-073	4939875	R/W	$2844 - X65 Subscription Status (Read)	$2844	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-264	271	SYS-RA-DIAG-073	4939875	R/W	$2844 - X65 Subscription Status (Read)	$2844	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-265	272	SYS-RA-DIAG-073	4939875	R/W	$2844 - X65 Subscription Status (Read)	$2844	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-266	273	SYS-RA-DIAG-076	4939869	R/W	$2844 - X65 Subscription Status (Read)	$2844	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-267	274	SYS-RA-DIAG-076	4939869	R/W	$2844 - X65 Subscription Status (Read)	$2844	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-268	275	SYS-RA-DIAG-076	4939869	R/W	$2844 - X65 Subscription Status (Read)	$2844	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-269	276	SYS-RA-DIAG-078	4939853	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-270	277	SYS-RA-DIAG-078	4939853	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-271	278	SYS-RA-DIAG-078	4939853	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-272	279	SYS-RA-DIAG-079	4939852	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-273	280	SYS-RA-DIAG-079	4939852	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-274	281	SYS-RA-DIAG-079	4939852	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-275	282	SYS-RA-DIAG-080	4939854	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-276	283	SYS-RA-DIAG-080	4939854	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-277	284	SYS-RA-DIAG-080	4939854	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-278	285	SYS-RA-DIAG-081	4939862	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-279	286	SYS-RA-DIAG-081	4939862	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-280	287	SYS-RA-DIAG-081	4939862	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-281	288	SYS-RA-DIAG-082	4939861	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-282	289	SYS-RA-DIAG-082	4939861	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-283	290	SYS-RA-DIAG-082	4939861	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-284	291	SYS-RA-DIAG-083	4939863	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-285	292	SYS-RA-DIAG-083	4939863	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-286	293	SYS-RA-DIAG-083	4939863	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-287	294	SYS-RA-DIAG-084	4939845	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-288	295	SYS-RA-DIAG-084	4939845	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-289	296	SYS-RA-DIAG-084	4939845	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-290	297	SYS-RA-DIAG-085	4939844	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-291	298	SYS-RA-DIAG-085	4939844	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-292	299	SYS-RA-DIAG-085	4939844	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-293	300	SYS-RA-DIAG-086	4939843	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-294	301	SYS-RA-DIAG-086	4939843	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-295	302	SYS-RA-DIAG-086	4939843	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-296	303	SYS-RA-DIAG-087	4939848	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-297	304	SYS-RA-DIAG-087	4939848	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-298	305	SYS-RA-DIAG-087	4939848	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-299	306	SYS-RA-DIAG-088	4939847	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-300	307	SYS-RA-DIAG-088	4939847	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-301	308	SYS-RA-DIAG-088	4939847	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-302	309	SYS-RA-DIAG-089	4939846	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-303	310	SYS-RA-DIAG-089	4939846	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-304	311	SYS-RA-DIAG-089	4939846	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-305	312	SYS-RA-DIAG-090	4939850	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-306	313	SYS-RA-DIAG-090	4939850	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-307	314	SYS-RA-DIAG-090	4939850	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-308	315	SYS-RA-DIAG-091	4939849	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-309	316	SYS-RA-DIAG-091	4939849	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-310	317	SYS-RA-DIAG-091	4939849	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-311	318	SYS-RA-DIAG-092	4939851	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-312	319	SYS-RA-DIAG-092	4939851	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-313	320	SYS-RA-DIAG-092	4939851	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-314	321	SYS-RA-DIAG-093	4939859	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-315	322	SYS-RA-DIAG-093	4939859	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-316	323	SYS-RA-DIAG-093	4939859	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-317	324	SYS-RA-DIAG-094	4939858	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-318	325	SYS-RA-DIAG-094	4939858	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-319	326	SYS-RA-DIAG-094	4939858	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-320	327	SYS-RA-DIAG-095	4939860	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-321	328	SYS-RA-DIAG-095	4939860	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-322	329	SYS-RA-DIAG-095	4939860	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-323	330	SYS-RA-DIAG-097	4939864	R/W	$2843 - X65 Module Version (Read)	$2843	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-324	331	SYS-RA-DIAG-097	4939864	R/W	$2843 - X65 Module Version (Read)	$2843	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-325	332	SYS-RA-DIAG-097	4939864	R/W	$2843 - X65 Module Version (Read)	$2843	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-326	333	SYS-RA-DIAG-103	4939839	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-327	334	SYS-RA-DIAG-103	4939839	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-328	335	SYS-RA-DIAG-103	4939839	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	unsupported	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-329	336	SYS-RA-DIAG-043	4939921	R/W	$2870 - Media Hub Config (Read)	$2870	positive	Functional Requirement	All	
SWE1-Diagnostics-330	337	SYS-RA-DIAG-043	4939921	R/W	$2870 - Media Hub Config (Read)	$2870	negative	Functional Requirement	All	
SWE1-Diagnostics-331	338	SYS-RA-DIAG-045	4939919	R/W	$2870 - Media Hub Config (Read)	$2870	positive	Functional Requirement	All	
SWE1-Diagnostics-332	339	SYS-RA-DIAG-045	4939919	R/W	$2870 - Media Hub Config (Read)	$2870	negative	Functional Requirement	All	
SWE1-Diagnostics-333	340	SYS-RA-DIAG-046	4939922	R/W	$2870 - Media Hub Config (Read)	$2870	unsupported	Functional Requirement	All	
SWE1-Diagnostics-334	341	SYS-RA-DIAG-186	4939688	R/W	$280C - ECU Current Internal Settings (Read/Write)	$280C	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-335	342	SYS-RA-DIAG-186	4939688	R/W	$280C - ECU Current Internal Settings (Read/Write)	$280C	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-336	343	SYS-RA-DIAG-261	4940358	I/O	$5100 - Video Input	$5100	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-337	344	SYS-RA-DIAG-262	4940359	I/O	$5100 - Video Input	$5100	positive	Functional Requirement	All	
SWE1-Diagnostics-338	345	SYS-RA-DIAG-262	4940359	I/O	$5100 - Video Input	$5100	negative	Functional Requirement	All	
SWE1-Diagnostics-339	346	SYS-RA-DIAG-264	4940355	I/O	$500D - Video Input Settings	$500D	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-340-001	347	SYS-RA-DIAG-264	4940355	I/O	$500D - Video Input Settings	$500D	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-340-002	348	SYS-RA-DIAG-188	4939684	R/W	$280C - ECU Current Internal Settings (Read/Write)	$280C	positive	Functional Requirement	All	
SWE1-Diagnostics-341	349	SYS-RA-DIAG-188	4939684	R/W	$280C - ECU Current Internal Settings (Read/Write)	$280C	negative	Functional Requirement	All	
SWE1-Diagnostics-342	350	SYS-RA-DIAG-192	4939687	R/W	$280C - ECU Current Internal Settings (Read/Write)	$280C	positive	Functional Requirement	All	
SWE1-Diagnostics-343	351	SYS-RA-DIAG-192	4939687	R/W	$280C - ECU Current Internal Settings (Read/Write)	$280C	negative	Functional Requirement	All	
SWE1-Diagnostics-344	352	SYS-RA-DIAG-214	4939651	R/W	$1821 - Steering Wheel Module Interface (Read)	$1821	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-345	353	SYS-RA-DIAG-214	4939651	R/W	$1821 - Steering Wheel Module Interface (Read)	$1821	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-346	354	SYS-RA-DIAG-373	4940469	Routine	$030A - Clear Key Sense PIN	$030A	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-347	355	SYS-RA-DIAG-375	4940463	Routine	$0309 - X65 MPFA Select Routine	$0309	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-348	356	SYS-RA-DIAG-375	4940463	Routine	$0309 - X65 MPFA Select Routine	$0309	unsupported	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-349	357	SYS-RA-DIAG-154	4939727	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-350	358	SYS-RA-DIAG-154	4939727	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-351	359	SYS-RA-DIAG-154	4939727	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-352	360	SYS-RA-DIAG-155	4939720	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-353	361	SYS-RA-DIAG-155	4939720	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
