swe	row037	src	did	parent	l3	kind	l2_no	l2_candidate
SWE1-Diagnostics-199	206	SYS-RA-DIAG-129	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-200	207	SYS-RA-DIAG-129	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-201	208	SYS-RA-DIAG-130	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-202	209	SYS-RA-DIAG-130	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-203	210	SYS-RA-DIAG-131	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-204	211	SYS-RA-DIAG-131	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-205	212	SYS-RA-DIAG-132	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-206	213	SYS-RA-DIAG-132	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-207	214	SYS-RA-DIAG-133	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-208	215	SYS-RA-DIAG-133	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-209	216	SYS-RA-DIAG-134	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-210	217	SYS-RA-DIAG-134	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-211	218	SYS-RA-DIAG-138	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-212	219	SYS-RA-DIAG-138	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-213	220	SYS-RA-DIAG-139	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-214	221	SYS-RA-DIAG-139	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-215	222	SYS-RA-DIAG-140	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-216	223	SYS-RA-DIAG-140	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-217	224	SYS-RA-DIAG-142	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-218	225	SYS-RA-DIAG-142	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-219	226	SYS-RA-DIAG-143	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-220	227	SYS-RA-DIAG-143	$2840	R/W	$2840 - X65 Antenna Status Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-221	228	SYS-RA-DIAG-376	$0309	Routine	$0309 - X65 MPFA Select Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-222	229	SYS-RA-DIAG-376	$0309	Routine	$0309 - X65 MPFA Select Routine	negative	4	SXM Package Routines
SWE1-Diagnostics-223	230	SYS-RA-DIAG-377	$0309	Routine	$0309 - X65 MPFA Select Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-224	231	SYS-RA-DIAG-377	$0309	Routine	$0309 - X65 MPFA Select Routine	negative	4	SXM Package Routines
SWE1-Diagnostics-225	232	SYS-RA-DIAG-379	$0309	Routine	$0309 - X65 MPFA Select Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-226	233	SYS-RA-DIAG-380	$0309	Routine	$0309 - X65 MPFA Select Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-227	234	SYS-RA-DIAG-385	$0307	Routine	$0307 - X65 MPFA Validate Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-228	235	SYS-RA-DIAG-386	$0307	Routine	$0307 - X65 MPFA Validate Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-229	236	SYS-RA-DIAG-387	$0307	Routine	$0307 - X65 MPFA Validate Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-230	237	SYS-RA-DIAG-390	$0307	Routine	$0307 - X65 MPFA Validate Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-231	238	SYS-RA-DIAG-391	$0307	Routine	$0307 - X65 MPFA Validate Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-232	239	SYS-RA-DIAG-051	$2848	R/W	$2848 - X65 Package Indication Select (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-233	240	SYS-RA-DIAG-051	$2848	R/W	$2848 - X65 Package Indication Select (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-234	241	SYS-RA-DIAG-051	$2848	R/W	$2848 - X65 Package Indication Select (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-235	242	SYS-RA-DIAG-054	$2847	R/W	$2847 - X65 Index ID (Read/Write)	positive	3	SXM Subscription
SWE1-Diagnostics-236	243	SYS-RA-DIAG-054	$2847	R/W	$2847 - X65 Index ID (Read/Write)	unsupported	3	SXM Subscription
SWE1-Diagnostics-237	244	SYS-RA-DIAG-056	$2847	R/W	$2847 - X65 Index ID (Read/Write)	negative	3	SXM Subscription
SWE1-Diagnostics-238	245	SYS-RA-DIAG-057	$2847	R/W	$2847 - X65 Index ID (Read/Write)	positive	3	SXM Subscription
SWE1-Diagnostics-239	246	SYS-RA-DIAG-060	$2846	R/W	$2846 - X65 Package Indication Validate (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-240	247	SYS-RA-DIAG-060	$2846	R/W	$2846 - X65 Package Indication Validate (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-241	248	SYS-RA-DIAG-060	$2846	R/W	$2846 - X65 Package Indication Validate (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-242	249	SYS-RA-DIAG-064	$2845	R/W	$2845 - X65 Event Indication (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-243	250	SYS-RA-DIAG-064	$2845	R/W	$2845 - X65 Event Indication (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-244	251	SYS-RA-DIAG-064	$2845	R/W	$2845 - X65 Event Indication (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-245	252	SYS-RA-DIAG-067	$2844	R/W	$2844 - X65 Subscription Status (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-246	253	SYS-RA-DIAG-067	$2844	R/W	$2844 - X65 Subscription Status (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-247	254	SYS-RA-DIAG-067	$2844	R/W	$2844 - X65 Subscription Status (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-248	255	SYS-RA-DIAG-068	$2844	R/W	$2844 - X65 Subscription Status (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-249	256	SYS-RA-DIAG-068	$2844	R/W	$2844 - X65 Subscription Status (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-250	257	SYS-RA-DIAG-068	$2844	R/W	$2844 - X65 Subscription Status (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-251	258	SYS-RA-DIAG-069	$2844	R/W	$2844 - X65 Subscription Status (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-252	259	SYS-RA-DIAG-069	$2844	R/W	$2844 - X65 Subscription Status (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-253	260	SYS-RA-DIAG-069	$2844	R/W	$2844 - X65 Subscription Status (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-254	261	SYS-RA-DIAG-070	$2844	R/W	$2844 - X65 Subscription Status (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-255	262	SYS-RA-DIAG-070	$2844	R/W	$2844 - X65 Subscription Status (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-256	263	SYS-RA-DIAG-070	$2844	R/W	$2844 - X65 Subscription Status (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-257	264	SYS-RA-DIAG-071	$2844	R/W	$2844 - X65 Subscription Status (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-258	265	SYS-RA-DIAG-071	$2844	R/W	$2844 - X65 Subscription Status (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-259	266	SYS-RA-DIAG-071	$2844	R/W	$2844 - X65 Subscription Status (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-260	267	SYS-RA-DIAG-072	$2844	R/W	$2844 - X65 Subscription Status (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-261	268	SYS-RA-DIAG-072	$2844	R/W	$2844 - X65 Subscription Status (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-262	269	SYS-RA-DIAG-072	$2844	R/W	$2844 - X65 Subscription Status (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-263	270	SYS-RA-DIAG-073	$2844	R/W	$2844 - X65 Subscription Status (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-264	271	SYS-RA-DIAG-073	$2844	R/W	$2844 - X65 Subscription Status (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-265	272	SYS-RA-DIAG-073	$2844	R/W	$2844 - X65 Subscription Status (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-266	273	SYS-RA-DIAG-076	$2844	R/W	$2844 - X65 Subscription Status (Read)	positive	3	SXM Subscription
SWE1-Diagnostics-267	274	SYS-RA-DIAG-076	$2844	R/W	$2844 - X65 Subscription Status (Read)	negative	3	SXM Subscription
SWE1-Diagnostics-268	275	SYS-RA-DIAG-076	$2844	R/W	$2844 - X65 Subscription Status (Read)	unsupported	3	SXM Subscription
SWE1-Diagnostics-269	276	SYS-RA-DIAG-078	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-270	277	SYS-RA-DIAG-078	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-271	278	SYS-RA-DIAG-078	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-272	279	SYS-RA-DIAG-079	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-273	280	SYS-RA-DIAG-079	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-274	281	SYS-RA-DIAG-079	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-275	282	SYS-RA-DIAG-080	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-276	283	SYS-RA-DIAG-080	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-277	284	SYS-RA-DIAG-080	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-278	285	SYS-RA-DIAG-081	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-279	286	SYS-RA-DIAG-081	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-280	287	SYS-RA-DIAG-081	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-281	288	SYS-RA-DIAG-082	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-282	289	SYS-RA-DIAG-082	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-283	290	SYS-RA-DIAG-082	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-284	291	SYS-RA-DIAG-083	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-285	292	SYS-RA-DIAG-083	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-286	293	SYS-RA-DIAG-083	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-287	294	SYS-RA-DIAG-084	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-288	295	SYS-RA-DIAG-084	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-289	296	SYS-RA-DIAG-084	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-290	297	SYS-RA-DIAG-085	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-291	298	SYS-RA-DIAG-085	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-292	299	SYS-RA-DIAG-085	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-293	300	SYS-RA-DIAG-086	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-294	301	SYS-RA-DIAG-086	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-295	302	SYS-RA-DIAG-086	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-296	303	SYS-RA-DIAG-087	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-297	304	SYS-RA-DIAG-087	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-298	305	SYS-RA-DIAG-087	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-299	306	SYS-RA-DIAG-088	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-300	307	SYS-RA-DIAG-088	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-301	308	SYS-RA-DIAG-088	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-302	309	SYS-RA-DIAG-089	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-303	310	SYS-RA-DIAG-089	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-304	311	SYS-RA-DIAG-089	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-305	312	SYS-RA-DIAG-090	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-306	313	SYS-RA-DIAG-090	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-307	314	SYS-RA-DIAG-090	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-308	315	SYS-RA-DIAG-091	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-309	316	SYS-RA-DIAG-091	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-310	317	SYS-RA-DIAG-091	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-311	318	SYS-RA-DIAG-092	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-312	319	SYS-RA-DIAG-092	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-313	320	SYS-RA-DIAG-092	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-314	321	SYS-RA-DIAG-093	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-315	322	SYS-RA-DIAG-093	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-316	323	SYS-RA-DIAG-093	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-317	324	SYS-RA-DIAG-094	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-318	325	SYS-RA-DIAG-094	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-319	326	SYS-RA-DIAG-094	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-320	327	SYS-RA-DIAG-095	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-321	328	SYS-RA-DIAG-095	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-322	329	SYS-RA-DIAG-095	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-323	330	SYS-RA-DIAG-097	$2843	R/W	$2843 - X65 Module Version (Read)	positive	1	SXM Module Version
SWE1-Diagnostics-324	331	SYS-RA-DIAG-097	$2843	R/W	$2843 - X65 Module Version (Read)	negative	1	SXM Module Version
SWE1-Diagnostics-325	332	SYS-RA-DIAG-097	$2843	R/W	$2843 - X65 Module Version (Read)	unsupported	1	SXM Module Version
SWE1-Diagnostics-326	333	SYS-RA-DIAG-103	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-327	334	SYS-RA-DIAG-103	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-328	335	SYS-RA-DIAG-103	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	unsupported	2	SXM Signal Quality
SWE1-Diagnostics-329	336	SYS-RA-DIAG-043	$2870	R/W	$2870 - Media Hub Config (Read)	positive	8	Media Hub Config
SWE1-Diagnostics-330	337	SYS-RA-DIAG-043	$2870	R/W	$2870 - Media Hub Config (Read)	negative	8	Media Hub Config
SWE1-Diagnostics-331	338	SYS-RA-DIAG-045	$2870	R/W	$2870 - Media Hub Config (Read)	positive	8	Media Hub Config
SWE1-Diagnostics-332	339	SYS-RA-DIAG-045	$2870	R/W	$2870 - Media Hub Config (Read)	negative	8	Media Hub Config
SWE1-Diagnostics-333	340	SYS-RA-DIAG-046	$2870	R/W	$2870 - Media Hub Config (Read)	unsupported	8	Media Hub Config
SWE1-Diagnostics-334	341	SYS-RA-DIAG-186	$280C	R/W	$280C - ECU Current Internal Settings (Read/Write)	positive	7	ECU Internal Settings
SWE1-Diagnostics-335	342	SYS-RA-DIAG-186	$280C	R/W	$280C - ECU Current Internal Settings (Read/Write)	negative	7	ECU Internal Settings
SWE1-Diagnostics-336	343	SYS-RA-DIAG-261	$5100	I/O	$5100 - Video Input	positive	18	Video Input
SWE1-Diagnostics-337	344	SYS-RA-DIAG-262	$5100	I/O	$5100 - Video Input	positive	18	Video Input
SWE1-Diagnostics-338	345	SYS-RA-DIAG-262	$5100	I/O	$5100 - Video Input	negative	18	Video Input
SWE1-Diagnostics-339	346	SYS-RA-DIAG-264	$500D	I/O	$500D - Video Input Settings	positive	18	Video Input
SWE1-Diagnostics-340-001	347	SYS-RA-DIAG-264	$500D	I/O	$500D - Video Input Settings	positive	18	Video Input
SWE1-Diagnostics-340-002	348	SYS-RA-DIAG-188	$280C	R/W	$280C - ECU Current Internal Settings (Read/Write)	positive	7	ECU Internal Settings
SWE1-Diagnostics-341	349	SYS-RA-DIAG-188	$280C	R/W	$280C - ECU Current Internal Settings (Read/Write)	negative	7	ECU Internal Settings
SWE1-Diagnostics-342	350	SYS-RA-DIAG-192	$280C	R/W	$280C - ECU Current Internal Settings (Read/Write)	positive	7	ECU Internal Settings
SWE1-Diagnostics-343	351	SYS-RA-DIAG-192	$280C	R/W	$280C - ECU Current Internal Settings (Read/Write)	negative	7	ECU Internal Settings
SWE1-Diagnostics-344	352	SYS-RA-DIAG-214	$1821	R/W	$1821 - Steering Wheel Module Interface (Read)	positive	9	Button Interfaces
SWE1-Diagnostics-345	353	SYS-RA-DIAG-214	$1821	R/W	$1821 - Steering Wheel Module Interface (Read)	negative	9	Button Interfaces
SWE1-Diagnostics-346	354	SYS-RA-DIAG-373	$030A	Routine	$030A - Clear Key Sense PIN	positive	21	Clear Key Sense PIN
SWE1-Diagnostics-347	355	SYS-RA-DIAG-375	$0309	Routine	$0309 - X65 MPFA Select Routine	positive	4	SXM Package Routines
SWE1-Diagnostics-348	356	SYS-RA-DIAG-375	$0309	Routine	$0309 - X65 MPFA Select Routine	unsupported	4	SXM Package Routines
SWE1-Diagnostics-349	357	SYS-RA-DIAG-154	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-350	358	SYS-RA-DIAG-154	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-351	359	SYS-RA-DIAG-154	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-352	360	SYS-RA-DIAG-155	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-353	361	SYS-RA-DIAG-155	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-354	362	SYS-RA-DIAG-155	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-355	363	SYS-RA-DIAG-156	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-356	364	SYS-RA-DIAG-156	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-357	365	SYS-RA-DIAG-156	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-358	366	SYS-RA-DIAG-157	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-359	367	SYS-RA-DIAG-157	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-360	368	SYS-RA-DIAG-157	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-361	369	SYS-RA-DIAG-158	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-362	370	SYS-RA-DIAG-158	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-363	371	SYS-RA-DIAG-158	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-364	372	SYS-RA-DIAG-159	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-365	373	SYS-RA-DIAG-159	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-366	374	SYS-RA-DIAG-159	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-367	375	SYS-RA-DIAG-160	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-368	376	SYS-RA-DIAG-160	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-369	377	SYS-RA-DIAG-160	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-370	378	SYS-RA-DIAG-161	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-371	379	SYS-RA-DIAG-161	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-372	380	SYS-RA-DIAG-161	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-373	381	SYS-RA-DIAG-162	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-374	382	SYS-RA-DIAG-162	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-375	383	SYS-RA-DIAG-162	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-376	384	SYS-RA-DIAG-163	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-377	385	SYS-RA-DIAG-163	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-378	386	SYS-RA-DIAG-163	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-379	387	SYS-RA-DIAG-165	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-380	388	SYS-RA-DIAG-165	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-381	389	SYS-RA-DIAG-165	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
SWE1-Diagnostics-382	390	SYS-RA-DIAG-166	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-383	391	SYS-RA-DIAG-238	$1801	R/W	$1801 - Screen Test Pattern (Read/Write)	positive	10	Screen Test Pattern
SWE1-Diagnostics-384	392	SYS-RA-DIAG-238	$1801	R/W	$1801 - Screen Test Pattern (Read/Write)	negative	10	Screen Test Pattern
SWE1-Diagnostics-385	393	SYS-RA-DIAG-238	$1801	R/W	$1801 - Screen Test Pattern (Read/Write)	unsupported	10	Screen Test Pattern
SWE1-Diagnostics-386	394	SYS-RA-DIAG-215	$1821	R/W	$1821 - Steering Wheel Module Interface (Read)	positive	9	Button Interfaces
SWE1-Diagnostics-387	395	SYS-RA-DIAG-215	$1821	R/W	$1821 - Steering Wheel Module Interface (Read)	negative	9	Button Interfaces
SWE1-Diagnostics-388	396	SYS-RA-DIAG-215	$1821	R/W	$1821 - Steering Wheel Module Interface (Read)	unsupported	9	Button Interfaces
SWE1-Diagnostics-389	397	SYS-RA-DIAG-167	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	positive	5	GPS Signal Data
SWE1-Diagnostics-390	398	SYS-RA-DIAG-167	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	negative	5	GPS Signal Data
SWE1-Diagnostics-391	399	SYS-RA-DIAG-167	$2812	R/W	$2812 - GPS Signal Data 1 (Read)	unsupported	5	GPS Signal Data
