name	kind	sources	seg1_n	seg1	seg2	seg3	result	result_detail	loose_n	loose
IPC_VEHICLE_SETUP2.TyrePressureUnitClearPersonalData	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.TyrePressureUnitClearPersonalData		未解得(止於段2)		3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert	IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
IPC_VEHICLE_SETUP3.SVC_Guidelines	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP3.SVC_Guidelines	IPC_VEHICLE_SETUP3.SVC_Guidelines->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
IPC_VEHICLE_SETUP3.Speed_Unit	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP3.Speed_Unit	IPC_VEHICLE_SETUP3.Speed_Unit->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
IPC_VEHICLE_SETUP4.GreetingLightsLevel	CAN	spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP4.GreetingLightsLevel		未解得(止於段2)		0	
IPC_VEHICLE_SETUP4.GreetingLightsLevelTELEMATIC_SERVICE_SETUP	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP4.GreetingLightsLevelTELEMATIC_SERVICE_SETUP		未解得(止於段2)		0	
IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable	CAN	diagram;spec_paras;spec_tables	0	(無嚴格命中)	IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable		未解得(止於段2)		0	
IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind	CAN	037_desc;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind	IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
IPC_VEHICLE_SETUP4.New_Spd_Zone_IndTELEMATIC_SERVICE_SETUP	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP4.New_Spd_Zone_IndTELEMATIC_SERVICE_SETUP		未解得(止於段2)		0	
IPC_VEHICLE_SETUP4.SignCaptureMode	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP4.SignCaptureMode		未解得(止於段2)		0	
IPC_VEHICLE_SETUP4.Traffic_Sign_Warn	CAN	037_desc;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP4.Traffic_Sign_Warn	IPC_VEHICLE_SETUP4.Traffic_Sign_Warn->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
IPC_VEHICLE_SETUP4.Traffic_Sign_WarnTELEMATIC_SERVICE_SETUP	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP4.Traffic_Sign_WarnTELEMATIC_SERVICE_SETUP		未解得(止於段2)		0	
TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req	TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req	TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req	CAN	spec_paras;spec_tables	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req		未解得(止於段2)		26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.BSDEnable_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.BSDEnable_Req	TELEMATIC_VEHICLE_SETUP.BSDEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.ConsumptionUnit_Req	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.ConsumptionUnit_Req		未解得(止於段2)		26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req	TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.DRLEnable_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.DRLEnable_Req	TELEMATIC_VEHICLE_SETUP.DRLEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req		未解得(止於段2)		26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.ExternalLightSensorLevel_Req	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.ExternalLightSensorLevel_Req		未解得(止於段2)		26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.HourMode_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.HourMode_Req	TELEMATIC_VEHICLE_SETUP.HourMode_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req	TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req		未解得(止於段2)		26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req	CAN	037_desc;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req	TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_ReqVF230	CAN	diagram	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_ReqVF230		未解得(止於段2)		26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req	CAN	037_desc;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req	TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req	TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req	TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock	TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req	TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.SdwChimeVolume_Req	CAN	037_desc	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.SdwChimeVolume_Req		未解得(止於段2)		26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.Sdw_Req	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.Sdw_Req		未解得(止於段2)		26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req	TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req	TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req	TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP.TemperatureUnit_Req	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP.TemperatureUnit_Req		未解得(止於段2)		26	LID/CAN Mapping/Z207=TELEMATIC_VEHICLE_SETUP.CallAction ; LID/CAN Mapping/Z212=TELEMATIC_VEHICLE_SETUP.CallReques ; LID/CAN Mapping/Z307=TELEMATIC_VEHICLE_SETUP.Trail_Num_ ; LID/CAN Mapping/Z308=TELEMATIC_VEHICLE_SETUP.Trail_Name
TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req	TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req	TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req	TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req	TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req	TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req	TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	0	
TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req	CAN	diagram;spec_paras;spec_tables	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req		未解得(止於段2)		0	
TELEMATIC_VEHICLE_SETUP2.TSREnableReq	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.TSREnableReq		未解得(止於段2)		0	
TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req		未解得(止於段2)		0	
TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req		未解得(止於段2)		0	
TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req	TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	5	LID/CAN Mapping/Z761=TELEMATIC_VEHICLE_SETUP3.FL_HS_Tlm ; LID/CAN Mapping/Z767=TELEMATIC_VEHICLE_SETUP3.FL_VS_Tlm ; LID/CAN Mapping/Z781=TELEMATIC_VEHICLE_SETUP3.FR_HS_Tlm ; LID/CAN Mapping/Z787=TELEMATIC_VEHICLE_SETUP3.FR_VS_Tlm
TELEMATIC_VEHICLE_SETUP3.SVC_Gridlines_Req	CAN	037_desc;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP3.SVC_Gridlines_Req		未解得(止於段2)		5	LID/CAN Mapping/Z761=TELEMATIC_VEHICLE_SETUP3.FL_HS_Tlm ; LID/CAN Mapping/Z767=TELEMATIC_VEHICLE_SETUP3.FL_VS_Tlm ; LID/CAN Mapping/Z781=TELEMATIC_VEHICLE_SETUP3.FR_HS_Tlm ; LID/CAN Mapping/Z787=TELEMATIC_VEHICLE_SETUP3.FR_VS_Tlm
TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req	TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	5	LID/CAN Mapping/Z761=TELEMATIC_VEHICLE_SETUP3.FL_HS_Tlm ; LID/CAN Mapping/Z767=TELEMATIC_VEHICLE_SETUP3.FL_VS_Tlm ; LID/CAN Mapping/Z781=TELEMATIC_VEHICLE_SETUP3.FR_HS_Tlm ; LID/CAN Mapping/Z787=TELEMATIC_VEHICLE_SETUP3.FR_VS_Tlm
TELEMATIC_VEHICLE_SETUP3.Speed_Unit_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP3.Speed_Unit_Req	TELEMATIC_VEHICLE_SETUP3.Speed_Unit_Req->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	5	LID/CAN Mapping/Z761=TELEMATIC_VEHICLE_SETUP3.FL_HS_Tlm ; LID/CAN Mapping/Z767=TELEMATIC_VEHICLE_SETUP3.FL_VS_Tlm ; LID/CAN Mapping/Z781=TELEMATIC_VEHICLE_SETUP3.FR_HS_Tlm ; LID/CAN Mapping/Z787=TELEMATIC_VEHICLE_SETUP3.FR_VS_Tlm
TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req	CAN	diagram;spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req		未解得(止於段2)		0	
TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable	CAN	spec_paras;spec_tables	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable		未解得(止於段2)		0	
TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable_Req	CAN	spec_paras	0	(無嚴格命中)	TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable_Req		未解得(止於段2)		0	
