swe_id	source_req_id	requirement_title	categorization	sub_categorization	verification_method	source_file	tc_status	sysra_hit	sysra_category	sysra_chapter_for_vf	sysra_ee_architecture	sysra_doc_id	remarks
SWE1-VC-Distance-020	Sys-RA-VF665_V42_VSM-647	Distance	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.10.01	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-Distance-021	Sys-RA-VF665_V42_VSM-648	Distance	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.01	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-Distance-022	Sys-RA-VF665_V42_VSM-649	Distance	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.01	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-Distance-023	Sys-RA-VF665_V42_VSM-650	Distance	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.01	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-Distance-024	Sys-RA-VF665_V42_VSM-651	Distance	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.02	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-Distance-025	Sys-RA-VF665_V42_VSM-652	Distance	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.02	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-026	Sys-RA-VF665_V42_VSM-653	Fuel Consumption	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.10.02	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-027	Sys-RA-VF665_V42_VSM-654	Fuel Consumption	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.02	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-028	Sys-RA-VF665_V42_VSM-655	Fuel Consumption	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.02	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-029	Sys-RA-VF665_V42_VSM-656	Fuel Consumption	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.02	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-030	Sys-RA-VF665_V42_VSM-657	Fuel Consumption	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.02	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-031	Sys-RA-VF665_V42_VSM-658	Fuel Consumption	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-032	Sys-RA-VF665_V42_VSM-660	Fuel Consumption	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-033	Sys-RA-VF665_V42_VSM-661	Fuel Consumption	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-034	Sys-RA-VF665_V42_VSM-662	Fuel Consumption	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-FuelConsumption-035	Sys-RA-VF665_V42_VSM-663	Fuel Consumption	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-HeadlightSensitivity-036	Sys-RA-VF665_V42_VSM-689	Headlight Sensitivity	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.10.05.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-HeadlightSensitivity-037	Sys-RA-VF665_V42_VSM-690	Headlight Sensitivity	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.05.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-HeadlightSensitivity-038	Sys-RA-VF665_V42_VSM-691	Headlight Sensitivity	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.05.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-HeadlightSensitivity-039	Sys-RA-VF665_V42_VSM-692	Headlight Sensitivity	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.05.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-HeadlightSensitivity-040	Sys-RA-VF665_V42_VSM-693	Headlight Sensitivity	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.05.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-HeadlightSensitivity-041	Sys-RA-VF665_V42_VSM-694	Headlight Sensitivity	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.05.03	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-HeadlightSensitivity-042	Sys-RA-VF665_V42_VSM-695	Headlight Sensitivity	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.05.04	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-043	Sys-RA-VF665_V42_VSM-722	EPB Maintenance Mode	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-044	Sys-RA-VF665_V42_VSM-723	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-045	Sys-RA-VF665_V42_VSM-724	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-046	Sys-RA-VF665_V42_VSM-725	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-047	Sys-RA-VF665_V42_VSM-728	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-048	Sys-RA-VF665_V42_VSM-729	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-049	Sys-RA-VF665_V42_VSM-730	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-050	Sys-RA-VF665_V42_VSM-731	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-051	Sys-RA-VF665_V42_VSM-732	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-052	Sys-RA-VF665_V42_VSM-733	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-053	Sys-RA-VF665_V42_VSM-734	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-054	Sys-RA-VF665_V42_VSM-735	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-055	Sys-RA-VF665_V42_VSM-736	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-056	Sys-RA-VF665_V42_VSM-737	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-057	Sys-RA-VF665_V42_VSM-738	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-058	Sys-RA-VF665_V42_VSM-739	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-059	Sys-RA-VF665_V42_VSM-740	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-EPBMaintenanceMode-060	Sys-RA-VF665_V42_VSM-741	EPB Maintenance Mode	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.19	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-GPSAutomaticTimeAdjustment-061	Sys-RA-VF665_V42_VSM-774	GPS Automatic Time Adjustment	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.25	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-GPSAutomaticTimeAdjustment-062	Sys-RA-VF665_V42_VSM-775	GPS Automatic Time Adjustment	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.25	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-GPSAutomaticTimeAdjustment-063	Sys-RA-VF665_V42_VSM-776	GPS Automatic Time Adjustment	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.25	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-NavTurnbyTurn-064	Sys-RA-VF665_V42_VSM-782	Nav Turn by Turn	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.27	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-NavTurnbyTurn-065	Sys-RA-VF665_V42_VSM-783	Nav Turn by Turn	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.27	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-NavTurnbyTurn-066	Sys-RA-VF665_V42_VSM-784	Nav Turn by Turn	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.27	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-AudioRepetition-067	Sys-RA-VF665_V42_VSM-785	Audio Repetition	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.28	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-AudioRepetition-068	Sys-RA-VF665_V42_VSM-786	Audio Repetition	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.28	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-AudioRepetition-069	Sys-RA-VF665_V42_VSM-787	Audio Repetition	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.28	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-AudioRepetition-070	Sys-RA-VF665_V42_VSM-788	Audio Repetition	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.28	ATL-Mi	VF665_V42_P637MCA	
