name	kind	sources	seg1_atl_n	seg1_atlh_n	seg1_atl	seg1_atlh	seg1_other	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	seg3_637	seg3_side_high	result	note
SERVICE_SETUP.ClearPersonalData	CAN	spec_paras	1	1	LID/CAN Mapping/r381cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r381cP/Atlantis Signal Name/R1 逐字	HMI_Settings/Settings/r668cB/R4 R2 去 MESSAGE. 前綴+底線/大小寫	SERVICE_SETUP.ClearPersonalData	TBM_SCHEDULE_FD_2.ClearPersonalData			SERVICE_SETUP.ClearPersonalData → BO_1446 SERVICE_SETUP / SG_ ClearPersonalData / VAL_ 有 2 項	SERVICE_SETUP.ClearPersonalData->PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)
SERVICE_SETUP.PrivacyMode	CAN	spec_paras	2	2	LID/CAN Mapping/r1398cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1398cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1398cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1398cP/Atlantis Signal Name/R1 逐字		SERVICE_SETUP.PrivacyMode	TBM_SCHEDULE_FD_2.PrivacyMode	CAN-B	FD	SERVICE_SETUP.PrivacyMode → BO_1446 SERVICE_SETUP / SG_ PrivacyMode / VAL_ 有 2 項	SERVICE_SETUP.PrivacyMode->PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)；637MCA分頁命中
SERVICE_SETUP.RestoreApp	CAN	spec_paras	1	1	LID/CAN Mapping/r382cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r382cP/Atlantis Signal Name/R1 逐字		SERVICE_SETUP.RestoreApp	TBM_SCHEDULE_FD_2.RestoreApp			SERVICE_SETUP.RestoreApp → BO_1446 SERVICE_SETUP / SG_ RestoreApp / VAL_ 有 2 項	SERVICE_SETUP.RestoreApp->PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)
SERVICE_SETUP.RestoreDefaulSetting	CAN	spec_paras						SERVICE_SETUP.RestoreDefaulSetting				查無：SERVICE_SETUP.RestoreDefaulSetting		未解得（規格拼字疑誤）	段1不適用(R-VL12(c))；R-VL16(a)：正確拼法於主 DBC 存在 → SERVICE_SETUP.RestoreDefaultSetting（BO_1446，VAL_ 2）；規格原名不改（R-13/R-6），佐證掛 DR-VT2 留檔
SERVICE_SETUP.RestoreDefaultSetting	CAN	spec_paras	1	1	LID/CAN Mapping/r383cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r383cP/Atlantis Signal Name/R1 逐字		SERVICE_SETUP.RestoreDefaultSetting	TBM_SCHEDULE_FD_2.RestoreDefaultSetting			SERVICE_SETUP.RestoreDefaultSetting → BO_1446 SERVICE_SETUP / SG_ RestoreDefaultSetting / VAL_ 有 2 項	SERVICE_SETUP.RestoreDefaultSetting->PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)
SERVICE_SETUP.TelematicSetupACK	CAN	spec_paras						SERVICE_SETUP.TelematicSetupACK				SERVICE_SETUP.TelematicSetupACK → SG_ TelematicSetupACK 在 BO_ IPC_VEHICLE_SETUP（與規格訊息名 SERVICE_SETUP 不符）	SERVICE_SETUP.TelematicSetupACK->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1不適用(R-VL12(c))
SERVICE_SETUP.TelematicSetupAck	CAN	spec_paras						SERVICE_SETUP.TelematicSetupAck				SERVICE_SETUP.TelematicSetupAck → BO_1446 SERVICE_SETUP / SG_ TelematicSetupAck / VAL_ 有 3 項		解得	段1不適用(R-VL12(c))
STATUS_CCAN3.VehicleSpeedVSOSig	CAN	037_desc;spec_paras	3	3	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2329cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2329cP/Atlantis Signal Name/R1 逐字		STATUS_CCAN3.VehicleSpeedVSOSig	BRAKE_FD_2.VehicleSpeedVSOSig;IPC_FD_5.VehSpdDisp		CAN-B FD;FD	STATUS_CCAN3.VehicleSpeedVSOSig → BO_994 STATUS_CCAN3 / SG_ VehicleSpeedVSOSig / VAL_ 有 1 項	STATUS_CCAN3.VehicleSpeedVSOSig->PDT27_E2A_R1_BHCAN2.dbc;PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)
STATUS_CCAN3.VehicleSpeedVSOSigFailSts	CAN	spec_paras						STATUS_CCAN3.VehicleSpeedVSOSigFailSts				STATUS_CCAN3.VehicleSpeedVSOSigFailSts → BO_994 STATUS_CCAN3 / SG_ VehicleSpeedVSOSigFailSts / VAL_ 有 2 項		解得	段1不適用(R-VL12(c))
STATUS_TTM.TrailerConnectionSts	CAN	spec_paras						STATUS_TTM.TrailerConnectionSts				STATUS_TTM.TrailerConnectionSts → BO_1464 STATUS_TTM / SG_ TrailerConnectionSts / VAL_ 有 4 項	STATUS_TTM.TrailerConnectionSts->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq	CAN	037_desc;spec_paras	2	2	LID/CAN Mapping/r342cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r342cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r342cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r342cP/Atlantis Signal Name/R1 逐字		TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq	TELEMATIC_VEHICLE_SETUP.ClearPersonalDataReq			TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq → BO_170 TELEMATIC_SERVICE_SETUP / SG_ ClearPersonalDataReq / VAL_ 有 2 項	TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq->PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)；637MCA分頁命中
TELEMATIC_SERVICE_SETUP.PrivacyModeReq	CAN	037_desc;spec_paras	1	1	LID/CAN Mapping/r1399cA/Logical Identifier/R2 去 MESSAGE. 前綴	LID/CAN Mapping/r1399cA/Logical Identifier/R2 去 MESSAGE. 前綴		GLOB_LTM.PrivacyModeReq	TELEMATIC_VEHICLE_SETUP.PrivacyModeReq	CAN-B	FD	GLOB_LTM.PrivacyModeReq → SG_ PrivacyModeReq 在 BO_ TELEMATIC_SERVICE_SETUP（與規格訊息名 GLOB_LTM 不符）	GLOB_LTM.PrivacyModeReq->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	架構差異(Atlantis≠Atlantis High)
TELEMATIC_SERVICE_SETUP.RestoreAppReq	CAN	spec_paras						TELEMATIC_SERVICE_SETUP.RestoreAppReq				TELEMATIC_SERVICE_SETUP.RestoreAppReq → BO_170 TELEMATIC_SERVICE_SETUP / SG_ RestoreAppReq / VAL_ 有 2 項	TELEMATIC_SERVICE_SETUP.RestoreAppReq->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_SERVICE_SETUP.RestoreDefaultSettimgReq	CAN	spec_paras						TELEMATIC_SERVICE_SETUP.RestoreDefaultSettimgReq				查無：TELEMATIC_SERVICE_SETUP.RestoreDefaultSettimgReq		未解得（規格拼字疑誤）	段1不適用(R-VL12(c))；R-VL16(a)：正確拼法於主 DBC 存在 → TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq（BO_170，VAL_ 2）；規格原名不改（R-13/R-6），佐證掛 DR-VT2 留檔
TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq	CAN	037_desc;spec_paras	2	2	LID/CAN Mapping/r1583cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1583cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1583cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1583cP/Atlantis Signal Name/R1 逐字		TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq	TELEMATIC_VEHICLE_SETUP.RestoreDefaultSettingReq			TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq → BO_170 TELEMATIC_SERVICE_SETUP / SG_ RestoreDefaultSettingReq / VAL_ 有 2 項	TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq->PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)
TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req	CAN	037_desc;spec_paras						TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req				TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ AutoHighBeamEnable_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req	CAN	spec_paras					HMI_Settings/Settings/r509cB/R4 R3 去 _Req 後綴+底線/大小寫 ; PROXI/Format/r578cF/R5 R3 去 _Req 後綴+去_Menu/_Setting	TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req				TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ AutoParkBrake_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req	CAN	spec_paras;spec_tables					PROXI/Format/r579cF/R5 R3 去 _Req 後綴+去_Menu/_Setting	TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req				查無：TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req		未解得(止於段3)	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.BSDEnable_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP.BSDEnable_Req				TELEMATIC_VEHICLE_SETUP.BSDEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ BSDEnable_Req / VAL_ 有 3 項	TELEMATIC_VEHICLE_SETUP.BSDEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.ConsumptionUnit_Req	CAN	037_desc;spec_paras	2	2	LID/CAN Mapping/r387cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r388cA/Logical Identifier/R3 去 _Req 後綴	LID/CAN Mapping/r387cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r388cA/Logical Identifier/R3 去 _Req 後綴		IPC_VEHICLE_SETUP.ConsumptionUnit	IPC_VEHICLE_SETUP.ConsumptionUnit		CAN-B	IPC_VEHICLE_SETUP.ConsumptionUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ ConsumptionUnit / VAL_ 有 8 項		解得	
TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req				TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ CorneringEnable_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.DRLEnable_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP.DRLEnable_Req				TELEMATIC_VEHICLE_SETUP.DRLEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ DRLEnable_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP.DRLEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req	CAN	037_desc;spec_paras	2	2	LID/CAN Mapping/r459cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r459cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r459cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r459cB/Function/R4 R3 去 _Req 後綴+底線/大小寫		IPC_VEHICLE_SETUP.DistanceUnit			FD	IPC_VEHICLE_SETUP.DistanceUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ DistanceUnit / VAL_ 有 2 項		解得	
TELEMATIC_VEHICLE_SETUP.ExternalLightSensorLevel_Req	CAN	037_desc;spec_paras	2	2	LID/CAN Mapping/r751cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r751cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r751cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r751cB/Function/R4 R3 去 _Req 後綴+底線/大小寫		IPC_VEHICLE_SETUP.ExternalLightSensorLevel	IPC_VEHICLE_SETUP.ExternalLightSensorLevel			IPC_VEHICLE_SETUP.ExternalLightSensorLevel → BO_1468 IPC_VEHICLE_SETUP / SG_ ExternalLightSensorLevel / VAL_ 有 4 項		解得	
TELEMATIC_VEHICLE_SETUP.HourMode_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP.HourMode_Req				TELEMATIC_VEHICLE_SETUP.HourMode_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ HourMode_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP.HourMode_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req	CAN	spec_paras	3	3	LID/CAN Mapping/r1111cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r1112cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1112cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1111cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r1112cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1112cP/Atlantis Signal Name/R1 逐字	PROXI/Format/r616cF/R4 R3 去 _Req 後綴+底線/大小寫	TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req	IPC_VEHICLE_SETUP.LanguageSelection		CAN-B	TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ LanguageSelection_Req / VAL_ 有 22 項	IPC_VEHICLE_SETUP.LanguageSelection->PDT27_E2A_R1_FDCAN8.dbc;TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)；R-VL15(a) 目標欄逐字勝名稱欄；Sts 孪生對偶 IPC_VEHICLE_SETUP.LanguageSelection（BO_1468/VAL_ 23 項）
TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req	CAN	037_desc;spec_paras						TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req				TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ PamAlertMode_Req / VAL_ 有 3 項		解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req	CAN	037_desc;spec_paras						TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req				TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ PamChimeVolumeFront_Req / VAL_ 有 3 項	TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req	CAN	037_desc;spec_paras						TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req				TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ PamChimeVolumeRear_Req / VAL_ 有 3 項	TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req	CAN	spec_paras	2	2	LID/CAN Mapping/r1105cB/Function/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1588cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r1105cB/Function/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1588cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	PROXI/Format/r298cF/R4 R3 去 _Req 後綴+底線/大小寫 ; PROXI/Format/r575cF/R5 R3 去 _Req 後綴+去_Menu/_Setting	RFHUB3.RFReq	BCM_FD_9.RFReq;RFHUB_FD_1.RFReq		FD	查無：RFHUB3.RFReq	RFHUB3.RFReq->PDT27_E2A_R1_FDCAN8.dbc	未解得(止於段3)	架構差異(Atlantis≠Atlantis High)；R-VL16(c)：LID 對映指向 RFHUB3.RFReq（他 ECU），本 DBC 查無；不臆測不代入，P4 遭遇時 PENDING
TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req	CAN	037_desc;spec_paras						TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req				TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ RainSensorLevel_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock	CAN	spec_paras					PROXI/Format/r576cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock				TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock → SG_ RemoteDoorUnlock 在 BO_ IPC_VEHICLE_SETUP（與規格訊息名 TELEMATIC_VEHICLE_SETUP 不符）	TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req	CAN	spec_paras					PROXI/Format/r576cF/R5 R3 去 _Req 後綴+去_Menu/_Setting	TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req				TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ RemoteDoorUnlock_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.SdwChimeVolume_Req	CAN	037_desc	2	2	LID/CAN Mapping/r1669cA/Logical Identifier/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1669cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r1669cA/Logical Identifier/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1669cB/Function/R4 R3 去 _Req 後綴+底線/大小寫		IPC_VEHICLE_SETUP.SdwChimeVolume	IPC_VEHICLE_SETUP.SdwChimeVolume		CAN-B	查無：IPC_VEHICLE_SETUP.SdwChimeVolume		未解得(止於段3)	
TELEMATIC_VEHICLE_SETUP.Sdw_Req	CAN	037_desc;spec_paras						TELEMATIC_VEHICLE_SETUP.Sdw_Req				TELEMATIC_VEHICLE_SETUP.Sdw_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ Sdw_Req / VAL_ 有 3 項		解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req				TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ SoundHornLock_Req / VAL_ 有 3 項	TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req	CAN	spec_paras					PROXI/Format/r577cF/R5 R3 去 _Req 後綴+去_Menu/_Setting	TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req				TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ SoundHornRemoteStart_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req				TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ SpeedLockDoorEnable_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP.TemperatureUnit_Req	CAN	spec_paras	2	2	LID/CAN Mapping/r2070cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r2070cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r2070cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r2070cB/Function/R4 R3 去 _Req 後綴+底線/大小寫		IPC_VEHICLE_SETUP.TemperatureUnit	IPC_VEHICLE_SETUP.Temp_Unit		FD	IPC_VEHICLE_SETUP.TemperatureUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ TemperatureUnit / VAL_ 有 2 項		解得	架構差異(Atlantis≠Atlantis High)
TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req				TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ AutoUnlockDoorExit_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req	CAN	037_desc;spec_paras						TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req				TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ EPB_MaintenanceMode_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req				TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ FSFCWPlusActivationMode_Req / VAL_ 有 3 項	TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req				TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ FSFCWPlusSetting_Req / VAL_ 有 5 項	TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req				TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ FlashLightWLock_Req / VAL_ 有 2 項	TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req				TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ HeadlightsOffDelay_Req / VAL_ 有 4 項	TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req				TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ LDW_Intensity_Req / VAL_ 有 3 項	TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req				TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ LDW_Sensibility_Req / VAL_ 有 3 項	TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req	CAN	spec_paras;spec_tables						TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req				TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ PassiveEntrySelection_Req / VAL_ 有 3 項		解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.TSREnableReq	CAN	037_desc;spec_paras						TELEMATIC_VEHICLE_SETUP2.TSREnableReq				TELEMATIC_VEHICLE_SETUP2.TSREnableReq → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ TSREnableReq / VAL_ 有 2 項		解得	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req	CAN	spec_paras						TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req				TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ Trlr_Lnth_Blind_Spot_Req / VAL_ 有 2 項		解得	段1不適用(R-VL12(c))
